web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1567197173-13455,https://twitter.com/search?f=tweets&q=%23astarisborn%20since%3A2018-10-01%20until%3A2018-10-02&src=typd,@ErnestoLaRosah,Ernesto La Rosa,Se viene #AStarIsBorn  https://twitter.com/ArianaGrande/status/1046615938181877760 …,,,,1538375371000.0,11:29 PM - 30 Sep 2018,/ErnestoLaRosah/status/1046648286730424320,
1567197173-13134,https://twitter.com/search?f=tweets&q=%23astarisborn%20since%3A2018-10-01%20until%3A2018-10-02&src=typd,@itzastrooo,Astroo  ➰  🕴🏼,Can’t wait to see a #astarisborn tomorrow @ladygaga,,,,1538400150000.0,6:22 AM - 1 Oct 2018,/itzastrooo/status/1046752216110059520,
1567197173-12172,https://twitter.com/search?f=tweets&q=%23astarisborn%20since%3A2018-10-01%20until%3A2018-10-02&src=typd,@Manooouuuche,🅜🅐🅝🅐🅣🅣🅐🅝🅔,#AStarIsBorn sort mercredi et j’ai pas de thune putain !!!! JE FAIS COMMENT,,,1,1538431527000.0,3:05 PM - 1 Oct 2018,/Manooouuuche/status/1046883818681118720,
1567197173-12296,https://twitter.com/search?f=tweets&q=%23astarisborn%20since%3A2018-10-01%20until%3A2018-10-02&src=typd,@filmandtvnow,Film and TV Now,"A Star is Born UK Premiere: Red carpet interviews

http://www.filmandtvnow.com/a-star-is-born-uk-premiere-red-carpet-interviews/ … 

#AStarIsBorn #AStarIsBornMovie #BradleyCooper #LadyGaga #redcarpet #Shangelapic.twitter.com/oTLewOCpVa",,,,1538427900000.0,2:05 PM - 1 Oct 2018,/filmandtvnow/status/1046868606821101568,
1567197173-13498,https://twitter.com/search?f=tweets&q=%23astarisborn%20since%3A2018-10-01%20until%3A2018-10-02&src=typd,@PruneyardCinema,Pruneyard Dine-In Cinemas,A Star is Born is coming to the Pruneyard Cinemas on October 5! #AStarIsBorn #pruneyardcinemas #CampbellCalifornia #dineincinemahttps://www.google.com/imgres?imgurl=https%3A%2F%2Fi.ytimg.com%2Fvi%2FnSbzyEJ8X9E%2Fmaxresdefault.jpg&imgrefurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DnSbzyEJ8X9E&docid=IZA5RRWHrNKggM&tbnid=M17WU1AgckvGZM%3A&vet=10ahUKEwjAr4qCwOTdAhWiGDQIHVqhCTIQMwhEKAAwAA..i&w=1280&h=720&hl=en-us&client=safari&bih=617&biw=414&q=a%20star%20is%20born%20youtube&ved=0ahUKEwjAr4qCwOTdAhWiGDQIHVqhCTIQMwhEKAAwAA&iact=mrc&uact=8 … – at Pruneyard Cinemas,1.0,2.0,5,1538371408000.0,10:23 PM - 30 Sep 2018,/PruneyardCinema/status/1046631662216347648,
1567197173-13649,https://twitter.com/search?f=tweets&q=%23astarisborn%20since%3A2018-10-01%20until%3A2018-10-02&src=typd,@thedutchexxx,bruno,#AStarIsBorn pic.twitter.com/TpAgjpnz8j,,,1,1538357843000.0,6:37 PM - 30 Sep 2018,/thedutchexxx/status/1046574764817625088,
1567197173-12538,https://twitter.com/search?f=tweets&q=%23astarisborn%20since%3A2018-10-01%20until%3A2018-10-02&src=typd,@pablo_qwerty_,✨Pablo Qwerty ✨,"En sólo 4 días ""Shallow"" acumula más de 12.279.000 streams.

Youtube: +7.500.000 de visitas
Spotify: + 4.779.000 escuchas.

#AStarIsBorn 
#ASIB 
#Shallow 
@ladygagapic.twitter.com/zma6hBydmi",,,2,1538420986000.0,12:09 PM - 1 Oct 2018,/pablo_qwerty_/status/1046839608741380096,
1567197173-12958,https://twitter.com/search?f=tweets&q=%23astarisborn%20since%3A2018-10-01%20until%3A2018-10-02&src=typd,@gagadaily,Gaga Daily,"Bradley Cooper covers W Magazine, shot by Inez and Vinoodh. #AStarIsBorn pic.twitter.com/sptYUYErHP",29.0,280.0,1.7K,1538407712000.0,8:28 AM - 1 Oct 2018,/gagadaily/status/1046783933373968384,
1567197173-12531,https://twitter.com/search?f=tweets&q=%23astarisborn%20since%3A2018-10-01%20until%3A2018-10-02&src=typd,@tripsyland,Tré,I’m going to see #AStarIsBorn tomorrow! pic.twitter.com/nNGshfRvvx,,,,1538421248000.0,12:14 PM - 1 Oct 2018,/tripsyland/status/1046840705933594624,
1567197173-12385,https://twitter.com/search?f=tweets&q=%23astarisborn%20since%3A2018-10-01%20until%3A2018-10-02&src=typd,@Baby_Princess_L,breathin,Je suis trop retournée c’est un truc de dingue #AStarIsBorn,3.0,2.0,4,1538426245000.0,1:37 PM - 1 Oct 2018,/Baby_Princess_L/status/1046861665046843393,
