web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1569552467-2022,https://twitter.com/search?f=tweets&q=%23adastra%20since%3A2019-09-17%20until%3A2019-09-18&src=typd,@ForeverAlums,It's A Long Story,"Credit @adastramovie IG. 

#AdAstra pic.twitter.com/qwdkYZOGFL",,,2,1568756169000,2:36 PM - 17 Sep 2019,/ForeverAlums/status/1174074587019194369,
1569552467-2347,https://twitter.com/search?f=tweets&q=%23adastra%20since%3A2019-09-17%20until%3A2019-09-18&src=typd,@ByChanchi,Francisco Claudio Urbano,"RT @20thCFoxSp: ""Parece que cuanto más avanza la tecnología, menos cambian las cosas, todo sigue igual"" James Gray,  director de #AdAstra https://twitter.com/ByChanchi/status/1169700304402747398?s=19 …pic.twitter.com/Tr67dwJSPA",,,,1568729061000,7:04 AM - 17 Sep 2019,/ByChanchi/status/1173960887755038720,
1569552467-2168,https://twitter.com/search?f=tweets&q=%23adastra%20since%3A2019-09-17%20until%3A2019-09-18&src=typd,@FindAnyFilm,FindAnyFilm,"If you can't wait for #AdAstra, we've got a stellar list of space films to tide you over... http://bit.ly/2kOdtPN pic.twitter.com/dKemiTYO45",,1.0,1,1568741400000,10:30 AM - 17 Sep 2019,/FindAnyFilm/status/1174012641951531015,
1569552467-2233,https://twitter.com/search?f=tweets&q=%23adastra%20since%3A2019-09-17%20until%3A2019-09-18&src=typd,@funnyoldworldx,funnyoldworld  🔜 LFF 2019,"Ahhhhh!!! @cineworld pleeeease can you show new films in standard 2D at your Leicester Square cinema!!! Some of us can't watch 4DX or Imax!!! I just want to watch Ad Astra on the release day  

#Cineworld #unlimitedcardholder #adastra",1.0,,1,1568737158000,9:19 AM - 17 Sep 2019,/funnyoldworldx/status/1173994848900325379,
1569552467-2598,https://twitter.com/search?f=tweets&q=%23adastra%20since%3A2019-09-17%20until%3A2019-09-18&src=typd,@bertalberca,Ber Tuca,Quiero pack de #AdAstra gracias a #ConcursoAccionCine mi película espacial preferida es Interestellarpic.twitter.com/IdlWCknP0x,,,2,1568705573000,12:32 AM - 17 Sep 2019,/bertalberca/status/1173862371481268225,
1569552467-2447,https://twitter.com/search?f=tweets&q=%23adastra%20since%3A2019-09-17%20until%3A2019-09-18&src=typd,@MartosSilvis,silvia martos,"Quiero el pack de #AdAstra gracias a #ConcursoAccionCine 2001 una odisea en el espacio,excelente y su música también",,,,1568720864000,4:47 AM - 17 Sep 2019,/MartosSilvis/status/1173926505287737344,
1569552467-2427,https://twitter.com/search?f=tweets&q=%23adastra%20since%3A2019-09-17%20until%3A2019-09-18&src=typd,@GrahamHess,Danny Call,Quiero un pack de regalos y una cazadora #Bomber de #AdAstra #ConcursosCineralia Tommy Lee Jones,,,,1568722791000,5:19 AM - 17 Sep 2019,/GrahamHess/status/1173934589271842816,
1569552467-2201,https://twitter.com/search?f=tweets&q=%23adastra%20since%3A2019-09-17%20until%3A2019-09-18&src=typd,@A1varoLopez,Álvaro López Martín  📝,"#AdAstra , travesía espacial a lo más íntimo: https://areajugones.sport.es/cine/critica-de-ad-astra-travesia-espacial-a-lo-mas-intimo/amp/?__twitter_impression=true … por @Areajugonespic.twitter.com/gwKU1ZzSbm",,,5,1568739451000,9:57 AM - 17 Sep 2019,/A1varoLopez/status/1174004465378177025,
1569552467-2015,https://twitter.com/search?f=tweets&q=%23adastra%20since%3A2019-09-17%20until%3A2019-09-18&src=typd,@MannedTweets,Manned Spaceflights Tweets,Nový americký film #AdAstra https://twitter.com/nasahqphoto/status/1173819144803950592 …,,,,1568757601000,3:00 PM - 17 Sep 2019,/MannedTweets/status/1174080595468705792,
1569552467-2064,https://twitter.com/search?f=tweets&q=%23adastra%20since%3A2019-09-17%20until%3A2019-09-18&src=typd,@cinecritik,cinecritik,"La couverture du magazine @lesinrocks avec Brad Pitt, héros du film #AdAstra  de James Gray qui sort cette semaine. pic.twitter.com/RC4ChdB988",,,1,1568752002000,1:26 PM - 17 Sep 2019,/cinecritik/status/1174057109190840320,
1569552467-2054,https://twitter.com/search?f=tweets&q=%23adastra%20since%3A2019-09-17%20until%3A2019-09-18&src=typd,@jordannkotb335,Evicka,V.I.P #Premiera #AdAstra #BradPitt #CinemaCity #Flora  #redcarpet   pic.twitter.com/sA8kna8U26,,,2,1568752696000,1:38 PM - 17 Sep 2019,/jordannkotb335/status/1174060019148632069,
1569552467-2499,https://twitter.com/search?f=tweets&q=%23adastra%20since%3A2019-09-17%20until%3A2019-09-18&src=typd,@Empire_Movies,Empire Movies,"Brad Pitt will go to the end of the universe to save humanity. See #AdAstra, in theaters September 19 pic.twitter.com/lqVlOMxch8",,2.0,3,1568716696000,3:38 AM - 17 Sep 2019,/Empire_Movies/status/1173909023940329472,
1569552467-2608,https://twitter.com/search?f=tweets&q=%23adastra%20since%3A2019-09-17%20until%3A2019-09-18&src=typd,@Guille_Tirado,Guillermo Tirado,"@AccionCine Quiero pack de #AdAstra gracias a #ConcursoAccionCine. Mi película espacial favorita es Alien. Es una de las pocas películas que pueden llamarse perfectas, en todos los campos; y demostró que la falta de presupuesto es el mejor efecto para dar escalofríos.",,,,1568704854000,12:20 AM - 17 Sep 2019,/Guille_Tirado/status/1173859355705430016,
1569552467-2051,https://twitter.com/search?f=tweets&q=%23adastra%20since%3A2019-09-17%20until%3A2019-09-18&src=typd,@LaHenryteca,La Henryteca 🎥,"Ya podéis encontrar en el blog la reseña de la esperada #AdAstra de @20thCFoxSp

http://www.henrytecadelcine.com/2019/09/AdAstra.html …

Epopeya espacial para el mayor lucimiento de un notable #BradPitt de ritmo algo desesperantepic.twitter.com/MnPE8A1AZN",,3.0,3,1568753201000,1:46 PM - 17 Sep 2019,/LaHenryteca/status/1174062139386077185,
