web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1567186308-4804,https://twitter.com/search?f=tweets&q=%23aladdin%20since%3A2019-05-17%20until%3A2019-05-18&src=typd,@ArmaanianRisa,RisaAM ✌ ♥ 🇮🇩,Must watch #Aladdin Hindi version! Yeah  @ArmaanMalik22,,,2,1558096904000.0,5:41 AM - 17 May 2019,/ArmaanianRisa/status/1129366391243415552,
1567186308-4597,https://twitter.com/search?f=tweets&q=%23aladdin%20since%3A2019-05-17%20until%3A2019-05-18&src=typd,@RamasScreen,Rama's Screen  🔜 TIFF,"I've received this press release announcing that  #Aladdin star #MenaMassoud leading the voice cast of world-renowned poet Rumi in the new animated movie, ‘LAMYA’S POEM.' This... https://www.ramascreen.com/aladdin-star-mena-massoud-leads-voice-cast-of-animated-movie-lamyas-poem/ …",,,,1558106751000.0,8:25 AM - 17 May 2019,/RamasScreen/status/1129407689635897346,
1567186308-4518,https://twitter.com/search?f=tweets&q=%23aladdin%20since%3A2019-05-17%20until%3A2019-05-18&src=typd,@mariolopf,MARIO LOP FRANCH,"#JoTMBé et dóna l'oportunitat de veure la preestrena d’#Aladdin, la pel·lícula d'acció real del clàssic de @Disney dirigida per Guy Ritchie. https://jotmbe.tmb.cat/ca/promocions/aladdin-2019 …",,,,1558110304000.0,9:25 AM - 17 May 2019,/mariolopf/status/1129422592513839110,
1567186308-4842,https://twitter.com/search?f=tweets&q=%23aladdin%20since%3A2019-05-17%20until%3A2019-05-18&src=typd,@le7_ciel_Bs,わと 🇯🇵,"YESSS!!
#Aladdín 
#Jasmine",,,,1558094893000.0,5:08 AM - 17 May 2019,/le7_ciel_Bs/status/1129357954468073472,
1567186308-4092,https://twitter.com/search?f=tweets&q=%23aladdin%20since%3A2019-05-17%20until%3A2019-05-18&src=typd,@jessi_lee2004,🧡 🧡 🎗Jess 🎗 🧡 🧡,Check out Disney Parks Happy Holidays 2016 Wreath Beach Club Resort Hinged 3-D Pin LR 1000 https://www.ebay.com/ulk/itm/233073187461 … @eBay #disney #disneyworld  #disneyland  #DisneyCruise  #DisneyPlus #DisneyLegends #DisneyEmojiBlitz #e3 #E32019 #Aladdin  #ToyStory4,,,,1558131831000.0,3:23 PM - 17 May 2019,/jessi_lee2004/status/1129512884495630338,
1567186308-4767,https://twitter.com/search?f=tweets&q=%23aladdin%20since%3A2019-05-17%20until%3A2019-05-18&src=typd,@SmythsToysIRE,Smyths Toys Ireland,"The Weekend is nearly here! 
Who's ready to celebrate? 
Aladdin is in cinemas on Wednesday, 22nd May! 
#Aladdin pic.twitter.com/h505MlvG9U",,2,8,1558098565000.0,6:09 AM - 17 May 2019,/SmythsToysIRE/status/1129373356384497670,
1567186308-4341,https://twitter.com/search?f=tweets&q=%23aladdin%20since%3A2019-05-17%20until%3A2019-05-18&src=typd,@rafael_13I,Iñaki Goitia,"Me gusto mucho que @iambeckyg sea la que haga esta versión en español junto con @zaynmalik , lo malo es que no me convece la versión (No quiere decir que no me guste), quizas falto más chispa pero algo es seguro prefiero a #BeckyG antes que @ZhaviaWard  (En las 2).

#Aladdin https://twitter.com/DisneyStudiosLA/status/1129356707224838147 …",,,1,1558118300000.0,11:38 AM - 17 May 2019,/rafael_13I/status/1129456131166937088,
1567186308-5351,https://twitter.com/search?f=tweets&q=%23aladdin%20since%3A2019-05-17%20until%3A2019-05-18&src=typd,@redecinemaxx,Rede Cinemaxx,"Já está disponível a pré-venda de ingressos para #Aladdin em todos os nossos cinemas! A partir desta quinta, 16 de maio, a galera de Vassouras, Itaperuna, Paracambi e região também podem garantir seu passaporte para essa mágica e divertida aventura. Estreia em 23 de maio!  pic.twitter.com/z7ZlZB8w58",,,,1558051274000.0,5:01 PM - 16 May 2019,/redecinemaxx/status/1129175004476837888,
1567186308-4806,https://twitter.com/search?f=tweets&q=%23aladdin%20since%3A2019-05-17%20until%3A2019-05-18&src=typd,@tnsalvattera,makshimo,#Aladdin pic.twitter.com/m34ZV7IIEk,,,,1558096709000.0,5:38 AM - 17 May 2019,/tnsalvattera/status/1129365569705091073,
1567186308-4971,https://twitter.com/search?f=tweets&q=%23aladdin%20since%3A2019-05-17%20until%3A2019-05-18&src=typd,@NettChawana,Nett.Chawana_deSirena,ได้ดู teaser น้ำตาไหลเลย ตอน ที่บอกว่า Do you trust me? Yes. แล้วก็ A Whole New World  มันคิดถึง​อะ ใครที่ไม่ได้โตมากับเจ้าหญิง​ดิสนีย์​และคิดว่าตัวเอง​เป็น​เจ้าหญิง​และร้องเพลงด้วย แบบฉัน คงไม่เข้าใจ​ #Aladdin #DisneyAladdin #โลกสวยหน้าก็สวยด้วยpic.twitter.com/EtVIzFTqew,1.0,,1,1558083384000.0,1:56 AM - 17 May 2019,/NettChawana/status/1129309684224053249,
