web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1567719944-35120,https://twitter.com/search?f=tweets&q=%23allied%20since%3A2016-11-03%20until%3A2016-11-07&src=typd,@IndianAcers,Indian Conventions (Talees Rizvi),"@BLK_Hospital Nomination open Healthcare Awards #Medicine #Equipment, #Doctors #Allied Service & #Legal http://www.indianconventions.com  P:9310634007",,,,1478262237000,5:23 AM - 4 Nov 2016,/IndianAcers/status/794515527238447104,
1567719944-35098,https://twitter.com/search?f=tweets&q=%23allied%20since%3A2016-11-03%20until%3A2016-11-07&src=typd,@LinderMachinery,Linder Industrial,Check out today’s #LinderModelOfTheDay The Allied HOPAC 400B Vibratory Compactor #allied http://www.linderco.com/modeloftheday pic.twitter.com/bvvjBpGMCb,,,,1478346318000,4:45 AM - 5 Nov 2016,/LinderMachinery/status/794868187368136704,
1567719944-35062,https://twitter.com/search?f=tweets&q=%23allied%20since%3A2016-11-03%20until%3A2016-11-07&src=typd,@nzlistener,The Listener,Win tickets to an exclusive screening of #Allied http://www.listener.co.nz/win/exclusive-screening-allied/ …pic.twitter.com/wdwvhEwiRV,,,,1478465372000,12:49 PM - 6 Nov 2016,/nzlistener/status/795367534845267968,
1567719944-35094,https://twitter.com/search?f=tweets&q=%23allied%20since%3A2016-11-03%20until%3A2016-11-07&src=typd,@_reits,Real Estate News,"#Allied Properties Real Estate Investment to Post FY2017 Earnings of $2.30 Per Share, Nati... Read more: http://owler.us/abOc8Z  $AP.UN",,,,1478358251000,8:04 AM - 5 Nov 2016,/_reits/status/794918237242724353,
1567719944-35121,https://twitter.com/search?f=tweets&q=%23allied%20since%3A2016-11-03%20until%3A2016-11-07&src=typd,@IndianAcers,Indian Conventions (Talees Rizvi),"@laparoscope Nomination open Healthcare Awards #Medicine #Equipment, #Doctors #Allied Service & #Legal http://www.indianconventions.com  Ph:9310634007",,,,1478262223000,5:23 AM - 4 Nov 2016,/IndianAcers/status/794515467708706817,
1567719944-35104,https://twitter.com/search?f=tweets&q=%23allied%20since%3A2016-11-03%20until%3A2016-11-07&src=typd,@Debrah102790,Debra hall,#Allied https://www.youtube.com/watch?v=HSCQWX-pUSg …,,,,1478306951000,5:49 PM - 4 Nov 2016,/Debrah102790/status/794703071586586624,
1567719944-35140,https://twitter.com/search?f=tweets&q=%23allied%20since%3A2016-11-03%20until%3A2016-11-07&src=typd,@yayahoward,Da pretty one,#Allied https://www.youtube.com/watch?v=HSCQWX-pUSg …,,,,1478221007000,5:56 PM - 3 Nov 2016,/yayahoward/status/794342593739952128,
1567719944-35125,https://twitter.com/search?f=tweets&q=%23allied%20since%3A2016-11-03%20until%3A2016-11-07&src=typd,@IndianAcers,Indian Conventions (Talees Rizvi),"Nominations open Healthcare Awards #Medicine, #Equipment, #Doctors, #Allied Services and #Legal http://www.indianconventions.com",,,,1478262069000,5:21 AM - 4 Nov 2016,/IndianAcers/status/794514821051916289,
1567719944-35107,https://twitter.com/search?f=tweets&q=%23allied%20since%3A2016-11-03%20until%3A2016-11-07&src=typd,@AlliedMovie,Allied Movie,Be calm. Stay aware. Trust no one. #Allied #PropagandaArt #FlashbackFridaypic.twitter.com/2Fbpm6Zmvq,,13.0,17.0,1478293176000,1:59 PM - 4 Nov 2016,/AlliedMovie/status/794645293132226560,
1567719944-35081,https://twitter.com/search?f=tweets&q=%23allied%20since%3A2016-11-03%20until%3A2016-11-07&src=typd,@ColinJWarnock,Colin J. Warnock,#BradPitt and #MarionCotillard generate heat in #Allied.  Doesn't hurt that now we're all wondering if it's real or acting. @AlliedMoviepic.twitter.com/sm7FugXiRu,,1.0,2.0,1478382754000,2:52 PM - 5 Nov 2016,/ColinJWarnock/status/795021010026332165,
