web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1567020315-2082,https://twitter.com/search?f=tweets&q=%23annihilation%20since%3A2018-02-17%20until%3A2018-02-21&src=typd,@spinescast,Cracked Spines,Catch our episode on Jeff VanderMeer's novel #Annihilation in preparation for the movie! https://crackedspines.podiant.co/e/35f80261e1f2fa/ …pic.twitter.com/UkLxjvmR3E,1.0,,2.0,1519088573000,5:02 PM - 19 Feb 2018,/spinescast/status/965753591771385861,
1567020315-1991,https://twitter.com/search?f=tweets&q=%23annihilation%20since%3A2018-02-17%20until%3A2018-02-21&src=typd,@DiabeticCyborgg,"Adam, Diabetic Cyborg","#Thor, #Creed, a new ‘#Annihilation — #TessaThompson is #takingover “I’m just so #happy to be #living in a time when we’re #breakingdown #glassceilings.” http://undf.td/2EGqgNd  #Marvel #Movies #Women #Film #Feminism #MarvelStudios #MarvelCinematicUniverse #Sundance #Hollywood",,,,1519149118000,9:51 AM - 20 Feb 2018,/DiabeticCyborgg/status/966007535420542977,
1567020315-2029,https://twitter.com/search?f=tweets&q=%23annihilation%20since%3A2018-02-17%20until%3A2018-02-21&src=typd,@owenkcraig,Owen Craig,"Thanks to @DorkShelf I'm going to be seeing #Annihilation with @oldjetsam tomorrow! Thanks for the tickets, I can't wait!",1.0,1.0,4.0,1519136910000,6:28 AM - 20 Feb 2018,/owenkcraig/status/965956329679486976,
1567020315-2189,https://twitter.com/search?f=tweets&q=%23annihilation%20since%3A2018-02-17%20until%3A2018-02-21&src=typd,@For_Pity_Sake,For Pity Sake,.@dave_burton reviews #annihilation by Jeff VanderMeer ahead of the upcoming film. Be the first to comment and get a #free book! http://forpitysake.com.au/annihilation-by-jeff-vandermeer-review-by-david-burton/ …,,3.0,1.0,1518990509000,1:48 PM - 18 Feb 2018,/For_Pity_Sake/status/965342279299842048,
1567020315-1950,https://twitter.com/search?f=tweets&q=%23annihilation%20since%3A2018-02-17%20until%3A2018-02-21&src=typd,@Rodrister,Rodri,"Después de #Annihilation, Garland se pasa a la tele https://twitter.com/Collider/status/966049244284116993 …",,,,1519159153000,12:39 PM - 20 Feb 2018,/Rodrister/status/966049623608619009,
1567020315-2256,https://twitter.com/search?f=tweets&q=%23annihilation%20since%3A2018-02-17%20until%3A2018-02-21&src=typd,@teasertrailer,Teaser-Trailer.com,"Annihilation - 3 movie clips: https://teaser-trailer.com/movie/annihilation/ …

#Annihilation #AnnihilationMovie #NataliePortman #MovieClipspic.twitter.com/neBzcmR30l",,,1.0,1518908124000,2:55 PM - 17 Feb 2018,/teasertrailer/status/964996732193882112,
1567020315-2046,https://twitter.com/search?f=tweets&q=%23annihilation%20since%3A2018-02-17%20until%3A2018-02-21&src=typd,@FW1SHINE,FW1SHINE.COM,#NeverAgain #fergienationalanthem #TheBachelor #UberEATS #floridahighschoolshooting #StudentSurvivor #StudentsDemand #KFC #fergienationalanthem #BlackPantherMovie #Oscars2018 #Olympics #MeToo #lawmaker #AnthonyRizzo #roxanne #MuellerIsComing #SocialMedia #Marvel #Annihilation @appic.twitter.com/HBVkc75bpj,,,2.0,1519108114000,10:28 PM - 19 Feb 2018,/FW1SHINE/status/965835552464420864,
1567020315-2140,https://twitter.com/search?f=tweets&q=%23annihilation%20since%3A2018-02-17%20until%3A2018-02-21&src=typd,@inkpage,The Other Jess,"“We all live in a kind of continuous dream...when we wake, it is because something, some event, some pinprick even, disturbs the edges of what we’ve taken as reality.” #amreading #Annihilation",,,1.0,1519052904000,7:08 AM - 19 Feb 2018,/inkpage/status/965603982906445826,
1567020315-1900,https://twitter.com/search?f=tweets&q=%23annihilation%20since%3A2018-02-17%20until%3A2018-02-21&src=typd,@scottcdanielson,Scott Danielson,Get ready for #Annihilation with Alex Garland's Ex Machina (Revisted) …https://scottsself-indulgentmoviereviewblog.blogspot.com/2018/02/ex-machina-revisted.html …,,,,1519169639000,3:33 PM - 20 Feb 2018,/scottcdanielson/status/966093606523211776,
1567020315-2300,https://twitter.com/search?f=tweets&q=%23annihilation%20since%3A2018-02-17%20until%3A2018-02-21&src=typd,@SceneItCast,Scene-It Cast,"Our #podcast movie review schedule for the next month 
#blackpanthermovie #romanjisraelesq #fruitvalestation #annihilation #astupidandfutilegesture #gamenightmovie #redsparrow #redsparrowmovie #deathwishmovie #mutemovie #gringo #awrinkleintime #hurricaneheist #moviepodcastpic.twitter.com/uUP1aVV1Zq",,1.0,1.0,1518880281000,7:11 AM - 17 Feb 2018,/SceneItCast/status/964879951387348993,
1567020315-2107,https://twitter.com/search?f=tweets&q=%23annihilation%20since%3A2018-02-17%20until%3A2018-02-21&src=typd,@JBraxt29,Jarred Braxton,#Annihilation looks beautiful and terrifying and I can't wait to see it this weekend! https://buff.ly/2EUpV93 pic.twitter.com/R3zEsvaGDs,,,,1519068607000,11:30 AM - 19 Feb 2018,/JBraxt29/status/965669848608137221,
1567020315-2067,https://twitter.com/search?f=tweets&q=%23annihilation%20since%3A2018-02-17%20until%3A2018-02-21&src=typd,@Dericulous,RSM,"Violent movies 2018 to boycott until the elite take some responsibility:
#Annihilation
#Deathwish
#Red Sparrow
#Tomb Raider
#Traffik
#Sicaro2:Saldado
#Mission Impossible
#The Predator 
#The Equalizer
#Three Seconds
#Slenderman
#Halloween
#Xmen:Dark Phoenix",1.0,,,1519095002000,6:50 PM - 19 Feb 2018,/Dericulous/status/965780555382927360,
1567020315-2133,https://twitter.com/search?f=tweets&q=%23annihilation%20since%3A2018-02-17%20until%3A2018-02-21&src=typd,@BSOmagazine,BSO magazine,"Alucinaron con la música del trailer de #Annihilation de @jetfury y Ben Salisbury? @invadauk lanzó un adelanto en Soundcloud del tema ""The Alien"" y se ve realmente buenísimo. Tenemos ya la banda sonora del año?
https://soundcloud.com/invadauk/ben-salisbury-geoff-barrow-the-alien-edit …",,1.0,,1519054767000,7:39 AM - 19 Feb 2018,/BSOmagazine/status/965611799155499009,
1567020315-2131,https://twitter.com/search?f=tweets&q=%23annihilation%20since%3A2018-02-17%20until%3A2018-02-21&src=typd,@Official9Deuce,9 Deuce,#Tomb of #Annihilation (TFTPB) – Chapter Three https://goo.gl/fb/GzD7ad  #talesfromtheplunderbundconsortium #5e,,,,1519055827000,7:57 AM - 19 Feb 2018,/Official9Deuce/status/965616245239373824,
