web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1567389642-26534,https://twitter.com/search?f=tweets&q=%23blackkklansman%20since%3A2018-08-08%20until%3A2018-08-09&src=typd,@alainstantT,Alain Thomas ATP,Après le GRAND PRIX obtenu  au @Festival_Cannes  #BlacKkKlansman qui est sortie le 10 Août aux  ... sort le 22 Août en  sur tous les écrans ... Avant première @Cannes ... le 21 Août ... #CotedAzurNow #coteDazurFrancepic.twitter.com/dQswLJ0uZ5,,2.0,,1533723176000,3:12 AM - 8 Aug 2018,/alainstantT/status/1027135563252596737,
1567389642-26370,https://twitter.com/search?f=tweets&q=%23blackkklansman%20since%3A2018-08-08%20until%3A2018-08-09&src=typd,@InSessionFilm,InSession Film,"I have not seen #BlacKkKlansman yet, but I can already declare that #JohnDavidWashington is my new favorite actor. He is the only one - that I know of anyway - that shares the same name as me.",2.0,1.0,9,1533750872000,10:54 AM - 8 Aug 2018,/InSessionFilm/status/1027251730491351048,
1567389642-26238,https://twitter.com/search?f=tweets&q=%23blackkklansman%20since%3A2018-08-08%20until%3A2018-08-09&src=typd,@laemmlemonica,Laemmle Monica Film Center,"Starting tomorrow, don't miss the incredible new joint from director Spike Lee, #BlacKkKlansman. Check out the trailer then head over to http://www.laemmle.com  to get your tickets now!http://ow.ly/b4zS30ld7Ic",,,,1533768006000,3:40 PM - 8 Aug 2018,/laemmlemonica/status/1027323595297566721,
1567389642-26368,https://twitter.com/search?f=tweets&q=%23blackkklansman%20since%3A2018-08-08%20until%3A2018-08-09&src=typd,@TheCrowdUpdater,The Crowd Updater,Celebs at the #BlackKklansman movie premiere #afterparty like... #SpikeLeeJoint #TiffanyHaddish #DanielleBrooks #CoreyHawkins #ChynaLayne #LauraHarrier #DamarisLewis #TheCrowdUpdater https://www.facebook.com/TheCrowdUpdater/videos/1801252169988094/ …,,,,1533751121000,10:58 AM - 8 Aug 2018,/TheCrowdUpdater/status/1027252773836939264,
1567389642-26597,https://twitter.com/search?f=tweets&q=%23blackkklansman%20since%3A2018-08-08%20until%3A2018-08-09&src=typd,@realShawNshawN,🆂🅷 🅰🆆🅽🆂🅷 🅰🆆🅽 | Artist,Here is my take on the film #blacKKKlansman https://youtu.be/0nFPiCAwR30,,,,1533698239000,8:17 PM - 7 Aug 2018,/realShawNshawN/status/1027030969377681408,
1567389642-26548,https://twitter.com/search?f=tweets&q=%23blackkklansman%20since%3A2018-08-08%20until%3A2018-08-09&src=typd,@TommiKumen,Tommi Kumén,#BlacKkKlansman ista voisi tehdä Suomi-version. Tummaihoinen poliisi soluttautuu saamelaiskäräjille (koska miksi ei?) stuntin avulla – BlackLänsman #Elokuva,,,,1533715224000,1:00 AM - 8 Aug 2018,/TommiKumen/status/1027102213355839488,
1567389642-26462,https://twitter.com/search?f=tweets&q=%23blackkklansman%20since%3A2018-08-08%20until%3A2018-08-09&src=typd,@laurenmzabel,Lauren Zabel,Seeing #BlacKkKlansman today thanks to @Blackbirds and have plans to see @CrazyRichMovie on opening day. #RepresentationMattershttps://twitter.com/MatthewACherry/status/1026266346894630912 …,,,5,1533740413000,8:00 AM - 8 Aug 2018,/laurenmzabel/status/1027207861422579712,
1567389642-26203,https://twitter.com/search?f=tweets&q=%23blackkklansman%20since%3A2018-08-08%20until%3A2018-08-09&src=typd,@nickhyman3,Nick Hyman,Beyond excited to see the latest Spike Lee Joint! #Blackkklansman pic.twitter.com/VHVWEY3Pdw,2.0,,2,1533769572000,4:06 PM - 8 Aug 2018,/nickhyman3/status/1027330164001144834,
1567389642-26535,https://twitter.com/search?f=tweets&q=%23blackkklansman%20since%3A2018-08-08%20until%3A2018-08-09&src=typd,@aceshowbiz,AceShowbiz,#TopherGrace Says His Role in '#BlacKkKlansman' 'Depressive' https://www.aceshowbiz.com/news/view/00124353.html?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/43ZEqXHvHt,,,,1533722627000,3:03 AM - 8 Aug 2018,/aceshowbiz/status/1027133263909773312,
1567389642-26278,https://twitter.com/search?f=tweets&q=%23blackkklansman%20since%3A2018-08-08%20until%3A2018-08-09&src=typd,@chrisgmoney,Gplus1,Rumble black Man Rumble!!!!  Stay in the fight!   https://www.youtube.com/watch?v=EOZXxnpV8U0&feature=share …!!! #black #BlacKkKlansman #BlackWomensEqualPayDay #BlackTwitter #atlanta #houston #dallass #ready #shop #Trump #SmashBrosUltimate #WallpaperWednesday #808daypic.twitter.com/mJxlWkm53s,,1.0,1,1533763213000,2:20 PM - 8 Aug 2018,/chrisgmoney/status/1027303489897226240,
