web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1567109843-6996,https://twitter.com/search?f=tweets&q=%23booksmart%20since%3A2019-05-23%20until%3A2019-05-24&src=typd,@library_master,MasterMindLibrary,Happiness doesn’t come from avoiding problems. It comes from solving them. #responsibility #Booksmart #Solution #growthhacking #lawofsuccess,,1.0,4.0,1558622035000,7:33 AM - 23 May 2019,/library_master/status/1131568947633897472,
1567109843-7025,https://twitter.com/search?f=tweets&q=%23booksmart%20since%3A2019-05-23%20until%3A2019-05-24&src=typd,@mo_keyB,Mitchell Bowker,"Godammit, now I wanna watch this movie. #Booksmart

BOOKSMART | Uncut First 6 Minutes https://youtu.be/BK4DZ2evaos",,,,1558609356000,4:02 AM - 23 May 2019,/mo_keyB/status/1131515766799343616,
1567109843-6985,https://twitter.com/search?f=tweets&q=%23booksmart%20since%3A2019-05-23%20until%3A2019-05-24&src=typd,@CarlosJimenezDF,Carlos Jimenez Muñoz,@ImagemFilmesMX #Booksmart #LaNocheDeLasNerdshttps://twitter.com/AM2DM/status/1131570113843359744 …,,,1.0,1558625025000,8:23 AM - 23 May 2019,/CarlosJimenezDF/status/1131581488775012352,
1567109843-7049,https://twitter.com/search?f=tweets&q=%23booksmart%20since%3A2019-05-23%20until%3A2019-05-24&src=typd,@EmilyVMurray,Emily Murray,"Olivia Wilde’s directorial debut #Booksmart is incredible, one of the best films of the year. Go see it. I can’t wait to see what she does next  https://twitter.com/RottenTomatoes/status/1131271925055905792 …",,,2.0,1558593601000,11:40 PM - 22 May 2019,/EmilyVMurray/status/1131449685871349762,
1567109843-6828,https://twitter.com/search?f=tweets&q=%23booksmart%20since%3A2019-05-23%20until%3A2019-05-24&src=typd,@FoolFantastic,FoolFantastic,"Seriously, check this film out this weekend if you get a chance! #Booksmart",,,,1558654193000,4:29 PM - 23 May 2019,/FoolFantastic/status/1131703828255072256,
1567109843-6979,https://twitter.com/search?f=tweets&q=%23booksmart%20since%3A2019-05-23%20until%3A2019-05-24&src=typd,@TheOtherScottM,Scott Menzel @ Telluride Film Festival,Support female filmmakers. Go see Booksmart this weekend because it’s freaking amazing. Olivia Wilde's Booksmart is a Smart and Hysterical Love-Letter to Outcasts of All Ages. #BooksmartMovie #Booksmart https://weliveentertainment.com/welivefilm/sxsw-2019-review-olivia-wildes-booksmart-is-a-smart-and-hysterical-love-letter-to-outcasts-of-all-ages/ … via @WeLiveEntmt,,1.0,6.0,1558626309000,8:45 AM - 23 May 2019,/TheOtherScottM/status/1131586876295376896,
1567109843-6901,https://twitter.com/search?f=tweets&q=%23booksmart%20since%3A2019-05-23%20until%3A2019-05-24&src=typd,@Emma_J_Turner,Emma Turner,I couldn’t have loved this film more  #booksmart #booksmartmovie #films #london #cinema #fivestarreview https://www.instagram.com/p/Bx0UEphnMiV/?igshid=1mu3c2dcsyhsw …,,,1.0,1558641035000,12:50 PM - 23 May 2019,/Emma_J_Turner/status/1131648639661727747,
1567109843-6933,https://twitter.com/search?f=tweets&q=%23booksmart%20since%3A2019-05-23%20until%3A2019-05-24&src=typd,@roarEcashin,Rory Cashin,"New @BigReviewski!
- reviews of #Aladdin, #Rocketman, and #Booksmart!
- chats with @NaomiScott, @MenaMassoud, and Will Smith!
- the winner of our incredible Infinity Gauntlet prize!
- preview of #Midsommar!
Audio: https://open.spotify.com/episode/0sjisuzG90MCEi4dkqZpAE?si=4yEivb5yR2mPBSb-CadIIg …
Video:https://youtu.be/qskc4T4zvV0",,3.0,4.0,1558634793000,11:06 AM - 23 May 2019,/roarEcashin/status/1131622459663376384,
1567109843-7104,https://twitter.com/search?f=tweets&q=%23booksmart%20since%3A2019-05-23%20until%3A2019-05-24&src=typd,@MisterPreda,Mister Preda,"HELLEUR!!!! Los Angeles!  come hangout tomorrow night & enjoy an advanced screening of #Booksmart with me + @JoeyGraceffa for FREE!  I’ll get the popcorn, click the link for tix  https://annapurnascreenings.com/index.php/main/movie_landing/Qm9va3NtYXJ0R0xBQURsYQ%3D%3D …pic.twitter.com/tus1wjguiI",32.0,45.0,561.0,1558572841000,5:54 PM - 22 May 2019,/MisterPreda/status/1131362613307224064,
1567109843-6950,https://twitter.com/search?f=tweets&q=%23booksmart%20since%3A2019-05-23%20until%3A2019-05-24&src=typd,@Carlislegendary,Carl Broughton,"Most anticipated watches for the rest of May:
1. #GodzillaKingOfTheMonsters 
2. #Booksmart 
3. #theperfection 
4. #AlwaysBeMyMaybe 
5. #Ma",,,1.0,1558631797000,10:16 AM - 23 May 2019,/Carlislegendary/status/1131609891888619520,
