web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1567468680-36587,https://twitter.com/search?f=tweets&q=%23coco%20since%3A2017-11-19%20until%3A2017-11-20&src=typd,@KrisWroteThis,Kristina Hernandez,"Let me answer this for y’all with the same question:

NOTALLLATINOS/HISPANICSSPEAKSPANISH!

And nor do they have to! #Coco pic.twitter.com/lZUvNg1fqN",1.0,,3.0,1511120502000,11:41 AM - 19 Nov 2017,/KrisWroteThis/status/932333079003197440,
1567468680-37080,https://twitter.com/search?f=tweets&q=%23coco%20since%3A2017-11-19%20until%3A2017-11-20&src=typd,@MomentsES,Twitter Moments en Español,"¿Sabías que #Coco se llama 'Viva' en Brasil? 

¿O que también tiene otro nombre en Japón? 

Aquí te lo contamos 

https://twitter.com/i/moments/932062896175099904 …",,13.0,48.0,1511057400000,6:10 PM - 18 Nov 2017,/MomentsES/status/932068409080029185,
1567468680-36447,https://twitter.com/search?f=tweets&q=%23coco%20since%3A2017-11-19%20until%3A2017-11-20&src=typd,@995PlayFM,99.5 Play FM,Get a chance to win tix to #Coco by answering our question of the day! @_jazreyes @KatzSalaopic.twitter.com/QiPcuMai9k,62.0,1.0,30.0,1511131982000,2:53 PM - 19 Nov 2017,/995PlayFM/status/932381228472221698,
1567468680-36945,https://twitter.com/search?f=tweets&q=%23coco%20since%3A2017-11-19%20until%3A2017-11-20&src=typd,@GioAg88,Gio Geremia,"Oigan, soy una culera sin corazón si no lloré con #Coco?",2.0,,1.0,1511071331000,10:02 PM - 18 Nov 2017,/GioAg88/status/932126841711792128,
1567468680-36908,https://twitter.com/search?f=tweets&q=%23coco%20since%3A2017-11-19%20until%3A2017-11-20&src=typd,@Milenio_M2,Milenio M2,#Coco va para los hijos de inmigrantes insultados por #Trump: García Bernal http://mile.io/2ATshir pic.twitter.com/nu5ZbIoi5C,,1.0,6.0,1511078402000,12:00 AM - 19 Nov 2017,/Milenio_M2/status/932156497420627969,
1567468680-36867,https://twitter.com/search?f=tweets&q=%23coco%20since%3A2017-11-19%20until%3A2017-11-20&src=typd,@Online_Rivera,Online_Rivera,"""@VickouBernal :
Emotiva la canción de #Recuerdame #Coco #Showman @_carlosrivera 🖒 en Feria Tlaxcala y… https://www.instagram.com/p/BbrGzcTFPuS/ """,,,,1511087847000,2:37 AM - 19 Nov 2017,/Online_Rivera/status/932196113737711616,
1567468680-36817,https://twitter.com/search?f=tweets&q=%23coco%20since%3A2017-11-19%20until%3A2017-11-20&src=typd,@daixxxy,daisy,It gets me on my feels to know Pixar created a film based on my culture. I can’t wait to watch it  #coco,,,,1511099275000,5:47 AM - 19 Nov 2017,/daixxxy/status/932244044369027073,
1567468680-36862,https://twitter.com/search?f=tweets&q=%23coco%20since%3A2017-11-19%20until%3A2017-11-20&src=typd,@JoeyoDiaz,Joey,I can't wait for Coco's release.... #Coco I'm at the edge of a breakdown. pic.twitter.com/RUeVDcTuP0,,,1.0,1511089773000,3:09 AM - 19 Nov 2017,/JoeyoDiaz/status/932204192139304960,
1567468680-36906,https://twitter.com/search?f=tweets&q=%23coco%20since%3A2017-11-19%20until%3A2017-11-20&src=typd,@ara_linares,★Araceli★,Que triste  de corazón que se mejore muy pronto tu #COCO,1.0,,,1511079623000,12:20 AM - 19 Nov 2017,/ara_linares/status/932161619555168256,
1567468680-37145,https://twitter.com/search?f=tweets&q=%23coco%20since%3A2017-11-19%20until%3A2017-11-20&src=typd,@daydreamallyx,Ana loves Camila  ✨,The most humbling and beautiful movie I've ever seen. I'm so proud of my culture #Coco pic.twitter.com/ecuTCD0Lsc,,1.0,1.0,1511050151000,4:09 PM - 18 Nov 2017,/daydreamallyx/status/932038005958807553,
