web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1569548804-131,https://twitter.com/search?f=tweets&q=%23crawl%20since%3A2019-07-05%20until%3A2019-07-09&src=typd,@cinepax_cinema,Cinepax Cinemas,"4 days left!

Book now: visit: http://bit.ly/Cinepax  or dial now: 111-246-372. download the app now: App store: http://bit.ly/CpxiOS . Play store: http://bit.ly/CpxAndroid 

#Crawl #CinepaxCinemaspic.twitter.com/SZk6qlU3dT",,,1.0,1562583114000,3:51 AM - 8 Jul 2019,/cinepax_cinema/status/1148182918327689216,
1569548804-177,https://twitter.com/search?f=tweets&q=%23crawl%20since%3A2019-07-05%20until%3A2019-07-09&src=typd,@OliverEliot,Oliver Eliot Daniels,"Is the new #Crawl movie just a horror movie about #globalwarming that's also like ""and alligators will eat you."" Like the scariest thing that producers can think of when it comes to global warming is ""more alligators""? 

#movietrailers #wtfhollywood",,,,1562408169000,3:16 AM - 6 Jul 2019,/OliverEliot/status/1147449143616577536,
1569548804-109,https://twitter.com/search?f=tweets&q=%23crawl%20since%3A2019-07-05%20until%3A2019-07-09&src=typd,@ParamountAU,Paramount Pictures,The storm is coming... are you ready for #CRAWL? See it in cinemas this Thursday  Get your tickets now: http://bit.ly/CRAWLtickets pic.twitter.com/qn49WXJgD8,,4.0,10.0,1562620503000,2:15 PM - 8 Jul 2019,/ParamountAU/status/1148339740275593216,
1569548804-176,https://twitter.com/search?f=tweets&q=%23crawl%20since%3A2019-07-05%20until%3A2019-07-09&src=typd,@vivaxtz,VIVAX TZ,"It's July! What movies are you excited for??
-


-
#blackphillip #horrormovies #horror #2019 #midsommar #midsummer #midsommarmovie #strangerthings #strangerthings3 #crawl #crawlmovie #netflixoriginal… https://www.instagram.com/p/BzktvzdHrmc/?igshid=hiyj0z6ysllo …",,,,1562412587000,4:29 AM - 6 Jul 2019,/vivaxtz/status/1147467675255418880,
1569548804-186,https://twitter.com/search?f=tweets&q=%23crawl%20since%3A2019-07-05%20until%3A2019-07-09&src=typd,@polymermallard,Polymer Mallard,"RT trailernite ""Tell your friends, put it on your calendar. 'Crawl' is landing soon! #trailer #movie #film #theater #crawl 

Watch the trailer https://buff.ly/2YyIqpT  pic.twitter.com/XMqx4rgr6d""",,,,1562366834000,3:47 PM - 5 Jul 2019,/polymermallard/status/1147275772387872775,
1569548804-113,https://twitter.com/search?f=tweets&q=%23crawl%20since%3A2019-07-05%20until%3A2019-07-09&src=typd,@AudreyDreezy,selfie Queen 👑,@Lyric_kl we would definitely appreciate those tickets  #CrawlMovie #Crawl,,,,1562615756000,12:55 PM - 8 Jul 2019,/AudreyDreezy/status/1148319827578294273,
1569548804-192,https://twitter.com/search?f=tweets&q=%23crawl%20since%3A2019-07-05%20until%3A2019-07-09&src=typd,@NNGhollywood,NNG Hollywood,"#Scary vs #Action #Comedy!

Which #Movie Would You Rather See Next Weekend?!

#Crawl or #Stuber?",3.0,22.0,23.0,1562342788000,9:06 AM - 5 Jul 2019,/NNGhollywood/status/1147174915654787073,
1569548804-199,https://twitter.com/search?f=tweets&q=%23crawl%20since%3A2019-07-05%20until%3A2019-07-09&src=typd,@FilmsActu,FilmsActu.com,#Crawl : un extrait avec un GROS crocodile pour le film de monstre d'Alexandre Aja ! https://is.gd/V0eB3w pic.twitter.com/Q5YrRMzB9X,,2.0,8.0,1562310755000,12:12 AM - 5 Jul 2019,/FilmsActu/status/1147040560764596225,
1569548804-195,https://twitter.com/search?f=tweets&q=%23crawl%20since%3A2019-07-05%20until%3A2019-07-09&src=typd,@paramount_tt,Paramount Trinidad,"Weekend plans: spending time with family, going for a dip, and having a feast.  #Crawl comes to Trinidad and Tobago theatres July 10! pic.twitter.com/jf6ock3iYL",,,,1562335201000,7:00 AM - 5 Jul 2019,/paramount_tt/status/1147143096129343488,
1569548804-175,https://twitter.com/search?f=tweets&q=%23crawl%20since%3A2019-07-05%20until%3A2019-07-09&src=typd,@WeLoveSF,SF Cinema,"ตัวอย่างเวอร์ชั่นเสียงไทย #Crawl #คลานขย้ำ ภาพยนตร์ทริลเลอร์สุดสยอง โดยผู้กำกับสายโหด ""อเล็กซานเดอร์ อาจา"" (The Hills Have Eyes) และผู้อำนวยการสร้าง ""แซม ไรมี"" (Don’t Breathe, Evil Dead) 15 ส.ค. นี้ ที่ #SFcinemapic.twitter.com/UB6ZtBay3U",,7.0,18.0,1562425875000,8:11 AM - 6 Jul 2019,/WeLoveSF/status/1147523410160865280,
