web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1568951388-6840,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@SeniorOnline,Senior.com,What is the cost of owning a home in a cold climate vs making the move to a warm state? http://ow.ly/Li1930h70v1#retirement … #aging #money #home #downsizing pic.twitter.com/0lBjJGzxua,,,,1513277115000,10:45 AM - 14 Dec 2017,/SeniorOnline/status/941378568675880961,
1568951388-6920,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@drunkirby18,💀Clayton Kirby 🎃,"If you ever decide to shrink yourself, just know spiders would be double the size of a house dog. #Downsizing pic.twitter.com/twgD7SC0zx",,,1.0,1513199571000,1:12 PM - 13 Dec 2017,/drunkirby18/status/941053326069764098,
1568951388-6986,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@ReadySteadyCut,Ready Steady Cut,"#PressPlay

OUR GUIDE TO MOVIES IN DECEMBER 2017

#StarWars #Ferdinand #Gotti #Jumanji #TheGreatestShowman #PitchPerfect3 #downsizing #FatherFigures 

https://buff.ly/2nTlP9C",,,,1513139432000,8:30 PM - 12 Dec 2017,/ReadySteadyCut/status/940801085538816000,
1568951388-6953,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@downsizingfilm,Downsizing,Hong Chau is a #SAGAwards nominee for #Downsizing! Congratulations! pic.twitter.com/bUMGkcMSgp,2.0,20.0,81.0,1513178675000,7:24 AM - 13 Dec 2017,/downsizingfilm/status/940965680937025539,
1568951388-6932,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@byStevenRamirez,"Steven Ramirez, #Author","Director Alexander Payne Shares #Downsizing Production Team’s Sizable Contributions http://bit.ly/2AS0mkr  via @timgray_variety “I wanted it to look like an old movie, as wacky as that sounds.” #Moviespic.twitter.com/KiN25lpsnG",,1.0,1.0,1513192598000,11:16 AM - 13 Dec 2017,/byStevenRamirez/status/941024080735678464,
1568951388-6917,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@davidgharat,David Gharat,"Are You Thinking of Buying A Condo, in TORONTO? EASY SEARCH HERE Book A Showing http://www.condofloor.com   #toronto #Markham #condos #donmills #northyork #queensquay #waterfront #downsizing #retire #yorkpic.twitter.com/ZBb50cfUC5",,,,1513202404000,2:00 PM - 13 Dec 2017,/davidgharat/status/941065207971024896,
1568951388-6915,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@FINANCEAFTER50,Finance after 50,You've probably been bombarded by the trailer already but I can't help but think of the FIRE and Frugality community when I see it.  http://www.financeafter50.com/downsizing-can-be-funny/ … #movies #cash #retirement #downsizing #money #earlyretirement #FIRE #retire #retireearly,,2.0,3.0,1513203041000,2:10 PM - 13 Dec 2017,/FINANCEAFTER50/status/941067879847428099,
1568951388-6892,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@marie_visto,MarieVisto,#Downsizing https://www.youtube.com/watch?v=UCrBICYM0yM …,,,,1513226481000,8:41 PM - 13 Dec 2017,/marie_visto/status/941166193880084480,
1568951388-6925,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@KrakowerGroup,Krakower Group #LosAngeles,.@watertowermusic will release @downsizingfilm #Soundtrack 12/22. The album features original score by @RolfeKent http://ow.ly/eIjC30hd09w  #NewMusicAlert #Downsizing #filmmusicpic.twitter.com/l7fbIeBKbZ,,2.0,2.0,1513197767000,12:42 PM - 13 Dec 2017,/KrakowerGroup/status/941045759264411654,
1568951388-6903,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@DroidsCanada,Droids Canada,@DeadPuhlio and @ConStrangerTV are back in studio to catch up and review #infinitywars #starwars #blackpanther #downsizing #jurassicworld and more! @TangentBoundPC @EMCPodNetwork @POIpodcasthttp://bit.ly/2AFcIze,,4.0,4.0,1513214021000,5:13 PM - 13 Dec 2017,/DroidsCanada/status/941113933380968448,
1568951388-6899,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@davidgharat,David Gharat,Are. You Thinking of Buying A Condo in TORONTO? EASY SEARCH HERE Book A Showing http://www.condofloor.com   #toronto #Markham #condos #donmills #northyork #queensquay #waterfront #downsizing #retire #yorkpic.twitter.com/8b50qQMI4x,,,1.0,1513216817000,6:00 PM - 13 Dec 2017,/davidgharat/status/941125659535007746,
1568951388-6952,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@Nanisimo,Emilio Doménech,"Nominadas a Mejor Actriz Secundaria en los #SAGAwards:
– Mary J. Blige, #Mudbound
– Hong Chau, #Downsizing
– Holly Hunter, #TheBigSick
– Allison Janney, #ITonya
– Laurie Metcalf, #LadyBird",,,2.0,1513179387000,7:36 AM - 13 Dec 2017,/Nanisimo/status/940968668913111040,
1568951388-6812,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@chicks67,Cassie Hicks,"@IAmSteveHarvey While I want to thank you for having #ClawsTNT/#Downsizing actress @NiecyNash on your show today, I'm looking forward to see you host, along with @AdrienneBailon, on #ShowtimeAtTheApollo tonight.-it's going to be a must-watch!",,,,1513286656000,1:24 PM - 14 Dec 2017,/chicks67/status/941418586026987521,
1568951388-6950,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@ParamountIRL,Paramount Pictures,#Downsizing is one big adventure. pic.twitter.com/zKm5aqwFB3,,,1.0,1513182903000,8:35 AM - 13 Dec 2017,/ParamountIRL/status/940983414424993794,
1568951388-6980,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@ThatBoyJacob,Jacob Gardner,That movie #Downsizing looks idiotic and like shit and that's me being nice.,,,1.0,1513143896000,9:44 PM - 12 Dec 2017,/ThatBoyJacob/status/940819809591275521,
1568951388-6933,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@MyattFran,Fran Myatt,@1039TheBear #Downsizing Very interested in Adv. Screening Passes to Downsizing.  Can you let me know if you will be having a call in contest?  Anxious to see this movie.  Thx.,,,,1513192534000,11:15 AM - 13 Dec 2017,/MyattFran/status/941023810064588800,
1568951388-6879,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@MyFilmClub,MyFilmClub,"Let's watch new clip ""Kitchen"" from #Downsizing . The movie starring: Matt Damon, Christoph Waltz, Hong Chau, Jason Sudeikis and Kristen Wiig comes to UK cinemas on the 24th of January. https://youtu.be/GAi8JaZiF88",,,1.0,1513256709000,5:05 AM - 14 Dec 2017,/MyFilmClub/status/941292980639592448,
1568951388-6908,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@FutureDamage,Future Damage,@GraceRandolph let’s see how this goes!! #Downsizing pic.twitter.com/RIW6jHnHF7,,,1.0,1513209494000,3:58 PM - 13 Dec 2017,/FutureDamage/status/941094945833832448,
1568951388-7012,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@davidgharat,David Gharat,Are You Thinking of Buying A Condo in TORONTO? EASY SEARCH HERE Book A Showing http://www.condofloor.com  #toronto #Markham #condos #donmills #northyork #queensquay #waterfront #downsizing #retire #waterfrontpic.twitter.com/5NBf6nP7No,,,2.0,1513123213000,4:00 PM - 12 Dec 2017,/davidgharat/status/940733056897437697,
1568951388-6889,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@ParamountAU,Paramount Pictures,Congratulations to Hong Chau! #SAGAwards nominee for #Downsizing! See her breathtaking performance in cinemas Boxing Day. pic.twitter.com/KPeKx8M6ob,,,1.0,1513231081000,9:58 PM - 13 Dec 2017,/ParamountAU/status/941185486990712832,
1568951388-7007,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@leayardum,Lea Yardum,Rolfe Kent’s Unconventional Approach to Music Wins Over Listeners Again and Again | via @bmi https://shar.es/1MxRTR  #downsizing @downsizingfilm,,,,1513124951000,4:29 PM - 12 Dec 2017,/leayardum/status/940740346790666240,
1568951388-6968,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@MarkKaro28,Mark Karo,For the little people this Christmas #Downsizing pic.twitter.com/PjQxtuU7OR,,,,1513171693000,5:28 AM - 13 Dec 2017,/MarkKaro28/status/940936398068072450,
1568951388-6978,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@GlenFalkenstein,Glen Falkenstein,Tune into Film Fight Club tonight 730 @2ser - will be chatting all things #CallMeByYourName #Downsizing #DarkestHour #TheFloridaProject #Paddington2 plus a look at #KinoSydney for our last massive show for the year with special guest @debbie_zhoupic.twitter.com/MWK4cAdKrM,1.0,,4.0,1513149083000,11:11 PM - 12 Dec 2017,/GlenFalkenstein/status/940841562778501120,
1568951388-6910,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@stitchkingdom,Stitch Kingdom,At @@cityharvest screening of #downsizing @downsizingmovie so excited to see it #freeplant https://www.instagram.com/p/BcqS8BWnn8s/,1.0,,1.0,1513207827000,3:30 PM - 13 Dec 2017,/stitchkingdom/status/941087953023131648,
1568951388-6976,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@RnoyesBroker,RNoyes - Finance Broker,Good news for all #firsthomebuyers #investors #Downsizing https://twitter.com/9NewsQueensland/status/940830875247415296 …,,2.0,1.0,1513150278000,11:31 PM - 12 Dec 2017,/RnoyesBroker/status/940846575739338753,
1568951388-7001,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@davidgharat,David Gharat,Are You Thinking of Buying A Condo in TORONTO? EASY SEARCH HERE Book A Showing http://www.condofloor.com  #toronto #Markham #condos #donmills #northyork #queensquay #waterfront #downsizing #retire #dundaspic.twitter.com/sYAVDKFcwi,,,,1513130404000,6:00 PM - 12 Dec 2017,/davidgharat/status/940763219047612416,
1568951388-6995,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@aditheadipose,Adi the Adipose,"And if anyone is curious, there is no way in hell I would shrink myself like in #downsizing. My human, however would totally do it. Keep in mind I am nine inches tall. He is six foot six. #InnerSpace",,,,1513132567000,6:36 PM - 12 Dec 2017,/aditheadipose/status/940772292287778817,
1568951388-6833,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@CatClips,ScoobyHubby YouTube,"If you're thinking about #Downsizing, join this curious cat & friends as they LOOK FOR A LILLIPUTIAN in this FX-heavy episode of CAT CLIPS. Cause this guy is about as downsized as you can get. Watch: http://www.youtube.com/watch?v=tlPJWqNl5cg … #wlf #caturdaypic.twitter.com/SwIT5vFSzM",,,4.0,1513279054000,11:17 AM - 14 Dec 2017,/CatClips/status/941386703373250560,
1568951388-6876,https://twitter.com/search?f=tweets&q=%23downsizing%20since%3A2017-12-13%20until%3A2017-12-15&src=typd,@FOX5Atlanta,FOX 5 Atlanta,"TODAY at 3, @IAmSteveHarvey welcomes pro wrestler and actor @JohnCena & the cast of #Ferdinand and actress @NiecyNash from  #Downsizing!
#SteveTVShowpic.twitter.com/1QVfXtYF2F",1.0,2.0,4.0,1513260060000,6:01 AM - 14 Dec 2017,/FOX5Atlanta/status/941307036037349376,
