web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1567448644-10641,https://twitter.com/search?f=tweets&q=%23dunkirk%20since%3A2017-07-11%20until%3A2017-07-12&src=typd,@triviasope,𝐯𝐢𝐚; 전전곡♡,super ready to see #Dunkirk,,,1,1499792520000,10:02 AM - 11 Jul 2017,/triviasope/status/884820077467643905,
1567448644-10543,https://twitter.com/search?f=tweets&q=%23dunkirk%20since%3A2017-07-11%20until%3A2017-07-12&src=typd,@FionnDaily,Fionn Updates,| Sunshine Fionn smiling on the set of #Dunkirk . pic.twitter.com/vgVLMKH3bo,,5,16,1499797318000,11:21 AM - 11 Jul 2017,/FionnDaily/status/884840201436229634,
1567448644-11009,https://twitter.com/search?f=tweets&q=%23dunkirk%20since%3A2017-07-11%20until%3A2017-07-12&src=typd,@NerdMusicRadio,Nerd Music Radio,"#Dunkirk: Christopher Nolan Compares Casting Harry Styles to Heath Ledger in ""The Dark Knight""… https://twitter.com/i/web/status/884728990216339456 …",,,,1499770885000,4:01 AM - 11 Jul 2017,/NerdMusicRadio/status/884729335118278661,
1567448644-11220,https://twitter.com/search?f=tweets&q=%23dunkirk%20since%3A2017-07-11%20until%3A2017-07-12&src=typd,@WarnerBrosThai,WarnerBros.Thailand,ความหวังคืออาวุธ #Dunkirk - ดันเคิร์ก เข้าฉาย 20 กรกฎาคม ในโรงภาพยนตร์ #movietwitpic.twitter.com/wfweG2Y1eE,,37,16,1499755571000,11:46 PM - 10 Jul 2017,/WarnerBrosThai/status/884665100950425600,
1567448644-11243,https://twitter.com/search?f=tweets&q=%23dunkirk%20since%3A2017-07-11%20until%3A2017-07-12&src=typd,@TopGenesis,Moderncat,"โนแลนบอกว่า ใช้เวลาอยู่นานในการนั่งดูและศึกษาการทำซีนจากหนังเงียบหลายเรื่อง #Dunkirk
ที่มา: Starpics pic.twitter.com/m9YpUEDRK8",,1,,1499753745000,11:15 PM - 10 Jul 2017,/TopGenesis/status/884657444714012673,
1567448644-10379,https://twitter.com/search?f=tweets&q=%23dunkirk%20since%3A2017-07-11%20until%3A2017-07-12&src=typd,@woogar2010,🏳️‍🌈 Gaz #abolishtheEU,Looking forward to seeing this #Dunkirk https://twitter.com/dunkirkmovie/status/884804600489926656 …,,,,1499806666000,1:57 PM - 11 Jul 2017,/woogar2010/status/884879410893131776,
1567448644-11445,https://twitter.com/search?f=tweets&q=%23dunkirk%20since%3A2017-07-11%20until%3A2017-07-12&src=typd,@ComicBook,Comicbook.com,"ICYMI: There’s more in common between @Harry_Styles’ #Dunkirk and Heath Ledger’s Joker casting than you think:
http://comicbook.com/dc/2017/07/10/dark-knight-heath-ledger-joker-harry-styles-christopher-nolan/ …pic.twitter.com/AD2wwwM0C2",,6,22,1499735640000,6:14 PM - 10 Jul 2017,/ComicBook/status/884581506114494464,
1567448644-11025,https://twitter.com/search?f=tweets&q=%23dunkirk%20since%3A2017-07-11%20until%3A2017-07-12&src=typd,@noblejas,JJG Noblejas ن,The latest El Diario de JJG Noblejas! http://paper.li/noblejas?edition_id=a1c4ecb0-6625-11e7-a14f-0cc47a0d1609 … Thanks to @AlbertoNahum @InasMc @fabiolamorales #dunkirk #patrimonio,,,,1499769748000,3:42 AM - 11 Jul 2017,/noblejas/status/884724566857220096,
1567448644-11477,https://twitter.com/search?f=tweets&q=%23dunkirk%20since%3A2017-07-11%20until%3A2017-07-12&src=typd,@imo204,narmi  🎬,#Dunkirk is under 2 hours...bruh,,,,1499733460000,5:37 PM - 10 Jul 2017,/imo204/status/884572364792631297,
1567448644-11413,https://twitter.com/search?f=tweets&q=%23dunkirk%20since%3A2017-07-11%20until%3A2017-07-12&src=typd,@WarnerBros_ph,Warner Bros. Ph,IMAX MoA is renovating & won't be able to show #Dunkirk on 70mm but on IMAX digital only. @IMAX_SMCinema can explain further.,,4,3,1499737233000,6:40 PM - 10 Jul 2017,/WarnerBros_ph/status/884588189138132992,
