web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1569457274-2134,https://twitter.com/search?f=tweets&q=%23firstman%20since%3A2018-10-01%20until%3A2018-10-04&src=typd,@YrOnlyHope,YrOnlyDaddy 📽 🎞 📺,Nobody ever went wrong with a little bit of theremin. That boy’s a hella director. #FirstMan,1.0,,2,1538443074000,6:17 PM - 1 Oct 2018,/YrOnlyHope/status/1046932250208686080,
1569457274-1861,https://twitter.com/search?f=tweets&q=%23firstman%20since%3A2018-10-01%20until%3A2018-10-04&src=typd,@cliffhangertwit,Fred Teper,Avec #FirstMan #DamienChazelle passe un cap (Canaveral)en démontrant une maestria sans commune mesure pour l'immersion et en faisant se répondre le don du sacrifice et le spectre de la mort.Expérience visuelle et sonore époustouflante avec de prodigieux #RyanGosling et #ClaireFoypic.twitter.com/NkiRbU5POt,,2,3,1538500000000,10:06 AM - 2 Oct 2018,/cliffhangertwit/status/1047171017305739264,
1569457274-1516,https://twitter.com/search?f=tweets&q=%23firstman%20since%3A2018-10-01%20until%3A2018-10-04&src=typd,@rcs818,mr. harris kidman clinton  👱🏼‍♂️,"Bold prediction: #FirstMan misses with acting (like Arrival) & screenplay goes the path of Dunkirk. The writing is too bland, Gosling is too subtle/internalized, & Foy has her seat taken away in musical chairs. (Adams, King, 2 Favourites=1 spot left.) #FilmTwitter #Oscars #Awardspic.twitter.com/0Oa0Wd035y",,2,7,1538597364000,1:09 PM - 3 Oct 2018,/rcs818/status/1047579390933180417,
1569457274-1643,https://twitter.com/search?f=tweets&q=%23firstman%20since%3A2018-10-01%20until%3A2018-10-04&src=typd,@ANAPUCHIARENAL,ana,"""Quiero la entrada doble para el evento exclusivo de #FirstMan + entrada de cine que sortea @ecartelera: http://ver.ec/b283  #FirstManEC""",,,,1538557165000,1:59 AM - 3 Oct 2018,/ANAPUCHIARENAL/status/1047410782592540672,
1569457274-2021,https://twitter.com/search?f=tweets&q=%23firstman%20since%3A2018-10-01%20until%3A2018-10-04&src=typd,@PageGosling,ᖇYᗩᑎ GOᔕᒪIᑎG ᗪᗩIᒪY ᑭᗩGE,Look how cool it is the @ArclightCinemas #CineramaDome In Hollywood ... Fly me to the Moon  Ryan Gosling is #FirstMan⁠ ⁠. In theaters and IMAX October 12. pic.twitter.com/6JUyZShWva,,,14,1538459663000,10:54 PM - 1 Oct 2018,/PageGosling/status/1047001832554422272,
1569457274-1694,https://twitter.com/search?f=tweets&q=%23firstman%20since%3A2018-10-01%20until%3A2018-10-04&src=typd,@elenaskarupa,Elena,"Got to see a first showing of #firstman and it was really amazing! Space is so awe-inspiring and the emotional performance were on par, I even cried.",,,,1538538966000,8:56 PM - 2 Oct 2018,/elenaskarupa/status/1047334452962217986,
1569457274-2025,https://twitter.com/search?f=tweets&q=%23firstman%20since%3A2018-10-01%20until%3A2018-10-04&src=typd,@unificationfr,Unification France,Bandes Annonces & Co : 2 octobre 2018 #FirstMan #Galveston #ChairdePoule2 #LombredEmily - Unification France http://po.st/qJjtzy,,1,1,1538458387000,10:33 PM - 1 Oct 2018,/unificationfr/status/1046996478370230272,
1569457274-1614,https://twitter.com/search?f=tweets&q=%23firstman%20since%3A2018-10-01%20until%3A2018-10-04&src=typd,@SandrineKbis,SandrineKhem 🇫🇷 🇪🇺,"Après un mois de Septembre plutôt calme niveau sorties ciné, le mois d’octobre démarre bien avec #AStarIsBorn, #Venom poke @So_Ethereal, #FirstMan... pic.twitter.com/23jWbKzb2O",1.0,,2,1538569515000,5:25 AM - 3 Oct 2018,/SandrineKbis/status/1047462582876082176,
1569457274-2196,https://twitter.com/search?f=tweets&q=%23firstman%20since%3A2018-10-01%20until%3A2018-10-04&src=typd,@TMS2787,Troy Smith,"#FirstMan advanced screening (@ AMC Westwood Town Center Cinema - @amctheatres in Rocky River, OH)https://www.swarmapp.com/c/d6y7Idny6sb",,,,1538436355000,4:25 PM - 1 Oct 2018,/TMS2787/status/1046904071209279488,
1569457274-1479,https://twitter.com/search?f=tweets&q=%23firstman%20since%3A2018-10-01%20until%3A2018-10-04&src=typd,@CarpentersQuote,KC and RC,"#FirstMan movie opens next week (#12Oct)

#BuzzAldrin includes #TheCarpenters' #BillboardHot100 #1 single 'Top Of the World'  in his @iTunes Playlist ""Destination #Mars"" https://itunes.apple.com/us/playlist/buzz-aldrin-destination-mars/pl.6cfaaa6711a34a5f901791e0f648be33 …",,1,4,1538610768000,4:52 PM - 3 Oct 2018,/CarpentersQuote/status/1047635609798332416,
