web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1567441488-1719,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@tgatp,ThatGirlAtTheParty,@JordanPeele has fd up swirl dating forever. Next time I get invited to the country home I'll be sleeping with one eye open! #getout pic.twitter.com/w3Ff4FCWfR,,,,1487739882000.0,9:04 PM - 21 Feb 2017,/tgatp/status/834267650087845888,
1567441488-1949,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@kentrelleee,Entreprenegro,After seeing #GetOut I'll never date a white girl.,2.0,2.0,9,1487729290000.0,6:08 PM - 21 Feb 2017,/kentrelleee/status/834223226523942913,
1567441488-1165,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@EBONYMag,EBONY MAGAZINE,Jordan Peele’s anticipated thriller #GetOut already has the critics talking: http://ow.ly/4Le5309ge74 pic.twitter.com/VzNrMOM9jP,,11.0,25,1487799014000.0,1:30 PM - 22 Feb 2017,/EBONYMag/status/834515667927851015,
1567441488-1263,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@TristanTCarter,Tristan Carter,So who's seeing Get Out with me? #GetOut pic.twitter.com/RxOz5ZE4hy,1.0,,,1487791381000.0,11:23 AM - 22 Feb 2017,/TristanTCarter/status/834483651811409925,
1567441488-1769,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@Cherokee6Theatr,Cherokee Phoenix,Just because you're invited doesn't mean you're welcome GET OUT hits theaters 2/24! For ADVANCE TIX: http://ow.ly/JmMP309e1QR  #GetOut pic.twitter.com/P79hmcku4W,,,,1487736607000.0,8:10 PM - 21 Feb 2017,/Cherokee6Theatr/status/834253914954399744,
1567441488-2129,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@briseatha,Briseatha Alvarez,#getout #pharr the first time I met my significant others parents I was very nervouspic.twitter.com/u8MyIcRU4s,,,,1487723208000.0,4:26 PM - 21 Feb 2017,/briseatha/status/834197714548162561,
1567441488-1944,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@CasjNoir,Buddah Loves Booty69,#GetOut so excited! @ AMC Mission Valley 20 https://www.instagram.com/p/BQy-99HgsT_/,,,1,1487729450000.0,6:10 PM - 21 Feb 2017,/CasjNoir/status/834223895087607808,
1567441488-1916,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@ibelediyoh,Naledi Yaziyo,I was never into horror but feel #GetOut its about to get at something. Racism as uncanny - more dangerous because its farmiliar https://twitter.com/ibelediyoh/status/797273050110685184 …,,,,1487730206000.0,6:23 PM - 21 Feb 2017,/ibelediyoh/status/834227068145696769,
1567441488-1045,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@briflight,🌎 Brian w/i,"My father with the masters degree said ""Oh...it's fine!"" If I'm reading this correct, Dec 2008 use by? I'm brave, but... #GetOut pic.twitter.com/XAyFEHCumH",,,,1487806262000.0,3:31 PM - 22 Feb 2017,/briflight/status/834546067412750336,
1567441488-1772,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@AdenPolydoros,Aden Polydoros,This looks like such a good movie #Getout https://www.youtube.com/watch?v=sRfnevzM9kQ …,,,,1487736585000.0,8:09 PM - 21 Feb 2017,/AdenPolydoros/status/834253821358379008,
1567441488-1760,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@SilasVassar3rd,Eeyore in Dior,#GetOut was so daaamn good!,,1.0,2,1487736852000.0,8:14 PM - 21 Feb 2017,/SilasVassar3rd/status/834254941187428357,
1567441488-2121,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@OmarMar57620958,Omar Martinez,The first time I met my significant others parents I thought they were younger #getout #Pharr,,,,1487723306000.0,4:28 PM - 21 Feb 2017,/OmarMar57620958/status/834198124646244353,
1567441488-1654,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@YourCinemaGuy,Anthony Digioia,"#GetOut was a fun, tense, thriller! http://youtu.be/-cYF0JZ86V4?a",,,,1487743313000.0,10:01 PM - 21 Feb 2017,/YourCinemaGuy/status/834282041931874306,
1567441488-1283,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@Jay_3085,Jay,@Sib_Vicious https://youtu.be/jmEFfaOMEGQ  #GetOut,,,,1487789698000.0,10:54 AM - 22 Feb 2017,/Jay_3085/status/834476595834261504,
1567441488-1208,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@APEntertainment,AP Entertainment,#JordanPeele turns his focus to directing in #GetOut http://apne.ws/2lqn50D 'pic.twitter.com/g0ZfxnKQEt,,1.0,2,1487795450000.0,12:30 PM - 22 Feb 2017,/APEntertainment/status/834500717834559489,
1567441488-2149,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@keron_ave,Keron_ave,Movie premiere with @HouFilmFanatic #GetOut #HoustonFilmFanaticspic.twitter.com/j0MXb0Us6p,,,,1487722664000.0,4:17 PM - 21 Feb 2017,/keron_ave/status/834195435052998662,
1567441488-2025,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@mhcfoc12,sonartech,Having to lie why we were late. #getout #getoutatx,,,,1487725990000.0,5:13 PM - 21 Feb 2017,/mhcfoc12/status/834209381545803776,
1567441488-1609,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@CraveOnline,CRAVE,"We got @JordanPeele talking about his terrifying film #GetOut, and the human demons behind it. http://bit.ly/2lj7Kix",,1.0,1,1487747880000.0,11:18 PM - 21 Feb 2017,/CraveOnline/status/834301197796388864,
1567441488-1357,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@AwkwardGirlLA,Jonesie,Because he's dope as hell & talented as fu*k. #GetOut https://twitter.com/thewrap/status/834156731802415104 …,,,1,1487784681000.0,9:31 AM - 22 Feb 2017,/AwkwardGirlLA/status/834455553124372481,
1567441488-1791,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@itsmedwc,ItsMeDWC,"Rob Manfred is a fucking moron. ""I reject the notion that we can educate fans to embrace the game"" #MLB #Angry #GetOut",,1.0,1,1487735638000.0,7:53 PM - 21 Feb 2017,/itsmedwc/status/834249848241143809,
1567441488-1169,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@TheMarySue,The Mary Sue,Spoiler-Free Review: @JordanPeele's @GetOutMovie Is Exactly The Thriller We Need Right Now http://www.themarysue.com/review-jordan-peele-get-out/ … #film #getout pic.twitter.com/kQYl5mSD07,,7.0,17,1487798701000.0,1:25 PM - 22 Feb 2017,/TheMarySue/status/834514354011648000,
1567441488-1795,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@AnaSofaKingCoo,Flo$$y Pu$$y  💰 👅,I'm super excited to see @JordanPeele's #GetOut. Like super excited,,4.0,4,1487735135000.0,7:45 PM - 21 Feb 2017,/AnaSofaKingCoo/status/834247740171378688,
1567441488-1783,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@madisonaleyce,Madison Rasberry,#getout #of #yourfeelings #dude,,,1,1487735957000.0,7:59 PM - 21 Feb 2017,/madisonaleyce/status/834251186459013120,
1567441488-1405,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@JSusko26,JS,Listening to complete discomfort of white people in theater during #GetOut preview made me smile & glare. Thanks @JordanPeele 4 sthing new!,,,1,1487781180000.0,8:33 AM - 22 Feb 2017,/JSusko26/status/834440868241272832,
1567441488-1162,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@iamMelsmith,Mel Smith,White liberalism is the monster in #GetOut. Listen.... pic.twitter.com/szYCu7okAt,,1.0,1,1487799339000.0,1:35 PM - 22 Feb 2017,/iamMelsmith/status/834517030548168718,
1567441488-1777,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@TheKingOfPetty,Adam.,@JordanPeele Just wanted to let you know that you will live in infamy for this. #GetOut,,,1,1487736264000.0,8:04 PM - 21 Feb 2017,/TheKingOfPetty/status/834252475255373830,
1567441488-2107,https://twitter.com/search?f=tweets&q=%23getout%20since%3A2017-02-22%20until%3A2017-02-23&src=typd,@Acejordanp,Jordan Perez,My girlfriend parents didnt speak English and i didn't know. #GETOUT #GETOUTatx,,,,1487723429000.0,4:30 PM - 21 Feb 2017,/Acejordanp/status/834198640663130112,
