web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1568944756-40,https://twitter.com/search?f=tweets&q=%23goodtime%20since%3A2017-08-04%20until%3A2017-08-08&src=typd,@flying099,Flavia,Love this photo! #RobertPattinson RT @Robx999: #GoodTime https://twitter.com/Robx999/status/894665962527612929/photo/1pic.twitter.com/VpcGo3Acsl,,,2.0,1502140187000,2:09 PM - 7 Aug 2017,/flying099/status/894666905923063812,
1568944756-798,https://twitter.com/search?f=tweets&q=%23goodtime%20since%3A2017-08-04%20until%3A2017-08-08&src=typd,@Ivory838Ivory83,Ivory83,"August 3

#mybirthday #0803 #la #goodtime #instadaily #like4like #djlife #producerlife https://www.instagram.com/p/BXYmYR6BiIc/",,,1.0,1501876534000,12:55 PM - 4 Aug 2017,/Ivory838Ivory83/status/893561065962782722,
1568944756-51,https://twitter.com/search?f=tweets&q=%23goodtime%20since%3A2017-08-04%20until%3A2017-08-08&src=typd,@kacperek98933,kacper,"Dzisiaj słyszysz, będę zawsze obok 
Jutro znowu siedzisz sam ze sobą  #true

#me #polishgirl #galeria #goodtime … http://ift.tt/2ujwYDp pic.twitter.com/uMrTsXn0Uz",,,,1502136912000,1:15 PM - 7 Aug 2017,/kacperek98933/status/894653169430605824,
1568944756-305,https://twitter.com/search?f=tweets&q=%23goodtime%20since%3A2017-08-04%20until%3A2017-08-08&src=typd,@KirasAndRheasMo,Tara  🏇 🎻 🌹,"Zoo time!
#zoo #seattle #seattlewa #seattlesummer #summer #wolf #bear #birds #fun #goodtime #goodtimes #animal #an… http://bit.ly/2ugxa6A",,,,1502062943000,4:42 PM - 6 Aug 2017,/KirasAndRheasMo/status/894342922119909376,
1568944756-1007,https://twitter.com/search?f=tweets&q=%23goodtime%20since%3A2017-08-04%20until%3A2017-08-08&src=typd,@ThePlaylist,The Playlist  🎬,"This Wild, NSFW Scene Cut From #GoodTime Sounds Insane
http://theplaylist.net/robert-pattinson-reveals-outrageous-scene-cut-good-time-20170804/ …
#RobertPattinsonpic.twitter.com/vGWfh2ifAw",1.0,16.0,20.0,1501854990000,6:56 AM - 4 Aug 2017,/ThePlaylist/status/893470703000973313,
1568944756-76,https://twitter.com/search?f=tweets&q=%23goodtime%20since%3A2017-08-04%20until%3A2017-08-08&src=typd,@davidunrar,David,#friend #fun #love #party #happy #cute #forever #smile #best #bestfriend #awesome #fine #like #life #goodtime #me #girl #guy #beautiful :-))pic.twitter.com/bLcFDFHr5u,,,,1502134588000,12:36 PM - 7 Aug 2017,/davidunrar/status/894643424615444481,
1568944756-10,https://twitter.com/search?f=tweets&q=%23goodtime%20since%3A2017-08-04%20until%3A2017-08-08&src=typd,@Vickyzienta,Vicky,#mifindesemana #EMÁ2017 #ultratrail #46k #instahappy #instagood #goodtime #goodmoments #love… https://www.instagram.com/p/BXgsZH2Fz7u/,,,,1502148119000,4:21 PM - 7 Aug 2017,/Vickyzienta/status/894700175079260161,
1568944756-421,https://twitter.com/search?f=tweets&q=%23goodtime%20since%3A2017-08-04%20until%3A2017-08-08&src=typd,@gotorin05281,ごとりん@あいちゃんズ 💓,"・
・
・
Disneyland..5
・
#disney #land #tdl #enjoytime #goodtime #princess#instadisney… https://www.instagram.com/p/BXcqTR-ACXc/",,24.0,23.0,1502012804000,2:46 AM - 6 Aug 2017,/gotorin05281/status/894132625648095232,
1568944756-984,https://twitter.com/search?f=tweets&q=%23goodtime%20since%3A2017-08-04%20until%3A2017-08-08&src=typd,@Gilyazova_26,Чёртов Безумец ❌,#goodtime #zm #точтовижу #моментыпамяти @ Asia/Yekaterinburg https://www.instagram.com/p/BXYJJSpDWXj/,,,,1501861265000,8:41 AM - 4 Aug 2017,/Gilyazova_26/status/893497023638327300,
1568944756-949,https://twitter.com/search?f=tweets&q=%23goodtime%20since%3A2017-08-04%20until%3A2017-08-08&src=typd,@Gitka91,csipkerozi,I want it sooo badly!!! #GoodTime,,,,1501868450000,10:40 AM - 4 Aug 2017,/Gitka91/status/893527158307639297,
1568944756-782,https://twitter.com/search?f=tweets&q=%23goodtime%20since%3A2017-08-04%20until%3A2017-08-08&src=typd,@DreasHipHop,Dreas/DJ AntiZero,Bruh #DreasHipHop #lol #drink #water #only #bottle #sun #workout #grind #goodtime #Binghamton… https://www.instagram.com/p/BXYnG2CD997/,,,1.0,1501876956000,1:02 PM - 4 Aug 2017,/DreasHipHop/status/893562837691510785,
1568944756-85,https://twitter.com/search?f=tweets&q=%23goodtime%20since%3A2017-08-04%20until%3A2017-08-08&src=typd,@davidunrar,David,#friend #fun #love #party #happy #cute #forever #smile #best #bestfriend #awesome #fine #like #life #goodtime #me #girl #guy #beautiful :-))pic.twitter.com/AspH56msb7,,,,1502134469000,12:34 PM - 7 Aug 2017,/davidunrar/status/894642925832986625,
