web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1569538770-19272,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@yoloversh,yOhZ  🦋,#hustlers pic.twitter.com/3Tj6Bi3IIk,,,4.0,1568133577000,9:39 AM - 10 Sep 2019,/yoloversh/status/1171463245854457856,
1569538770-19381,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@Hustlersfree,Hustlers (2019) 電影完整版,"看 Hustlers (2019) 電影完整版 @Hustlersfree 
▷(Hustlers 2019) — 即將上映的電影2019完整版
#HUSTLERS #Hustlers #HustlersMovie #TIFF19 

movie official website: https://starcinemax.com/movie/540901/hustlers.html …

舞女大盗 Hustlers ～ (2019)完整版本 ～ [可播放] HD 1080p-全高清 舞女大盗 Hustlers ～1080Ppic.twitter.com/dHaY11jZnH",,,,1568121405000,6:16 AM - 10 Sep 2019,/Hustlersfree/status/1171412192714903552,
1569538770-19214,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@Lulamaybelle,Courtney Howard,"Any film that mixes female anthems (Janet Jackson’s “Control,” Fiona Apple’s “Criminal”) & club classics (Big Sean’s “Dance (A$$)”) alongside Chopin’s differently numbered “Etudes” has my enduring respect. #Hustlers gets my vote. (ICYMI): https://freshfiction.tv/review-hustlers-no-sex-in-the-champagne-room/ …",,3.0,5.0,1568140718000,11:38 AM - 10 Sep 2019,/Lulamaybelle/status/1171493196863397896,
1569538770-19190,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@here4bardi,Z-venom,"Take a few seconds click on the link below and rate #hustlers 10/10
https://m.imdb.com/title/tt5503686/ …",,1.0,8.0,1568143369000,12:22 PM - 10 Sep 2019,/here4bardi/status/1171504319624990722,
1569538770-19489,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@natthedem,natthedem,"Me, since the trailer dropped: I can't wait to go see #Hustlers. 

Me, last week when I realized that it opens on the same day I'm supposed to see Lizzo in concert: I guess I'll just go see it Thursday night.",1.0,,,1568094457000,10:47 PM - 9 Sep 2019,/natthedem/status/1171299164963123200,
1569538770-19323,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@DailyChocolate3,Daily Chocolate Diaries,"Japanese Cashier Defrauds Over 1300 Customers By Memorizing Their Credit Card Details https://www.dailychocolatediaries.com/2019/09/japanese-cashier-defrauds-over-1300.html#more …
#stopscam #fraud #efcc #creditcard #hustlers",,,,1568128066000,8:07 AM - 10 Sep 2019,/DailyChocolate3/status/1171440131602972672,
1569538770-19357,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@JLo_Philippines,Best of Jennifer Lopez,"“20/20” DOCUMENTS THE TRUE STORY OF THE WOMEN WHO CONSPIRED TO DRUG AND SCAM WEALTHY MEN AND INSPIRED THE NEW MOVIE #HUSTLERS

Features Exclusive TV Interviews with Two Women Involved in Scheme & a Cardiologist Who Was a Victim of the Crimes 

Airs on September 13 (10pm on ABC) pic.twitter.com/ATvzJaJXnq",1.0,14.0,41.0,1568124278000,7:04 AM - 10 Sep 2019,/JLo_Philippines/status/1171424244204367873,
1569538770-19398,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@pinkvilla,Pinkvilla,Hustlers star Jennifer Lopez feels it's difficult to make movies if it is not from Marvel; Deets Inside #Hustlers #JenniferLopez -https://www.pinkvilla.com/entertainment/hollywood/hustlers-star-jennifer-lopez-feels-its-difficult-make-movies-if-it-not-marvel-deets-inside-473000 …,1.0,3.0,8.0,1568119029000,5:37 AM - 10 Sep 2019,/pinkvilla/status/1171402226864185344,
1569538770-19523,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@PhoenixHaha,Phoenix,"Could this movie plot be any more ridiculous?! Hahaha
""Strippers who steal"" WOW! Mesmerizing! Creative! Memorable! Dramatic!
If the sexes were reversed....ooooh baby! You can bet women would be livid! Protesting the shit outta this! #JenniferLopez #hustlers",2.0,2.0,7.0,1568088565000,9:09 PM - 9 Sep 2019,/PhoenixHaha/status/1171274452958466048,
1569538770-19385,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@Hustlersfree,Hustlers (2019) 電影完整版,"看 Hustlers (2019) 電影完整版 @Hustlersfree 

舞女大盗 Hustlers (2019)
Hustlers导演: 劳伦·斯卡法莉娅
编剧: 劳伦·斯卡法莉娅 / Jessica Pressler
主演: 詹妮弗·洛佩兹 / 吴恬敏 / 丽丽·莱因哈特 / 卡迪·B / 朱丽娅·斯蒂尔斯 / 更多…
类型: 剧情
#HUSTLERS #Hustlers #HustlersMovie #TIFF19pic.twitter.com/nI2zm1QUnd",,,,1568121104000,6:11 AM - 10 Sep 2019,/Hustlersfree/status/1171410930095149056,
1569538770-19563,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@1027KIISFM,102.7 KIIS-FM,"Thankfully @JLo is okay!

She almost fell off this balcony at #TIFF! #JLo #JenniferLopez #Hustlers  http://ihe.art/CwyuHnj",,2.0,7.0,1568079301000,6:35 PM - 9 Sep 2019,/1027KIISFM/status/1171235595408031744,
1569538770-19478,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@PenrithHomeLoan,Penrith Home Loans,"Hey hustlers! Get yourself in a room with like-minded innovators and trade your secrets. Guarantee you'll find it easier to get from A -> B. #NationalSwapIdeasDay⠀
.⠀
.⠀
.⠀
.⠀
.⠀
⠀
#hustlers #workhard #workaholic #workingclass #dailygrind #hustle… https://ift.tt/31meGOg pic.twitter.com/pWXYABppPA",,,,1568097581000,11:39 PM - 9 Sep 2019,/PenrithHomeLoan/status/1171312269311074305,
1569538770-19181,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@BardiUpdatess,Fan Account,"ABC will air a special about the women & their stories that inspired #Hustlers this Friday, September 13th at 10PM EST. Cardi has an interview that will be a part of the special. pic.twitter.com/A0gYAVpOLo",,30.0,106.0,1568144959000,12:49 PM - 10 Sep 2019,/BardiUpdatess/status/1171510988270555138,
1569538770-19322,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@sophiemakinson_,WATCH HUSTLERS,where can we join this bus @katiebevo18 @HustlersMovie #hustlers #hustlersmoviehttps://twitter.com/HustlersMovie/status/1171204796512120834 …,,11.0,84.0,1568128117000,8:08 AM - 10 Sep 2019,/sophiemakinson_/status/1171440344652636160,
1569538770-19362,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@rosannascotto,Rosanna Scotto,Talking #hustlers with writer-director @lorenescafaria hustlersmovie #hustlersmovie #everydayimhustling #gdny https://www.instagram.com/p/B2O535HnL1M/?igshid=1sytvqo4r9chk …,,,3.0,1568123198000,6:46 AM - 10 Sep 2019,/rosannascotto/status/1171419715450933248,
1569538770-19510,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@DreSully81,Shareece Walker,So... Is that new movie #hustlers the Caucasions version of #theplayersclub,,,,1568090478000,9:41 PM - 9 Sep 2019,/DreSully81/status/1171282474770554886,
1569538770-19187,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@jessewill78,J Will,"I just don't get the hypocrisy...if there was a movie out glorifying men who drugged women and stole their money because they were deemed to be ""bad"" people, the out cry would be huge. But it is ok for women, even ""empowering"" if we do it to men? #hustlers #ijustdontunderstand",1.0,,,1568143822000,12:30 PM - 10 Sep 2019,/jessewill78/status/1171506215941074944,
1569538770-19494,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@Itsdeexo,Dee,@HustlersMovie @JLo @LoreneScafaria watching #Hustlers this Friday with my mom pic.twitter.com/yxM9Y5Y82J,,,,1568093055000,10:24 PM - 9 Sep 2019,/Itsdeexo/status/1171293287224758272,
1569538770-19288,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@dizi7x24,Dizi 7x24,"Hustlers filminin gösterim tarihi yakınlaştı..Konusu;Wall Street müşterilerine şantaj yapmak için bir araya gelen eski bir striptiz kulübü çalışanlarının hikayesini anlatıyor..Film 13 Eylül'de sinemalarda olacak..Jennifer Lopez hayranları 

#Hustlers 
#JenniferLopezpic.twitter.com/ADXz6e96OW",1.0,,6.0,1568132760000,9:26 AM - 10 Sep 2019,/dizi7x24/status/1171459819334586368,
1569538770-19331,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@setayeshtorani,Seti JLover,"Yay Fucking #Hustlers Movie 

Proud of @JLo as Well Actress 

Update :

 Rotten Tomatoes : 91%  97% 
 Meracritic : 80  81

#JLo #JenniferLopezpic.twitter.com/QXZGx8s7sN",,12.0,39.0,1568127316000,7:55 AM - 10 Sep 2019,/setayeshtorani/status/1171436985426173954,
1569538770-19161,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@hman5,Rollo (Fredo) Ocasio-Tomasi,Did the lighting guy get paid the same as the main character(s) in #Hustlers? pic.twitter.com/K9kRK0FrxR,,,,1568147047000,1:24 PM - 10 Sep 2019,/hman5/status/1171519745486540800,
1569538770-19557,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@lizettem05,Lizette Martinez,J Lo on screen yasssss please #hustlers,,,,1568081820000,7:17 PM - 9 Sep 2019,/lizettem05/status/1171246162650836992,
1569538770-19268,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@yvarcade,YVArcade,#HustlersMovie makes the most of a fun ride about sexy women taking power  and hustling awful men https://yvar.ca/hustlers  #Hustlers pic.twitter.com/GGBgxyrU2R,,1.0,,1568133909000,9:45 AM - 10 Sep 2019,/yvarcade/status/1171464638392725504,
1569538770-19535,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@TrisSimondsen,Tristan,"Yikes - don't know where those strippers are strippin', but I'd bet it comes with free breakfast! #hustlermovie #hustlers #MondayMood #mondaythoughts #MondayNightFootball #MondayVibes",,,,1568084863000,8:07 PM - 9 Sep 2019,/TrisSimondsen/status/1171258927398494211,
1569538770-19102,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@starfishncoffy,mg 🙄,I haven't even seen #hustlers and I'm already obsessed,,,1.0,1568156311000,3:58 PM - 10 Sep 2019,/starfishncoffy/status/1171558600059379713,
1569538770-19250,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@jeffslevels,Iricardo,"A Minha Infância inteira, minha formação de Caráter e de Gosto pessoal culminaram em eu estar vivendo no ano de 2019 e esperando pela estreia dessas duas preciosidades do Cinema.
#CharliesAngels #HustlersMovie
#Hustlers #DontCallMeAngelpic.twitter.com/wHznsx33xE",,,1.0,1568136510000,10:28 AM - 10 Sep 2019,/jeffslevels/status/1171475549807472640,
1569538770-19087,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@owcardibr,Ow Cardi Brasil,"""A cada cinco anos, mais ou menos, há um filme que sou levado a sair de casa para ir ver, não importa o que alguém diga, e #Hustlers é esse filme.""

- A produtora de televisão Shonda Rhimes, que é a criadora, escritora e produtora executiva de Grey's Anatomy, sobre Hustlers. pic.twitter.com/7enmuslQ8Q",1.0,10.0,29.0,1568158774000,4:39 PM - 10 Sep 2019,/owcardibr/status/1171568931427033094,
1569538770-19270,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@Wonderwall,Wonderwall,"24 hours, 4 new looks from J.Lo as she promotes new movie #Hustlers--see all the incredible press tour fashion from stars Jennifer Lopez, Constance Wu, Lili Reinhart, Cardi B, Keke Palmer, Julia Stiles, Trace Lysette & more: http://bit.ly/33ZIhyO pic.twitter.com/7gFOVolpch",,1.0,6.0,1568133653000,9:40 AM - 10 Sep 2019,/Wonderwall/status/1171463567876358144,
1569538770-19360,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@cinelandccs,⭐Cineland Caracas ⭐,Interpretación de @JLo en #Hustlers deslumbra en el #FestivalDeToronto #NoticiasCinelandCaracaspic.twitter.com/NvXST9FBhl,,2.0,3.0,1568123661000,6:54 AM - 10 Sep 2019,/cinelandccs/status/1171421656503541760,
1569538770-19282,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@Brooklyn829co,Brooklyn829,"Running app doesn't work on the indoor track  Quick 5k (39 laps) during lunch. The Hustle Never Stops!

#THNS #5k #brooklyn #brooklyn829co #beardsofinstagram #hustle #hustlers #beardsaresexy #bearded #fitnesspic.twitter.com/M5SlYeGs6R",,1.0,,1568132967000,9:29 AM - 10 Sep 2019,/Brooklyn829co/status/1171460687358386177,
1569538770-19545,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@martinez1089,Jesse Anthony,So who’s gonna go watch #Hustlers when it comes out,,,,1568084099000,7:54 PM - 9 Sep 2019,/martinez1089/status/1171255722992005120,
1569538770-19244,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@lilirhrt,jaq,my girl!!!!  @HustlersMovie #Hustlers i just looove this pic.twitter.com/JAWeLxvhts,,,1.0,1568137483000,10:44 AM - 10 Sep 2019,/lilirhrt/status/1171479630189977603,
1569538770-19193,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@latimesent,LAT Entertainment,"How @ConstanceWu fought for her role in #Hustlers: https://lat.ms/2NGvNq3 

Polaroid by @jaylclendeninpic.twitter.com/1vtd1BJjKE",,6.0,15.0,1568142900000,12:15 PM - 10 Sep 2019,/latimesent/status/1171502349472452608,
1569538770-19458,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@LionHeartfelt,LionHeart,Your boy looking like a model who can't lose to save his life but hey he still looking goood  #Hustlers #Screeningpic.twitter.com/umju2oVUht,1.0,,11.0,1568104587000,1:36 AM - 10 Sep 2019,/LionHeartfelt/status/1171341652167991298,
1569538770-19265,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@BardiUpdatess,Fan Account,#Hustlers  now has a 81 rating on Metacritic with 7 critics (+3). A 1% increase from yesterday pic.twitter.com/y0vv37Y1Cl,1.0,9.0,58.0,1568134041000,9:47 AM - 10 Sep 2019,/BardiUpdatess/status/1171465193433358348,
