web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1568659176-10649,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@ScottCarty,Scott Carty,"The moment you tell @johnlegend that he & @chrissyteigen are ""both fairly attractive."" A great time talking #LALALAND & #love with John!pic.twitter.com/eGKlrFKohA",,,2.0,1480991335000,6:28 PM - 5 Dec 2016,/ScottCarty/status/805962192671608832,
1568659176-10608,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@mskristinawong,Kristina Wong  ❄️,I'm less than 100 feet from FEMINIST Ryan Gosling and my secret Asian sister Emma Stone. #lalaland Screening #heygirlheypic.twitter.com/9lMK5tNJB6,1.0,2.0,10.0,1481000242000,8:57 PM - 5 Dec 2016,/mskristinawong/status/805999550758457344,
1568659176-10514,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@premieresmovies,Premieres Movies,#Movies #LaLaLand La La Land: TV Spot - Must See http://www.traileraddict.com/la-la-land/tv-spot-must-see?utm_source=dlvr.it&utm_medium=twitter … #teamfollowback #RTpic.twitter.com/W2Ocdv0Z0g,,,,1481034591000,6:29 AM - 6 Dec 2016,/premieresmovies/status/806143620025749504,
1568659176-10421,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@ms_qua,Quaegan Good,Watch the new #LALALAND trailer featuring the song #Audition performed by #EmmaStone https://twitter.com/lalaland_movie_,,,1.0,1481052562000,11:29 AM - 6 Dec 2016,/ms_qua/status/806218999046569984,
1568659176-10642,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@ShawnRichardz,shawn richardz,#lalaland #EmmaStone #RyanGosling #live #qNApic.twitter.com/r4jAFzNcgc,,,2.0,1480992310000,6:45 PM - 5 Dec 2016,/ShawnRichardz/status/805966282520555521,
1568659176-10580,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@Blockchain500,Stuart,.@mailandguardian Article should have a #TriggerWarning for #Economist #CompetitionCommission #LaLaLand,,,,1481008798000,11:19 PM - 5 Dec 2016,/Blockchain500/status/806035437739458560,
1568659176-10443,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@kamhubbard,Kam Hubbard,#moonlight is a bold directorial debut by Barry Jenkins. Looking forward to seeing #LaLaLand. @Jenn13Jenn13 @ShannonCorbeil @GraceRandolph https://twitter.com/goldderby/status/805814953731117056 …,,,1.0,1481050473000,10:54 AM - 6 Dec 2016,/kamhubbard/status/806210236180733954,
1568659176-10495,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@writetobrandon,Brandon Shim,"#LaLaLand trailer. 
@DrJimmyStar @audreyandray @ruthhill74 @zoumrouda @LEJStiener @LadyLakeMusic @PamplinFilmCo 
https://www.youtube.com/watch?v=DBUXcNTjviI …",,7.0,6.0,1481040035000,8:00 AM - 6 Dec 2016,/writetobrandon/status/806166455003680768,
1568659176-10479,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@RyanGoslingLuv,GoslingAddicted,"#RyanGosling promoting #LaLaland - One of my Italian GosAdd just told me Ryan would be in 2 US talk show. 
La... http://fb.me/5txTZCMM2",1.0,1.0,3.0,1481041563000,8:26 AM - 6 Dec 2016,/RyanGoslingLuv/status/806172864370147328,
1568659176-10691,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@brina2300,Sabrina,I'm so excited for #LALALAND #Whiplash  was the best and I'm feeling like a swept away romance.  #helplessromantic,,,,1480982648000,4:04 PM - 5 Dec 2016,/brina2300/status/805925757935620096,
1568659176-10592,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@mskristinawong,Kristina Wong  ❄️,"In #lalaland, Emma Stone is a barista/ actor, drives a Prius and rents a cute LA apartment. Obvs this movie was made by peeps from Jersey.",,,2.0,1481003740000,9:55 PM - 5 Dec 2016,/mskristinawong/status/806014223666941952,
1568659176-10378,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@blancica,Blancica,Conoce más de la música de la esperada #LaLaLand. En FEBRERO #GranEstreno. http://fb.me/8mU3ALwW7,,,,1481059803000,1:30 PM - 6 Dec 2016,/blancica/status/806249368382750721,
1568659176-10330,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@sushanthreddy,Sushanth Nallapareddy,Peter Travers names #LALALAND as movie of the year,2.0,1.0,,1481067214000,3:33 PM - 6 Dec 2016,/sushanthreddy/status/806280452092952577,
1568659176-10591,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@HoytsAustralia,#HOYTSAUSTRALIA,TOMORROW! Prepare to fall in love with @RyanGosling & #EmmaStone @ #HOYTSGirlsNightOut! #LaLaLand http://bit.ly/HOYTSLLLT pic.twitter.com/KtkLEmdO7H,,,4.0,1481004045000,10:00 PM - 5 Dec 2016,/HoytsAustralia/status/806015501830934528,
1568659176-10480,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@jessica_rothe,Jessica Rothe,LA LA LAND PREMIER TONIGHT!!! Beyond grateful to be part of this amazing musical masterpiece. In theatres everywhere x mas day #LALALAND pic.twitter.com/JEuJ4svtfE,3.0,2.0,54.0,1481041556000,8:25 AM - 6 Dec 2016,/jessica_rothe/status/806172837123919872,
1568659176-10360,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@eOneANZ,eOne ANZ,See #LALALAND first - #WIN tickets to an exclusive screening on Dec 14 thanks to Colette! Enter here: https://www.facebook.com/LaLaLandAU/posts/344119142633872:0 …pic.twitter.com/iIvrwlZfTn,,,,1481063167000,2:26 PM - 6 Dec 2016,/eOneANZ/status/806263477497044993,
1568659176-10562,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@RyanGoslingLuv,GoslingAddicted,#LaLaLand - On Dec. 5 (yesterday) #RyanGosling with #EmmaStone and #JohnLegend did junkets in LA. You can watch... http://fb.me/89gPfLtc3,,,1.0,1481016704000,1:31 AM - 6 Dec 2016,/RyanGoslingLuv/status/806068598645133312,
1568659176-10612,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@bee_0898,Queen Bee 👑,I just saw the trailer to #LaLaLand and I'm already in love!!,,,,1480998384000,8:26 PM - 5 Dec 2016,/bee_0898/status/805991760518205440,
1568659176-10433,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@jessooca8,Jessica Reyes,Watch the new #LALALAND trailer featuring the song #Audition performed by #EmmaStone https://twitter.com/lalaland_movie_,,,,1481051775000,11:16 AM - 6 Dec 2016,/jessooca8/status/806215698116644864,
1568659176-10392,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@EntCity,Entertainment City,"ICYMI: #LadyGaga reveals her PTSD, #LastTangoInParis director comments on controversy + #RyanGosling talks #LaLaLand http://bit.ly/2gZTqak",,,,1481057840000,12:57 PM - 6 Dec 2016,/EntCity/status/806241133638598656,
1568659176-10571,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@EricssenWen,Ericssen,'La La Land' Named Best Film by Washington D.C.-Area Film Critics #lalaland http://www.hollywoodreporter.com/news/la-la-land-named-best-film-by-washington-dc-area-film-critics-952612 … via @thr,,,,1481014366000,12:52 AM - 6 Dec 2016,/EricssenWen/status/806058791179431936,
1568659176-10325,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@aiusachan1,...,"右の女性はアダムスファミリーのママ⁈
#lalaland #ララランドpic.twitter.com/GwqnD8kkOz",,,,1481067493000,3:38 PM - 6 Dec 2016,/aiusachan1/status/806281624627183616,
1568659176-10533,https://twitter.com/search?f=tweets&q=%23lalaland%20since%3A2016-12-06%20until%3A2016-12-07&src=typd,@Lips_Loose,Loose Lips,"Our scathing review of La La Land - http://loose-lips.com/index.php/2016/10/bfi-london-film-festival-la-la-land/ …

#LaLaLand is in US cinemas Friday.",,,,1481025911000,4:05 AM - 6 Dec 2016,/Lips_Loose/status/806107213328748545,
