web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1567454185-15334,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@Phase9tv,Phase9.tv,Lady Bird - Official Trailer (Universal Pictures) HD - http://www.phase9.tv/movie-trailers/lady-bird-official-trailer-universal-pictures-hd.shtml … #LadyBird pic.twitter.com/5RAlyqCApB,,,,1509106459000,5:14 AM - 27 Oct 2017,/Phase9tv/status/923885570123759617,
1567454185-15356,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@dskezsports,david skonieczny,"Just finished watching ""#LadyBird a real movie about a real ‘growing up’ life  http://todomovi.es/391713",,,,1509069231000,6:53 PM - 26 Oct 2017,/dskezsports/status/923729424754855938,
1567454185-15312,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@hiddlestigress,Hiddles Tigress,"You’ll laugh … you’ll cry …
#LadyBird 
#HighlyRecommendedhttps://twitter.com/DEADLINE/status/924054400762441728 …",,,,1509147720000,4:42 PM - 27 Oct 2017,/hiddlestigress/status/924058631204511744,
1567454185-15346,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@LPFabiani,L.P.Fabiani,Primera película vista en el @austinfilmfest: #LadyBird. Si tiene un 100% en Rotten Tomatoes no es casualidad https://www.rottentomatoes.com/m/lady_bird/,1.0,,2.0,1509073259000,8:00 PM - 26 Oct 2017,/LPFabiani/status/923746318429900800,
1567454185-15357,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@HouFilmFanatic,HoustonFilmFanatics,#GretaGerwig on the red carpet for #LadyBird at the #austinfilmfestival https://www.instagram.com/p/BauxnvYAKcU/,,1.0,1.0,1509063133000,5:12 PM - 26 Oct 2017,/HouFilmFanatic/status/923703847486230528,
1567454185-15345,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@nyfilmreviews,NewYorkFilmReviews,I can see this movie again and again and again and again. Great! #LadyBird https://twitter.com/ladybirdmovie/status/923605500301905921 …,,1.0,4.0,1509073541000,8:05 PM - 26 Oct 2017,/nyfilmreviews/status/923747503358595072,
1567454185-15332,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@adrianpatnod,Adrian Patenaude,"Over the course of a five-minute shower, I laughed out loud & started crying just thinking about minor characters in #LadyBird. #AFF2017",,,5.0,1509107855000,5:37 AM - 27 Oct 2017,/adrianpatnod/status/923891425917526016,
1567454185-15344,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@thenancydruid,Nancy Druid  🕵🏻‍♀️  🌸,Delighted to have seen #LadyBird on the big screen. Loved every moment of it at #AFF2017,,,1.0,1509086329000,11:38 PM - 26 Oct 2017,/thenancydruid/status/923801139132366848,
1567454185-15351,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@carlosEvaldivia,Carlos Valdivia,.@LadyBirdMovie is so so so good. One of my top 10 of the year. #ladybird,,,1.0,1509070094000,7:08 PM - 26 Oct 2017,/carlosEvaldivia/status/923733045814931457,
1567454185-15317,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@BritishCrafting,BritishCraftHouse,So very sweet! by @DeCumiDesigns https://www.etsy.com/uk/listing/226934278/ladybird-jewellery-cuff-bracelet-brushed?ref=shop_home_active_23 …  #britcraft #etsy #ladybird,,1.0,1.0,1509132906000,12:35 PM - 27 Oct 2017,/BritishCrafting/status/923996498639183873,
1567454185-15340,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@chrisjhastings,Chris Hastings,Saoirse Ronan is a tempestuous teen in the first trailer for #LadyBird: https://www.empireonline.com/people/saoirse-ronan/saoirse-ronan-tempestuous-teen-lady-bird-trailer/ … pic.twitter.com/jgk908NnXM,,,,1509093081000,1:31 AM - 27 Oct 2017,/chrisjhastings/status/923829458758402048,
1567454185-15341,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@empiremagazine,Empire Magazine,Saoirse Ronan is a tempestuous teen in the first trailer for #LadyBird: https://www.empireonline.com/people/saoirse-ronan/saoirse-ronan-tempestuous-teen-lady-bird-trailer/ …pic.twitter.com/BsOtV1wevY,,4.0,15.0,1509093000000,1:30 AM - 27 Oct 2017,/empiremagazine/status/923829119502180352,
1567454185-15349,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@valerieknees,Valerie Knees,"#LadyBird was a hit!! More complex coming of age stories about women, please!!  #aff2017 #womeninfilmpic.twitter.com/iGgx5ZMIX8",,,,1509070409000,7:13 PM - 26 Oct 2017,/valerieknees/status/923734364638367747,
1567454185-15347,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@jewelrykiho,ジュエリーキホウ,テントウムシ　ピン　http://www.jewelry-kiho.com/shopdetail/000000009617/ …　#jewelry #ladybird #ジュエリーキホウ #jewelrykiho #diamondpic.twitter.com/nIugbfGGBb,,,2.0,1509072131000,7:42 PM - 26 Oct 2017,/jewelrykiho/status/923741586055294976,
1567454185-15343,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@psjw12,Paul Watson,#ladybug #ladybird #bug #insect #macro #closeup #red https://www.instagram.com/p/BaveV-BDRA3/,,,,1509086523000,11:42 PM - 26 Oct 2017,/psjw12/status/923801952378486784,
1567454185-15333,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@adrianpatnod,Adrian Patenaude,"Still chuckling at the person last night who asked Greta Gerwig if the pacing in #LadyBird was intentional or a ""happy accident""  #AFF2017",,,2.0,1509106749000,5:19 AM - 27 Oct 2017,/adrianpatnod/status/923886786610417664,
1567454185-15342,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@Cayce333,Cayce Newton,Love her! Can't wait for her new movie #LadyBird,,,,1509087362000,11:56 PM - 26 Oct 2017,/Cayce333/status/923805471529504769,
1567454185-15335,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@onscreen_mag,Onscreen Magazine,Saoirse Ronan stars in the vibrant poster and trailer for Greta Gerwig’s colourful coming-of-age comedy #LadyBird https://youtu.be/GwuVX8PNtsc pic.twitter.com/l9AkBKv3vI,,,,1509105804000,5:03 AM - 27 Oct 2017,/onscreen_mag/status/923882822632398848,
1567454185-15331,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@ichi_tha,Matty Davies,ladybug #instadaily #picoftheday #ladybird #nature https://www.instagram.com/p/BawKC3MAw9A/,,,,1509109432000,6:03 AM - 27 Oct 2017,/ichi_tha/status/923898040502583297,
1567454185-15319,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@GinaMarieSarno,Gina RayRay,This movie was amazing! It hits home and speaks to all of us! Go see it when it comes out! @LadyBirdMovie #LadyBird #GretaGerwighttps://twitter.com/ladybirdmovie/status/905052916020477952 …,,,,1509129530000,11:38 AM - 27 Oct 2017,/GinaMarieSarno/status/923982337817407489,
1567454185-15314,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@aardvarknsefce,Andy Nolan,#ladybird @ Kelham Island Museum https://www.instagram.com/p/BaxEipNg7i4/,,,,1509140102000,2:35 PM - 27 Oct 2017,/aardvarknsefce/status/924026679797760000,
1567454185-15328,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@Filmzlap,Filmzlap,โปสเตอร์ใหม่ #LadyBird เป็นหนังที่อยากดูมากกกกตอนนี้ ได้ข่าวว่าไทยจะเอามาฉาย หวังว่าจะจริง ลุคนี้ของเซียร์ช่าคือปัง #Movietwitpic.twitter.com/Aoek3Js1dz,,10.0,3.0,1509113771000,7:16 AM - 27 Oct 2017,/Filmzlap/status/923916239382102016,
1567454185-15337,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@ChristiGabbitas,Christina Gabbitas,#FelicityFly in the #Garden teaches children about #pollination with fun http://wu.to/3xnR9L  #Bumblebee #Dragonfly #Ladybird #edchatpic.twitter.com/i9xiiCRzFf,,,1.0,1509100809000,3:40 AM - 27 Oct 2017,/ChristiGabbitas/status/923861872020946944,
1567454185-15355,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@BTnTHX,Brian Taylor,#LadyBird feels like a story on Gerwig could tell. Saoirse Ronan is perfect and I can’t wait for everyone to see this one #AFF2017,,,,1509069292000,6:54 PM - 26 Oct 2017,/BTnTHX/status/923729681773416450,
1567454185-15326,https://twitter.com/search?f=tweets&q=%23ladybird%20since%3A2017-10-27%20until%3A2017-10-28&src=typd,@ChuckWilsonLA,Chuck Wilson,@MelissEAnderson on #GretaGerwig’s #LadyBird...excellent. https://twitter.com/melisseanderson/status/923925519892131840 …,,,,1509118097000,8:28 AM - 27 Oct 2017,/ChuckWilsonLA/status/923934383165161472,
