web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1567135250-5393,https://twitter.com/search?f=tweets&q=%23midsommar%20since%3A2019-06-27%20until%3A2019-06-30&src=typd,@comingsoonnet,ComingSoon.net by Mandatory,"Next week, the festivities begin. Read our 9 / 10 review for #Midsommar here! https://www.comingsoon.net/movies/reviews/1078443-midsommar-review …",,4.0,9,1561732167000,7:29 AM - 28 Jun 2019,/comingsoonnet/status/1144613788609650688,
1567135250-5408,https://twitter.com/search?f=tweets&q=%23midsommar%20since%3A2019-06-27%20until%3A2019-06-30&src=typd,@blue_vlvt,sofie,#Midsommar is my endgame,,1.0,1,1561729752000,6:49 AM - 28 Jun 2019,/blue_vlvt/status/1144603656626606080,
1567135250-5198,https://twitter.com/search?f=tweets&q=%23midsommar%20since%3A2019-06-27%20until%3A2019-06-30&src=typd,@Jaskinia_Lindy,Linda,"U mnie na seansie pod koniec Hereditary cała sala się śmiała xD Ale na #Midsommar i tak idę, bo w sumie Hereditary mi się w większej części podobało. Plus, Hereditary to była pierwsza pełnometrażówka Astera, więc może za drugim razem pójdzie lepiej",1.0,,,1561804684000,3:38 AM - 29 Jun 2019,/Jaskinia_Lindy/status/1144917945405116416,
1567135250-5107,https://twitter.com/search?f=tweets&q=%23midsommar%20since%3A2019-06-27%20until%3A2019-06-30&src=typd,@DiegoMorala,Diego Morala,"Midsommar
#Midsommar #MidsommarMovie @MidsommarMovie 
#movieposter #AlternativeMoviePosters #PosterSpy @PosterSpy #art #illustration #poster #movieartpic.twitter.com/rO83AIKMmw",,3.0,10,1561840983000,1:43 PM - 29 Jun 2019,/DiegoMorala/status/1145070193103769600,
1567135250-5455,https://twitter.com/search?f=tweets&q=%23midsommar%20since%3A2019-06-27%20until%3A2019-06-30&src=typd,@SciFiNow,SciFiNow,"The new issue of SciFiNow is out today! Grab your copy for all the latest on #StrangerThings3, the final season of #Legion, horror #Midsommar, Stephen King's #DoctorSleep, #Humans, #ItChapter2, #Krypton and loads more...pic.twitter.com/aqSWQWtOLN",2.0,13.0,21,1561716219000,3:03 AM - 28 Jun 2019,/SciFiNow/status/1144546895764885504,
1567135250-5481,https://twitter.com/search?f=tweets&q=%23midsommar%20since%3A2019-06-27%20until%3A2019-06-30&src=typd,@se1ron_tea,セイロン,#Midsommar,,,,1561695281000,9:14 PM - 27 Jun 2019,/se1ron_tea/status/1144459076752908288,
1567135250-5369,https://twitter.com/search?f=tweets&q=%23midsommar%20since%3A2019-06-27%20until%3A2019-06-30&src=typd,@TrailersyEstren,Trailers y Estrenos,MIDSOMMAR - Trailer final español | Una de las películas de terror del año. Da la bienvenida al verano... https://trailersyestrenos.es/midsommar-trailer-final-espanol … #Midsommar @DeAPlanetapic.twitter.com/MpjimK0xgr,,1.0,3,1561736007000,8:33 AM - 28 Jun 2019,/TrailersyEstren/status/1144629892480454657,
1567135250-5310,https://twitter.com/search?f=tweets&q=%23midsommar%20since%3A2019-06-27%20until%3A2019-06-30&src=typd,@lolprobably,sam,just bought my tickets to see #Midsommar next week  pic.twitter.com/WOz7R5jWa6,,,1,1561743508000,10:38 AM - 28 Jun 2019,/lolprobably/status/1144661353141067776,
1567135250-5190,https://twitter.com/search?f=tweets&q=%23midsommar%20since%3A2019-06-27%20until%3A2019-06-30&src=typd,@carnictis,⚔️𝕆𝘄𝗲ຖ 🛡 ᴴⁱᵈᵈᵉⁿ. ᴮᵘᵗ ⁿᵒᵗ ᵁⁿˢᵉᵉⁿ.,"I have next Friday off for this. 
Can
Not 
Wait. 
#FearWhatsNext 
#MidSommar 

@AriAster 
@Florence_Pughpic.twitter.com/0Dh4Fonnyr",,,13,1561809382000,4:56 AM - 29 Jun 2019,/carnictis/status/1144937651503542272,
1567135250-5654,https://twitter.com/search?f=tweets&q=%23midsommar%20since%3A2019-06-27%20until%3A2019-06-30&src=typd,@HowardGorman,Howard Gorman,.@howardgorman's FRIGHT BITES is now available! https://paper.li/HowardGorman/1413462767?edition_id=3f2b48f0-98d8-11e9-a7d8-0cc47a0d15fd … #midsommar #glastonbury,,1.0,1,1561639016000,5:36 AM - 27 Jun 2019,/HowardGorman/status/1144223082267185153,
1567135250-5511,https://twitter.com/search?f=tweets&q=%23midsommar%20since%3A2019-06-27%20until%3A2019-06-30&src=typd,@twotrey23,Michael Dequina,"At #Midsommar @midsommarmovie screening @Florence_Pugh @AriAster (@ Real D Screening Room in Beverly Hills, CA)https://www.swarmapp.com/c/4yQqKVdZ2Zr",,,1,1561683132000,5:52 PM - 27 Jun 2019,/twotrey23/status/1144408118262206465,
1567135250-5648,https://twitter.com/search?f=tweets&q=%23midsommar%20since%3A2019-06-27%20until%3A2019-06-30&src=typd,@LaughingRedhead,Teresa Roberts Logan,"Aaaaaaughhhh . . . see??? I was telling my family I barely survived the last #ToyStory, sooooo  . . . I think I have to go see #TheDeadDontDie or #Midsommar instead. #horror #movies",,,2,1561640097000,5:54 AM - 27 Jun 2019,/LaughingRedhead/status/1144227616381161477,
1567135250-5582,https://twitter.com/search?f=tweets&q=%23midsommar%20since%3A2019-06-27%20until%3A2019-06-30&src=typd,@AlamoKC,Alamo Kansas City,"Our manager Jenn sent us this video from the #midsummer festival in #Sweden! Check it out! 

#Midsommar #AlamoKC #AlamoAbroad #A24

Tickets for MIDSOMMAR are now on sale.pic.twitter.com/OcRaeU5Wrw",1.0,,9,1561656223000,10:23 AM - 27 Jun 2019,/AlamoKC/status/1144295256155930625,
1567135250-5653,https://twitter.com/search?f=tweets&q=%23midsommar%20since%3A2019-06-27%20until%3A2019-06-30&src=typd,@owenkcraig,Owen Craig,Got my tickets for #Midsommar. Can't wait to be scarred for life again by Ari Aster. pic.twitter.com/wWhvM0xx37,,,1,1561639056000,5:37 AM - 27 Jun 2019,/owenkcraig/status/1144223250756624384,
