web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1568650599-3814,https://twitter.com/search?f=tweets&q=%23moana%20since%3A2016-11-20%20until%3A2016-11-21&src=typd,@nodangs,Kayla,"ANAHEIM, CA - AUGUST 14: Actor Dwayne Johnson of #MOANA took part... http://dlvr.it/Mj604B pic.twitter.com/qCH1VJIOVo",,,,1479636176000,2:02 AM - 20 Nov 2016,/nodangs/status/800278243211255808,
1568650599-3492,https://twitter.com/search?f=tweets&q=%23moana%20since%3A2016-11-20%20until%3A2016-11-21&src=typd,@nate_gclink,ITX news,#writersworkshop2016 #Moana #AccHack16 #Trump2016 #4nationsfinal #UKIP #EDL #BNP #IRA #NHS #BBC #CNN #oxnews #Brexit #Lutonpic.twitter.com/fzP4JqfLIY,,,,1479657821000,8:03 AM - 20 Nov 2016,/nate_gclink/status/800369028132990978,
1568650599-3417,https://twitter.com/search?f=tweets&q=%23moana%20since%3A2016-11-20%20until%3A2016-11-21&src=typd,@DisneyFanCollec,DisneyFanCollector,My #Moana Doll @DisneyStore @DisneySpain http://disneyfancollector.blogspot.com.es/2016/09/vaiana-moana.html …,,,,1479662781000,9:26 AM - 20 Nov 2016,/DisneyFanCollec/status/800389834141564929,
1568650599-3060,https://twitter.com/search?f=tweets&q=%23moana%20since%3A2016-11-20%20until%3A2016-11-21&src=typd,@PabloBeal,Young Atlas,"So according to the Rock's Instagram, the Kakamora sequence in #Moana is inspired by ""Fury Road"" and I love it already.",,1.0,,1479684906000,3:35 PM - 20 Nov 2016,/PabloBeal/status/800482633406812160,
1568650599-3689,https://twitter.com/search?f=tweets&q=%23moana%20since%3A2016-11-20%20until%3A2016-11-21&src=typd,@OrganicHQ,ORGANIC,We have had a great day at @disney_uk's UK premiere for #MOANA. In cinemas December 2. pic.twitter.com/4fUDU3U7p0,,1.0,7,1479646439000,4:53 AM - 20 Nov 2016,/OrganicHQ/status/800321288308826113,
1568650599-3441,https://twitter.com/search?f=tweets&q=%23moana%20since%3A2016-11-20%20until%3A2016-11-21&src=typd,@rebrnrds,𝐫𝐞𝐧𝐚𝐭𝐚 𝐚𝐤𝐚 𝐫𝐨𝐜𝐤𝐞𝐭𝐠𝐢𝐫𝐥  🚀,@Lin_Manuel why was warrior face cut from #moana? The noises you made for the faces were priceless haha,,,,1479660559000,8:49 AM - 20 Nov 2016,/rebrnrds/status/800380512422555648,
1568650599-4008,https://twitter.com/search?f=tweets&q=%23moana%20since%3A2016-11-20%20until%3A2016-11-21&src=typd,@kenzie60058,Kenzie,Learn how the Ocean became a character in #Moana #MoanaEvent  http://ln.is/rQgpJ  by #vivaveltoro via @c0nvey,,10.0,,1479609645000,6:40 PM - 19 Nov 2016,/kenzie60058/status/800166966883270656,
1568650599-3288,https://twitter.com/search?f=tweets&q=%23moana%20since%3A2016-11-20%20until%3A2016-11-21&src=typd,@bwforesunrise,the sparkling diamond,#Moana #Moana #Moana,,,,1479670248000,11:30 AM - 20 Nov 2016,/bwforesunrise/status/800421151583387648,
1568650599-3034,https://twitter.com/search?f=tweets&q=%23moana%20since%3A2016-11-20%20until%3A2016-11-21&src=typd,@raisingwhasians,Raising Whasians,That time #Moana agreed that @seekerpotter7 was my Hei-Hei #pricelessfaces Be sure to check out… https://www.instagram.com/p/BNDQ9fCBEGm/,,1.0,,1479685819000,3:50 PM - 20 Nov 2016,/raisingwhasians/status/800486462827311104,
1568650599-3907,https://twitter.com/search?f=tweets&q=%23moana%20since%3A2016-11-20%20until%3A2016-11-21&src=typd,@WDWDetails,WDW Details,"Just saw an advance screening of @DisneyMoana and it was amazing, an instant disney classic @TheRock #CHEEHOO #disney #moana #DestinationD",,,1,1479619835000,9:30 PM - 19 Nov 2016,/WDWDetails/status/800209706702741505,
1568650599-3498,https://twitter.com/search?f=tweets&q=%23moana%20since%3A2016-11-20%20until%3A2016-11-21&src=typd,@nate_gclink,ITX news,#writersworkshop2016 #Moana #AccHack16 #Trump2016 #4nationsfinal #UKIP #EDL #BNP #IRA #NHS #BBC #CNN #oxnews #Brexit #Lutonpic.twitter.com/JWCuKT67bC,,,,1479657748000,8:02 AM - 20 Nov 2016,/nate_gclink/status/800368723714572289,
1568650599-4056,https://twitter.com/search?f=tweets&q=%23moana%20since%3A2016-11-20%20until%3A2016-11-21&src=typd,@celspi,Rana NWCA,I'm such a fail. I go to Disney Store & Target looking for #Moana stuff but end up buying #BB8 - so hopeless - he's my fave. Was on sale!,,,1,1479604378000,5:12 PM - 19 Nov 2016,/celspi/status/800144875517722624,
1568650599-3957,https://twitter.com/search?f=tweets&q=%23moana%20since%3A2016-11-20%20until%3A2016-11-21&src=typd,@empiremagazine,Empire Magazine,Take to the seas with our review of Disney's #Moana: http://www.empireonline.com/movies/moana/review/ …pic.twitter.com/T8RmQXpe27,1.0,10.0,25,1479614401000,8:00 PM - 19 Nov 2016,/empiremagazine/status/800186914372456448,
