web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1568945850-3151,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@tgatp,ThatGirlAtTheParty,Saw #pitchperfect3 and #PhantomThread at screenings tonight. https://www.instagram.com/p/Bc3yChdHBLd/,,,,1513660252000,9:10 PM - 18 Dec 2017,/tgatp/status/942985560515211266,
1568945850-3081,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@vinesh_vK,Vinesh @ vK_viLLa,"#PhantomThread is pure gold, Daniel Day Lewis sir keeps his best for the last",,,,1513780321000,6:32 AM - 20 Dec 2017,/vinesh_vK/status/943489166112780288,
1568945850-3169,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@SharonKingHoge,Sharon King Hoge,GRAND FINALE Daniel Day Lewis exits in a seamless performance #PhantomThread,,,,1513646657000,5:24 PM - 18 Dec 2017,/SharonKingHoge/status/942928539849981953,
1568945850-3166,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@Remy_hairs,Vietnam_Remy_Hair,"SO BEAUTIFUL
#remyhair #hair68 #beautiful #MigrantsDay #BestTVLines2017 #PhantomThread #hairstyle #GameOfThronesFinalepic.twitter.com/Wyvw4nNHNL",,,2.0,1513647902000,5:45 PM - 18 Dec 2017,/Remy_hairs/status/942933763951964162,
1568945850-3194,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@AwardsCircuit,Clayton Davis,Vancouver Film Critics Circle Names 'Lady Bird' Best Film of 2017 #awards #BPM #DanielDay-Lewis #ExLibris:TheNewYorkPublicLibrary #GetOut #JordanPeele #LadyBird #LaurieMetcalf #news #PaulThomasAnderson #PhantomThread #Precursors #Precursors2017 #SaoirseRon http://www.b2s.pm/mccEyB,,1.0,4.0,1513623976000,11:06 AM - 18 Dec 2017,/AwardsCircuit/status/942833408312520704,
1568945850-3062,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@allisonshoe,Allison Shoemaker,"Very excited about this: got to interview the remarkable Vicky Krieps of #PhantomThread, one of my favorite films of 2017. Here she is, talking about @consequence's pick for Film Performance of the Year!https://consequenceofsound.net/2017/12/phantom-threads-vicky-krieps-on-e-mails-mushrooms-and-her-outstanding-film-performance-of-the-year/ …",1.0,,7.0,1513790012000,9:13 AM - 20 Dec 2017,/allisonshoe/status/943529816900415488,
1568945850-3164,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@ErikDavis,Erik Davis,There’s lots more of our chat - including a great story about Punch Drunk Love and a big list of movies PTA wants you to watch after #PhantomThread — but that’s all still to come. Stay tuned,,,1.0,1513649160000,6:06 PM - 18 Dec 2017,/ErikDavis/status/942939039602233344,
1568945850-3129,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@VanityFair,VANITY FAIR,".@rilaws says #PhantomThread is ""fiercely romantic, in its improbable way."" http://vntyfr.com/5BLD7IX",1.0,6.0,20.0,1513704478000,9:27 AM - 19 Dec 2017,/VanityFair/status/943171061134364673,
1568945850-3088,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@BUILDseriesNYC,BUILD Series,"#PhantomThread just now in theaters is an extraordinary film  - we celebrated Paul Thomas Anderson's artist achievement - and Daniel Day Lewis' final film -   with leading ladies Vicky Krieps and Lesley Manville, and costume designer Mark Bridges. https://www.buildseries.com/video/5a31a3a7d0e3cf492e5e40be/ …pic.twitter.com/KGWHQq7nw3",,6.0,17.0,1513773621000,4:40 AM - 20 Dec 2017,/BUILDseriesNYC/status/943461067807776768,
1568945850-3124,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@Phantom_Thread,Phantom Thread,"NYC - @RegalMovies Crown Club and @AMCTheatres are having special advance screenings of #PhantomThread on 12/20. Get your tickets now.

http://bit.ly/pt-amc  
http://bit.ly/pt-regal pic.twitter.com/iy55RmiMDT",,8.0,33.0,1513708523000,10:35 AM - 19 Dec 2017,/Phantom_Thread/status/943188025344847872,
1568945850-3184,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@DanielleSATM,Danielle Solzman,#MusicMonday is trending.  Did every film critic have the same idea to listen to original scores that are #FYC?  Just me?  Will the #PhantomThread soundtrack be added anytime soon on Amazon?,,,1.0,1513629739000,12:42 PM - 18 Dec 2017,/DanielleSATM/status/942857583446183937,
1568945850-3165,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@tvandfilmguy,"Josh Lasser, Freelancer","I loved #PhantomThread.

That is all.",,,,1513649051000,6:04 PM - 18 Dec 2017,/tvandfilmguy/status/942938579927490561,
1568945850-3043,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@ThePlaylist,The Playlist  🎬,"""We were texting back and forth trying to come up with names, and he came up with that one, and I fucking choked on my cornflakes."" — Paul Thomas Anderson  
http://bit.ly/2BGpCuh 
#PhantomThread pic.twitter.com/otpx4KqPCU",,9.0,37.0,1513805006000,1:23 PM - 20 Dec 2017,/ThePlaylist/status/943592706433060864,
1568945850-3040,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@SebIscariote,Seb Iscariote,"Paul Thomas Anderson, un de mes réalisateurs préférés

+ (une nouvelle fois après #ThereWillBeBlood)

Daniel Day Lewis (son dernier film ?), un de mes acteurs préférés

= #PhantomThread
Vivement... février ?
https://www.youtube.com/watch?v=xNsiQMeSvMk …",1.0,,,1513808459000,2:20 PM - 20 Dec 2017,/SebIscariote/status/943607185887715335,
1568945850-3085,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@FoxKidsNation,Nathaniel DeVon Sanford,"Retweeted Rotten Tomatoes (@RottenTomatoes):

#PhantomThread is now #CertifiedFresh at 92% on the #Tomatometer!... https://fb.me/7PrJzPkBI",,,,1513778728000,6:05 AM - 20 Dec 2017,/FoxKidsNation/status/943482486079836161,
1568945850-3087,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@TUILP_Greece,TULIP Entertainment,"""H Αόρατη Κλωστή"" #PhantomThread με τον Ντάνιελ Ντέι Λούις.

Ένα καταραμένο και σπαρακτικό love story υψηλής ραπτικής...

Τον Ιανουάριο στους κινηματογράφους. pic.twitter.com/jvM3DxEgRm",,,2.0,1513775381000,5:09 AM - 20 Dec 2017,/TUILP_Greece/status/943468449388474368,
1568945850-3055,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@aresluoga,Andres Quiroga,"My List Of The 10 #BestMoviesOf2017

01 The Shape Of Water
02 The Killing Of A Sacred Deer 
03 Detroit
04 The Post
05 #LaCordillera (The Summit)
06 #PhantomThread
07 #Mudbound
08 #Mother! 
09 Call Me By Your Name
10 Three Billboards Outside Ebbing, Missouripic.twitter.com/bWu2TXhl7Q",,,4.0,1513794066000,10:21 AM - 20 Dec 2017,/aresluoga/status/943546817538658304,
1568945850-3064,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@GQMagazine,GQ Magazine,"Paul Thomas Anderson on #PhantomThread, Daniel Day-Lewis, and writing obsessive, difficult men http://gq.mn/M1NbAqL pic.twitter.com/G5HuZxasAg",,58.0,186.0,1513787518000,8:31 AM - 20 Dec 2017,/GQMagazine/status/943519355131842561,
1568945850-3063,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@Minnesota_MB,Minnesota Movie Buff,"NEW TO THEATERS THIS HOLIDAY WEEKEND:

#TheGreatestShowman

#JumanjiWelcomeToTheJungle 

#DarkestHour

#PitchPerfect3

#Downsizing

#FatherFigures

#PhantomThread

#AllTheMoneyInTheWorld",,1.0,1.0,1513788895000,8:54 AM - 20 Dec 2017,/Minnesota_MB/status/943525129937653761,
1568945850-3193,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@AwardsCircuit,Clayton Davis,"Seattle Film Critics Association Announces 2017 Winners, 'Get Out' Declared Best Picture #awards #BladeRunner2049 #Dunkirk #GetOut #LadyBird #logan #news #PhantomThread #Precursors2017 #SeattleFilmCriticsSociety #TheDisasterArtist #TheFloridaProject #ThePo http://www.b2s.pm/uSGxDD",,,1.0,1513624037000,11:07 AM - 18 Dec 2017,/AwardsCircuit/status/942833666639753216,
1568945850-3210,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@BabakAnvari,Babak Anvari,"#PhantomThread is an emotional, beautiful and delicate film. It had an everlasting effect on me.",2.0,,10.0,1513603393000,5:23 AM - 18 Dec 2017,/BabakAnvari/status/942747080195526656,
1568945850-3220,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@ghibli303,Saman Kesh,Just watched #PhantomThread. I’m convinced a body snatcher directed that movie. Get it out of your system PT. pic.twitter.com/16PHesUN0R,,,,1513567293000,7:21 PM - 17 Dec 2017,/ghibli303/status/942595662188650496,
1568945850-3090,https://twitter.com/search?f=tweets&q=%23phantomthread%20since%3A2017-12-18%20until%3A2017-12-21&src=typd,@MyTrackingBoard,Tracking Board,"#PaulThomasAnderson finds his voice with the rich and controlled #PhantomThread starring #DanielDayLewis, writes @DrewMcWeeny http://bit.ly/2o6ZE03 pic.twitter.com/LqMw9FE5J0",,,1.0,1513771237000,4:00 AM - 20 Dec 2017,/MyTrackingBoard/status/943451068360470528,
