web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1567205803-21878,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@ace_trainer_et,Cat Dad Ethan,I desperately want to see #AQuietPlace,,,,1522735546000,11:05 PM - 2 Apr 2018,/ace_trainer_et/status/981050102281326592,
1567205803-21921,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@mbaadnin,Adnin Wirjodisoemo,"Apaqa w akan sendirian di bioskop nonton #AQuietplace    show pertama? 

Kayaknya iya sih. Abegenya pad nonton #Danur2Maddah ~pic.twitter.com/pLJrYuNHcc",3.0,,,1522730072000,9:34 PM - 2 Apr 2018,/mbaadnin/status/981027144481386496,
1567205803-20998,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@TheBlackGate,Paul Draper,#AQuietPlace and #GhostStories both out in the same week. It's a spooky cinema Christmas!,,,2,1522797518000,4:18 PM - 3 Apr 2018,/TheBlackGate/status/981310035199393792,
1567205803-21356,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@montasefilm,mOntasefilm,"#AQuietPlace #StayQuiet 

https://montasefilm.com/a-quiet-place/",,1,,1522772184000,9:16 AM - 3 Apr 2018,/montasefilm/status/981203776961880064,
1567205803-21487,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@Adityooow,KASTANGEL,"Dan liat film #AQuietPlace seru! Kalo suka sama film #DontBreath harus nonton, 11 12 lah seru. Ada bahasa isyarat nya. Tentang keluarga juga. Nontonya harus diem.",,3,,1522767546000,7:59 AM - 3 Apr 2018,/Adityooow/status/981184323545047040,
1567205803-22061,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@theprojecttv,The Project,It’s time to talk movies and this week we’re talking about a film with barely any talking at all... @XavierBrinkman sits down with the stars of #AQuietPlace! #TheProjectTVpic.twitter.com/xO9dzoKQhF,,5,9,1522720427000,6:53 PM - 2 Apr 2018,/theprojecttv/status/980986689865768960,
1567205803-21271,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@MuktaA2Bahrain,MuktaA2Bahrain,"شاهدوا #ايميلي_بلانت في الفلم الرعب الجديد
#aquietplace
هذا الخميس في موكتا أ٢ سينما.
-
Watch #emilyblunt starring in the horror movie #aquietplace, coming up this Thursday in Mukta A2 Cinemas. pic.twitter.com/T3kQ06tSjh",,,,1522775819000,10:16 AM - 3 Apr 2018,/MuktaA2Bahrain/status/981219019696074755,
1567205803-21210,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@somebodyelse_so,◡̈,"เป็นหนังที่ ดูจบแล้ว
ไม่กล้าใช้เสียงเลยจริงๆ
นี่ห้องอยู่ชั้น 3 บ้านไม้
ต้องเดินขึ้นบันได
เขย่งเหมือนในหนังเลยจ้า 
 #ดินแดนไร้เสียง #AQuietPlace",,,,1522778760000,11:06 AM - 3 Apr 2018,/somebodyelse_so/status/981231355081064449,
1567205803-21859,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@HorrorclubTH,Horrorclub,หมดเวลาคราง เพราะนี่คือ #แดนไร้เสียว #AQuietPlace ฉายรอบพิเศษหลังสองทุ่ม 3-4 เมษายนนี้ ก่อนฉายจริงทึุกโรง ทุกรอบ 5 เมษายน pic.twitter.com/ilhL5jrvuF,,2,,1522738677000,11:57 PM - 2 Apr 2018,/HorrorclubTH/status/981063234479206400,
1567205803-21697,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@LAUNCHING_FILMS,Launching Films,New horror #AQuietPlace stars Emily Blunt and John Krasinski in a place where screaming will get you killed not saved. It's in cinemas Thursday - more info and tickets here: http://ow.ly/ycgo50h1UrE,,,1,1522755021000,4:30 AM - 3 Apr 2018,/LAUNCHING_FILMS/status/981131788583129091,
1567205803-21814,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@Screenweek,Screenweek,#AquietPlace #UnPostoTranquillo Trailer finale per l’horror di John Krasinski https://goo.gl/HLWjrE pic.twitter.com/WYpRR0ym47,,,,1522741500000,12:45 AM - 3 Apr 2018,/Screenweek/status/981075076324954112,
1567205803-21255,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@MillsPhitcys,สมหยองของหน่องมิล ✞,บีบอารมณ์กูสุด #AQuietPlace,,,1,1522776629000,10:30 AM - 3 Apr 2018,/MillsPhitcys/status/981222419133186048,
1567205803-21250,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@ItsssShap,Shap,I want to watch #AQuietPlace,,1,1,1522776945000,10:35 AM - 3 Apr 2018,/ItsssShap/status/981223742759043073,
1567205803-21887,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@MauriMorales93,Mauricio Morales,"Y otro punto importante: más allá de ser un excelente filme de terror y suspenso, #UnLugarEnSilencio #AQuietPlace es una historia sobre el inmenso amor que le tienen algunos padres (lamentablemente no todos son así) a sus hijos.",,,,1522734781000,10:53 PM - 2 Apr 2018,/MauriMorales93/status/981046894830014464,
1567205803-22128,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@fiercegia,Ashley Gia Smith,Bravo @johnkrasinski for championing the inclusion of a deaf actress in #AQuietPlace via @EWpic.twitter.com/EmbQuGKKBJ,,,2,1522715798000,5:36 PM - 2 Apr 2018,/fiercegia/status/980967272901632000,
1567205803-21442,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@Filmexodus_,SAW - FilmExodus,Final 'A Quiet Place' Trailer: This Year's 'Get Out' - FilmExodus - http://filmexodus.com/final-a-quiet-place-trailer-this-years-get-out/ … #AQuietPlace #Horror #Movies #Trailerspic.twitter.com/oU5a2Lsken,,,,1522769101000,8:25 AM - 3 Apr 2018,/Filmexodus_/status/981190842030452738,
1567205803-20969,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@pfleck1975,Paula Fleck,#AQuietPlace https://www.youtube.com/watch?v=rqEnM25BsNQ …,,,,1522798987000,4:43 PM - 3 Apr 2018,/pfleck1975/status/981316194543157251,
1567205803-21641,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@freshandsound,Londoner,@ParamountUK hello are there tickets available for #AQuietPlace screening in London?,1.0,,1,1522758706000,5:31 AM - 3 Apr 2018,/freshandsound/status/981147243045687296,
1567205803-21086,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@Chelseaaa_93,𝒞𝐻𝐸𝐿𝒮𝒮 💞,Must go and see #AQuietPlace  looks so good!,,,,1522790489000,2:21 PM - 3 Apr 2018,/Chelseaaa_93/status/981280550299361280,
1567205803-21551,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@clukey83,James McCluskey,@ODEONCinemas Luxe Glasgow Quay. Watched #AQuietPlace excellent horror. @MNightShyamalan inspired I would say.,,,,1522764308000,7:05 AM - 3 Apr 2018,/clukey83/status/981170739062521856,
1567205803-21904,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@YahyaImran,Yahya,Kinda last minute. Anybody wanna watch premiere screening of #AQuietPlace with me tonight at One Utama? Jim Halpert is directing.,,,1,1522732871000,10:21 PM - 2 Apr 2018,/YahyaImran/status/981038885336637441,
1567205803-22115,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@evanswagg1,Ev-Dawg,"Got to meet my boy 
 @KevinMcCarthyTV when I saw #AQuietPlace 
Only way to make a great movie watching experience even greater. pic.twitter.com/oxG97fRSHV",2.0,,14,1522716461000,5:47 PM - 2 Apr 2018,/evanswagg1/status/980970056384466944,
1567205803-21283,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@CinemApp_CineUK,CinemApp News,comingsoonnet - NordlingCS Shush! #AQuietPlace,,,,1522775362000,10:09 AM - 3 Apr 2018,/CinemApp_CineUK/status/981217103436046337,
1567205803-21189,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@nephrie1,Dee Lindsey,#AQuietPlace,,,,1522781115000,11:45 AM - 3 Apr 2018,/nephrie1/status/981241234089041920,
1567205803-21657,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@AlwaysDevi,Devi Oktavia,"Beginning this April silently, quietly, sshh, sshh..
#AQuietPlace #EmilyBluntpic.twitter.com/G3sMXMFiTO",1.0,,,1522757456000,5:10 AM - 3 Apr 2018,/AlwaysDevi/status/981142001885196288,
1567205803-21175,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@GrangerTalley,Granger Talley,@johnkrasinski is this where y’all got the inspiration for the ~creatures~ in #AQuietPlace ? https://twitter.com/maybetomhanks/status/980705051000782848 …,,,,1522782171000,12:02 PM - 3 Apr 2018,/GrangerTalley/status/981245664507125765,
1567205803-22071,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@blakelivelyf,Blake Lively Updates,"We must protect them at all costs!! 

Blake Lively and Ryan Reynolds at the premiere of 'A Quiet Place' in New York tonight! #AQuietPlace 
Photos: https://bit.ly/2GLamRM pic.twitter.com/xR5iTkmuTc",,26,56,1522719853000,6:44 PM - 2 Apr 2018,/blakelivelyf/status/980984281941110784,
1567205803-21743,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@movieplayer_it,Movieplayer.it,#AQuietPlace: il final trailer del thriller diretto da #JohnKrasinski https://buff.ly/2JfOXie pic.twitter.com/8JfLZ7jXC5,,,,1522749421000,2:57 AM - 3 Apr 2018,/movieplayer_it/status/981108298886864896,
1567205803-20977,https://twitter.com/search?f=tweets&q=%23aquietplace%20since%3A2018-04-03%20until%3A2018-04-04&src=typd,@BrigiiteV,❤️B,"I get to see an advanced screening of @quietplacemovie tonight AND I AM THE MOST EXCITED. Have you guys seen the trailer??

Me toca ver esta pelí hoy por la noche.  ¿Ya vieron el trailer?   

#AQuietPlace #StayQuietpic.twitter.com/c9bfJQZcp8",,,6,1522798657000,4:37 PM - 3 Apr 2018,/BrigiiteV/status/981314810481582080,
