web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1569529896-15032,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@cruizerdave,David Anderson,Another #RobinHood ? Really? #creativity #drought,,,,1542170139000.0,8:35 PM - 13 Nov 2018,/cruizerdave/status/1062564697247891456,
1569529896-15029,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@Sahamongkolfilm,สหมงคลฟิล์ม อินเตอร์เนชั่นแนล,ปฏิวัติพลังธนู ไม่มีโรบินฮู้ดในประวัติศาสตร์คนไหนหรอก กระหน่ำธนูแบบ 360 องศา ธิงธนู 3 ดอกใน 1 วินาที โรบินฮู้ดคนใหม่จะโชว์ให้ดู! #RobinHood #พยัคฆ์ร้ายโรบินฮู้ด 22 พฤศจิกายนนี้ ตัวอย่าง : https://youtu.be/O0YHhQvInd8 pic.twitter.com/AnCg0DHYPu,,2.0,3.0,1542171660000.0,9:01 PM - 13 Nov 2018,/Sahamongkolfilm/status/1062571073982480385,
1569529896-14797,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@prisfilmes,Pris Audiovisuais,"A 29 de Novembro, conhece a história de Robin de Loxley. #RobinHood pic.twitter.com/ZekzmnHddN",,,,1542298514000.0,8:15 AM - 15 Nov 2018,/prisfilmes/status/1063103138436136960,
1569529896-14880,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@stevelecoui,Stevland I guess,#muchthemillersson #robinhood #indycomics #cloudscapecomicspic.twitter.com/UgRjmVl4n2,,,1.0,1542254525000.0,8:02 PM - 14 Nov 2018,/stevelecoui/status/1062918635948142593,
1569529896-14968,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@HannaFlint,Hanna Ines Flint,When @TaronEgerton told me this I couldn't help but agree. It's a fair point. #RobinHood https://yhoo.it/2PVWUPD,,,1.0,1542215332000.0,9:08 AM - 14 Nov 2018,/HannaFlint/status/1062754248268660737,
1569529896-15009,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@WeLoveSF,SF Cinema,เธอคิดว่าถ้าโรบินไม่ใส่ 'ฮู้ด' เขาจะใส่อะไรแทนดี? เตรียมพบกับจอมโจรที่จะมาทวงคืนความยุติธรรมให้ชาวบ้านใน #RobinHood 22 พ.ย. นี้ ที่ #SFcinemapic.twitter.com/rrT9VMLGH3,,6.0,12.0,1542190085000.0,2:08 AM - 14 Nov 2018,/WeLoveSF/status/1062648355308728321,
1569529896-14800,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@EzekialBone,Robin Hood C21st,'...capturing everything the wizard tells..' Never been called a 'wizard' before! #OfficialOutlaw #RobinHood a hit with Swedish traveller!  https://ohdarling.org/robin-hood-town-tour-nottingham/ … via @intehelena #RobinHoodLives @triptojerusalem,,,4.0,1542298110000.0,8:08 AM - 15 Nov 2018,/EzekialBone/status/1063101444658790401,
1569529896-14847,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@Sahamongkolfilm,สหมงคลฟิล์ม อินเตอร์เนชั่นแนล,"อีก 7 วัน จะมีนักรบสักกี่คน ที่กลายมาเป็นจอมโจร 
จะมีโจรสักกี่คน ที่กลายเป็น ""วีรบุรุษ"" #RobinHood 
#พยัคฆ์ร้ายโรบินฮู้ด 22 พฤศจิกายนนี้ ในโรงภาพยนตร์
ตัวอย่าง : https://youtu.be/O0YHhQvInd8 pic.twitter.com/o0QQ6OE8DA",,2.0,2.0,1542276000000.0,2:00 AM - 15 Nov 2018,/Sahamongkolfilm/status/1063008708236578816,
1569529896-14795,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@robert72894,Robert,"#MiddleAges #MedievalKnights #WallHangers #England #London #VintageBronze #VIntageWallHangers #BlackKnight #RobinHood

https://www.ebay.com/itm/264028519594?ssPageName=STRK:MESELX:IT&_trksid=p3984.m1555.l2649 …",,,,1542299047000.0,8:24 AM - 15 Nov 2018,/robert72894/status/1063105376051257349,
1569529896-15052,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@cinema21,Cinema XXI,"Kurang dari seminggu lagi Sobat XXI bisa lihat betapa menariknya Taron Egerton di Robinhood versi masa kini!

Wohoo.. #Robinhood tayang mulai 20 November 2018. Pas banget tuh hari libur nasional. Nah nonton filmnya ya! Hanya di Bioskop Jaringan Cinema XXI pic.twitter.com/hBsDYNH49p",10.0,88.0,182.0,1542157804000.0,5:10 PM - 13 Nov 2018,/cinema21/status/1062512958511636480,
1569529896-14995,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@oddsockstweets,Oddsocks Productions,"If you go down to the woods today, you're in for a chance to meet this furry fella! Check back with us at 2pm to see who this little guy comes across! Any ideas??? Let us know!
Book your tickets NOW! https://bit.ly/2f8wJAP 
#RevoltwithRobin #RobinHood #WinterTour @QueensHallpic.twitter.com/Z0FX40OVdW",,,1.0,1542200784000.0,5:06 AM - 14 Nov 2018,/oddsockstweets/status/1062693229160738816,
1569529896-14814,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@RoratoSilvia,Silvia ...(Fan),#JamieDornan      #WillScarlet       #RobinHood    On Cinema November 22nd  via @robinhoodmovie  FB Italian page pic.twitter.com/vrqJDdI6rT,,27.0,154.0,1542292822000.0,6:40 AM - 15 Nov 2018,/RoratoSilvia/status/1063079264520716288,
1569529896-14744,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@999BOBFM,99.9 BOB FM,"Text ""HOOD"" to 204-999 if you'd like to join us for the Advance Screening of #RobinHood 
(Std msg rates may apply) pic.twitter.com/dvxcwEM9D3",1.0,,1.0,1542319210000.0,2:00 PM - 15 Nov 2018,/999BOBFM/status/1063189942908715009,
1569529896-14901,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@ShowBizCinemas,ShowBiz Cinemas,See #RobinHood early at ShowBiz Cinemas and receive a free collectible pint glass! Get your tickets here: http://ow.ly/4qwD30mCzno pic.twitter.com/hjxfSfiiEU,,,,1542240031000.0,4:00 PM - 14 Nov 2018,/ShowBizCinemas/status/1062857842850447366,
1569529896-14815,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@ManferFilms,Manfer Films,"Robin de Loxley prepara la rebelión contra la corrupta corona inglesa. #RobinHood, estreno 22 de Noviembre. https://www.facebook.com/ManferFilms/videos/289580501668085/ …",,,,1542291925000.0,6:25 AM - 15 Nov 2018,/ManferFilms/status/1063075504834666501,
1569529896-14911,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@SydneyEditor1,"Verushka, an editor",Musings of a Literary Wanderer is waiting on such a great retelling of the #RobinHood myth: Sherwood - http://bit.ly/2TbthbL pic.twitter.com/drjuRwIwhK,,,1.0,1542237661000.0,3:21 PM - 14 Nov 2018,/SydneyEditor1/status/1062847901653712897,
1569529896-14808,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@dwage_music,Dennis Wage (Music),Hey orange man! How's this stock market thingy work again? @realDonaldTrump #StockMarket #dowjones #RobinHood #stocks @EdwardJones #trading @MerrillEdge @Fidelity @TRowePrice @FranklinTemple @TDAmeritrade @scottrade,1.0,1.0,,1542294822000.0,7:13 AM - 15 Nov 2018,/dwage_music/status/1063087654340845571,
1569529896-14962,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@Cameo_Oddyo,Cameo,Exclusive #RobinHood radio interview with Taron Egerton and Director Otto Bathurst ready for immediate broadcast! https://oddyo.com/film/robin-hood pic.twitter.com/WNA2QDMF5a,1.0,,2.0,1542217330000.0,9:42 AM - 14 Nov 2018,/Cameo_Oddyo/status/1062762628076974080,
1569529896-15016,https://twitter.com/search?f=tweets&q=%23robinhood%20since%3A2018-11-14%20until%3A2018-11-16&src=typd,@BHTheatreClub,Burgess Hill Theatre,Today the Box Office will be open at the theatre between 10am and 1pm. Pop in and purchase some tickets for #RobinHood & Babes in the Wood. Don't miss our traditional family #pantomime in December. #amdram #burgesshillpic.twitter.com/6eaaNqPBa2,1.0,1.0,1.0,1542186303000.0,1:05 AM - 14 Nov 2018,/BHTheatreClub/status/1062632491406761986,
