web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1568661283-15596,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@FindYourSilence,The Power of Silence,"Silence is not just absence of sound, but also stillness of mind.
                             – Brahma Kumaris

❂

#Silence #Quotes",,,1.0,1481851029000,5:17 PM - 15 Dec 2016,/FindYourSilence/status/809568011057328129,
1568661283-15322,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@newsdeguinee,News de Guinée,"#L'homme d'affaire Bathily sort du #silence:"" je suis la cible d’élucubrations de la part… http://www.newsdeguinee.com/2016/12/17/lhomme-daffaire-bathily-sort-du-silence-je-suis-la-cible-delucubrations-de-la-part-des-concurrents/ …pic.twitter.com/G5Ur2VNNUu",,,,1481969081000,2:04 AM - 17 Dec 2016,/newsdeguinee/status/810063158689808384,
1568661283-15071,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@IranLawrence,Alchemy of Transformation,"In the End, we will remember not the words of our #enemies, but the #silence of our #friends. - MLKpic.twitter.com/6bBQTzu4ry",,2.0,1.0,1482062720000,4:05 AM - 18 Dec 2016,/IranLawrence/status/810455907532505089,
1568661283-15372,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@faithfulnews,FaithfulNews,The Silence Of Heaven: Does God Still Speak Today? https://www.dub.io/s/10717  #silence #heaven,,,,1481941117000,6:18 PM - 16 Dec 2016,/faithfulnews/status/809945866224148480,
1568661283-14833,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@ItsGettingGreat,Great Getting,"""Let #silence take you to the core of life."" Rumi",,,,1482156349000,6:05 AM - 19 Dec 2016,/ItsGettingGreat/status/810848614981533702,
1568661283-14930,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@m1k1ryu,みっきぃー★卍,"2017年も 盛り沢山ですね

1月 #silence 公開
7月 #アリーキャット 公開
来春 #スカブロ 公開

ハリウッド映画『リタ・ヘイワースと手榴弾』撮影に

品川監督short movieの公開日も
早く知りたいですpic.twitter.com/eUhh0TzZ5o",,3.0,6.0,1482117082000,7:11 PM - 18 Dec 2016,/m1k1ryu/status/810683919372730368,
1568661283-15123,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@nigeriancompany,nigeriancompany.com,"“There's a #lesson in every #silence.” 
― Aniekee Tochukwu Ezekiel",,,,1482042182000,10:23 PM - 17 Dec 2016,/nigeriancompany/status/810369763323023360,
1568661283-15174,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@lovelotssabrina,Sabrina,"My #takeaway from #simbanggabi #day3: Like St. Joseph, let us practice #Silence and #Prayer, so… https://www.instagram.com/p/BOIwUO6jP9X/",,1.0,1.0,1482017514000,3:31 PM - 17 Dec 2016,/lovelotssabrina/status/810266298563383296,
1568661283-15559,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@poppysplaces,Poppyness,#Aleppo #Syria #Sorry for the #silence https://twitter.com/S_R_L_W/status/809474927766228996 …,,,,1481868397000,10:06 PM - 15 Dec 2016,/poppysplaces/status/809640857724944384,
1568661283-14706,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@GiuliaMcline,Giulia Mcline,#silenzio #silence #instalike #instaphrase #phrases #frasi https://www.instagram.com/p/BON2UDpgTMO/,,,,1482188430000,3:00 PM - 19 Dec 2016,/GiuliaMcline/status/810983174713049093,
1568661283-14907,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@HushtAcoustics,Husht Acoustics,"RT @ecophon #Silence is good for your brain & lowers stress, but where can you find it? http://buff.ly/2hBpNf7 … @Ecochickiepic.twitter.com/L3HgTmxS1x",,2.0,1.0,1482132936000,11:35 PM - 18 Dec 2016,/HushtAcoustics/status/810750414396260352,
1568661283-15590,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@acklaw,Neil Ackerman,#Silence and #IlPostino’ Production Company #CecchiGori Pictures Files For #Chapter11http://ln.is/deadline.com/2016/12/Jfgfe …,,,,1481854369000,6:12 PM - 15 Dec 2016,/acklaw/status/809582017969082373,
1568661283-15012,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@ApplVisionWrks,Applied Vision Works,Why is there so much that we feel we cannot say? #love #leadership #psychology #PsychReborn #appreciation #coaching #silence #HealThruWords,,,1.0,1482084187000,10:03 AM - 18 Dec 2016,/ApplVisionWrks/status/810545947025534976,
1568661283-15295,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@AShionnaigh,Áine Ní Shionnaigh,#MaidinMhaithÓNuaEabhrac #Symmetry #Silence #Suaimhneas #Sláinte #Sneachta @FrancesMulraney @themet @NYCONLY... http://fb.me/5OcSl2Six,,,,1481980499000,5:14 AM - 17 Dec 2016,/AShionnaigh/status/810111047025786880,
1568661283-15520,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@yanii93,Yanii Raschetti  🐻,"""You're mine, Angel. And I'm yours. Nothing can change it."" #Silence #HushHush",,1.0,1.0,1481896327000,5:52 AM - 16 Dec 2016,/yanii93/status/809758005311000576,
1568661283-15571,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@Crystal_Kay_78,Crystal Nichols,I would love to be sitting here right now. #Lookspeaceful #Silence #Beautifulpic.twitter.com/CsntronSR6,,,,1481862766000,8:32 PM - 15 Dec 2016,/Crystal_Kay_78/status/809617240341389312,
1568661283-15180,https://twitter.com/search?f=tweets&q=%23silence%20since%3A2016-12-16%20until%3A2016-12-20&src=typd,@sharonbell111,sharon Bell,"Silence not only lets you listen, but also see things
with much more clarity than you ever can.

                 ❂

#Silence #Quotes",,,,1482016693000,3:18 PM - 17 Dec 2016,/sharonbell111/status/810262855232659456,
