web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1569529599-13708,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@rishabmittal84,Rishabh  🇮🇳,"Ans_'A3' block. 
#FindingSMALLFOOT  #SMALLFOOT",,,,1538059949000,7:52 AM - 27 Sep 2018,/rishabmittal84/status/1045325309577322497,
1569529599-14002,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@i_m_kahn,Currahee...!!!,"A4)  A3..

#SMALLFOOT

#FindingSMALLFOOT",,,,1538048194000,4:36 AM - 27 Sep 2018,/i_m_kahn/status/1045276003520647168,
1569529599-14309,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@Crimson_MM,Crimson Multimedia,Throwing it out there! #Smallfoot In Cinemas #Tomorrow #Sept28 wide across East Africa https://www.instagram.com/p/BoM_O_Kh0Wa/?utm_source=ig_twitter_share&igshid=1tqou6kavusq5 …,,,1.0,1537994232000,1:37 PM - 26 Sep 2018,/Crimson_MM/status/1045049669955538945,
1569529599-14106,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@surajsahu32,Suraj Sahu,A2) Option C1  #FindingSMALLFOOT #SMALLFOOT,,,,1538046392000,4:06 AM - 27 Sep 2018,/surajsahu32/status/1045268446521565184,
1569529599-14716,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@SMALLFOOTMovie,SMALLFOOT Movie,@itsjustlala_ Thanks for tweeting about #SMALLFOOT ! We'd like to use your tweet in the future - please sign here: http://bit.ly/2N1hDvI,,1.0,1.0,1537838734000,6:25 PM - 24 Sep 2018,/SMALLFOOTMovie/status/1044397466672672769,
1569529599-14384,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@shonamackie,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Shona Mackie  🏴󠁧󠁢󠁳󠁣󠁴󠁿,"To celebrate the release  of #Smallfoot in cinemas   October  12th, @WarnerBrosUK and @BlazingMinds bring you the chance to win a really cool Smallfoot prize pack. Ends 19 October 2018, 23:59.  T&Cs apply http://blzmds.uk/h7QGGk pic.twitter.com/bH9oTCdm8J",,,,1537975077000,8:17 AM - 26 Sep 2018,/shonamackie/status/1044969331317080064,
1569529599-14229,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@heythandi,Thandiwe,Just finished watching Small Foot. Its so cute!! I give it a solid 8. Take your kids & your family to see it.  #SMALLFOOT,,,,1538016886000,7:54 PM - 26 Sep 2018,/heythandi/status/1045144689584660480,
1569529599-13593,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@koolmihir,Mihir,"Ans 3) LEBRON JAMES 

#SmallFoot 
@HBOINDIA",,1.0,1.0,1538063850000,8:57 AM - 27 Sep 2018,/koolmihir/status/1045341669204185090,
1569529599-13304,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@7thNovember,VISHAL,"Ans) Zendaya

#SmallFoot #ContestAlert

@coolhansa 
@aanchalsweet92 

@rinkushrm64 
@vaishalipatel23 
@wagheladaksha",,,,1538073465000,11:37 AM - 27 Sep 2018,/7thNovember/status/1045381999580581894,
1569529599-14026,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@surajsahu32,Suraj Sahu,A4) Option A3  #FindingSMALLFOOT #SMALLFOOT,,,,1538047871000,4:31 AM - 27 Sep 2018,/surajsahu32/status/1045274650425659392,
1569529599-13206,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@detroitnews,The Detroit News,"Cute kids tale #Smallfoot, featuring the voices of Channing Tatum, Common and more, works on several levels. @grahamorama's review: https://detne.ws/2xRYze0 pic.twitter.com/xeE2uKGfsG",1.0,1.0,3.0,1538087400000,3:30 PM - 27 Sep 2018,/detroitnews/status/1045440447894704128,
1569529599-14129,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@i_m_kahn,Currahee...!!!,"C1...

#SMALLFOOT 
#FindingSMALLFOOT 

#mumbai",,,,1538046056000,4:00 AM - 27 Sep 2018,/i_m_kahn/status/1045267037457731585,
1569529599-14393,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@Jerseyfamilyfun,Jennifer Auer,The Animated Movie Smallfoot is Charming Families - #Movies #NEW #MovieReview #Smallfoot http://bit.ly/2OSWTbx pic.twitter.com/j6V35frjqr,,,,1537972386000,7:33 AM - 26 Sep 2018,/Jerseyfamilyfun/status/1044958044218695680,
1569529599-14553,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@frances_rod221,frances rodriguez,#SMALLFOOT https://www.youtube.com/watch?v=SGjhBuxT3No …,,,,1537899251000,11:14 AM - 25 Sep 2018,/frances_rod221/status/1044651294592512000,
1569529599-14332,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@BooksRBoring,Books Are Boring,Ep. 82 - Couple o’ Critics is now available everywhere. #smallfoot #nightschool #venom #creedii #houswithaclockinitswalls #bohemianrhapsody #review #movies #moviereview #comedy… https://www.instagram.com/p/BoMyzk0lIYu/?utm_source=ig_twitter_share&igshid=1xxo7dyi1efr5 …,,,,1537987618000,11:46 AM - 26 Sep 2018,/BooksRBoring/status/1045021929348845568,
1569529599-14278,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@MNGriffi402,Miss Griffi 402,Enjoying our last few days with #SmallFoot video from #GoNoodle !!pic.twitter.com/Su0jDkEfxx,,,2.0,1538002570000,3:56 PM - 26 Sep 2018,/MNGriffi402/status/1045084645744955392,
1569529599-14534,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@tomandlorenzo,Tom & Lorenzo,Yara Shahidi Gets Fussed in Chanel at the #Smallfoot Premiere: https://tomandlorenzo.com/2018/09/yara-shahidi-in-chanel-at-the-smallfoot-premiere-red-carpet-fashion/ …pic.twitter.com/0CnAIubop1,,2.0,7.0,1537903676000,12:27 PM - 25 Sep 2018,/tomandlorenzo/status/1044669852970098688,
1569529599-13736,https://twitter.com/search?f=tweets&q=%23smallfoot%20since%3A2018-09-25%20until%3A2018-09-28&src=typd,@Miss_Missfit987,Sweta,"A) He is Channing Tatum

#ContestAlert​
#Smallfoot⁠ ⁠⁠ ⁠",,,,1538058579000,7:29 AM - 27 Sep 2018,/Miss_Missfit987/status/1045319561988509696,
