web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1569357607-7095,https://twitter.com/search?f=tweets&q=%23sorrytobotheryou%20since%3A2018-07-01%20until%3A2018-07-05&src=typd,@KevinRBrackett,Kevin Brackett,"Check out this article on Lakeith Stanfield! His new movie #SorryToBotherYou comes out this Friday, and Nationwide next week! https://twitter.com/TheAmyNicholson/status/1014210747444924416 …",,,2,1530641967000,11:19 AM - 3 Jul 2018,/KevinRBrackett/status/1014212035691851777,
1569357607-7411,https://twitter.com/search?f=tweets&q=%23sorrytobotheryou%20since%3A2018-07-01%20until%3A2018-07-05&src=typd,@WakkoAsian,crazyasianv,#SorryToBotherYou @Drake but can you stop whining when you rap and sing? Thanks,,,,1530410800000,7:06 PM - 30 Jun 2018,/WakkoAsian/status/1013242451807621120,
1569357607-6981,https://twitter.com/search?f=tweets&q=%23sorrytobotheryou%20since%3A2018-07-01%20until%3A2018-07-05&src=typd,@wkamaubell,W. Kamau Bell,Thank you! I have been trying to explain to @BootsRiley that I really bring the film together & my role should be expanded for the sequel!  #SorryToBotherYou https://twitter.com/MichaelaAngelaD/status/1014357837873582081 …,7.0,15.0,266,1530686092000,11:34 PM - 3 Jul 2018,/wkamaubell/status/1014397110844678144,
1569357607-7082,https://twitter.com/search?f=tweets&q=%23sorrytobotheryou%20since%3A2018-07-01%20until%3A2018-07-05&src=typd,@SteveHughNelson,Steven Hugh Nelson,"Whelp, looks like I’ll be spending my entire weekend at @alamodrafthouse again.

@Sorry2BotherYou @iiistrangers @UniversalHorror @AntMan

#SorryToBotherYou #ThreeIdenticalStrangers #TheFirstPurge #AntManAndTheWasppic.twitter.com/tyc58OgujR",,,2,1530645041000,12:10 PM - 3 Jul 2018,/SteveHughNelson/status/1014224932539117569,
1569357607-7037,https://twitter.com/search?f=tweets&q=%23sorrytobotheryou%20since%3A2018-07-01%20until%3A2018-07-05&src=typd,@NenisGothika,Ǥᗝ丅ᕼᎥᎥᛕᗩᗰᑌᗩ (la vιe eѕт вelle),About to watch it .... thank you @TheCityVault !!!! #SorryToBotherYou pic.twitter.com/Lmb1OmDZre,1.0,1.0,8,1530658588000,3:56 PM - 3 Jul 2018,/NenisGothika/status/1014281749524869120,
1569357607-7281,https://twitter.com/search?f=tweets&q=%23sorrytobotheryou%20since%3A2018-07-01%20until%3A2018-07-05&src=typd,@IITian_forever,Mohit Onkar Singh,"@saumyasharma711 mam
Posted a few questions as though looooongggg comments on last post of your blog.
Will feel blessed if my queries are resolved.
#SorryToBotherYou with long ques but no one else to help me.",,,,1530551936000,10:18 AM - 2 Jul 2018,/IITian_forever/status/1013834418723553281,
1569357607-7242,https://twitter.com/search?f=tweets&q=%23sorrytobotheryou%20since%3A2018-07-01%20until%3A2018-07-05&src=typd,@ch3lavie,chemadloud,For my advance tickets for #SorryToBotherYou. I'm also super excited @TessaThompson_x and @lakeithlakeith are doing a movie together with their sexy woke asses,,,,1530563658000,1:34 PM - 2 Jul 2018,/ch3lavie/status/1013883586473324545,
1569357607-7261,https://twitter.com/search?f=tweets&q=%23sorrytobotheryou%20since%3A2018-07-01%20until%3A2018-07-05&src=typd,@LisaHire,Lisa Hire,Oakland is ready! #SorryToBotherYou,,,,1530558619000,12:10 PM - 2 Jul 2018,/LisaHire/status/1013862451660480521,
1569357607-7318,https://twitter.com/search?f=tweets&q=%23sorrytobotheryou%20since%3A2018-07-01%20until%3A2018-07-05&src=typd,@GQMagazine,GQ Magazine,"But together, the stars of #SorryToBotherYou establish themselves as Hollywood’s most compelling new character actors http://gq.mn/4NK4EwV pic.twitter.com/B65bNylOdk",3.0,13.0,62,1530538867000,6:41 AM - 2 Jul 2018,/GQMagazine/status/1013779605197672448,
1569357607-6968,https://twitter.com/search?f=tweets&q=%23sorrytobotheryou%20since%3A2018-07-01%20until%3A2018-07-05&src=typd,@tanyajsmithDC,Tanya J. Smith,Lakeith Stanfield Is Playing Us All<<<Oddball budding superstar in the making with that charismatic X-factor in every role he inhabits.  And the movie- #SorrytoBotheryou- looks to be good as well.   https://nyti.ms/2Nq8D54,,,,1530707768000,5:36 AM - 4 Jul 2018,/tanyajsmithDC/status/1014488025970233344,
