web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1568659986-12429,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@uamultiplex,Мультиплекс,"#Салли - скоро в прокате!
#sully #томхенкс #саллі #чудонагудзонеpic.twitter.com/rH1EqrvZwN",,,1,1472459930000,1:38 AM - 29 Aug 2016,/uamultiplex/status/770178887536050176,
1568659986-12432,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@chotifataakdi,Vee,"Awaiting the release #Sully It's going to be epic!
The last time @tomhanks spun his magic was in Captain Phillips!",,,,1472457184000,12:53 AM - 29 Aug 2016,/chotifataakdi/status/770167370438549504,
1568659986-12495,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@jii_genesys,Jıı.genesys,"#Sully #SullyMovie White version of ""The Flight""",,,,1472410873000,12:01 PM - 28 Aug 2016,/jii_genesys/status/769973125140344832,
1568659986-12475,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@GetReelMovies,Get Reel Movies,RT and Follow for the chance to win advance passes to see #Sully in #TOR #VAN and #MTL courtesy of @WBPicturesCanpic.twitter.com/teEjPNxvrL,14.0,49.0,10,1472423806000,3:36 PM - 28 Aug 2016,/GetReelMovies/status/770027371923697665,
1568659986-12430,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@sanfordbarber,Sully The Barber,#sully #sullythebarber #barberlife #barbershop #firstimpressionsbarbershop #cutthroat #shave… https://www.instagram.com/p/BJr2udUB2on/,,,,1472457862000,1:04 AM - 29 Aug 2016,/sanfordbarber/status/770170211513184256,
1568659986-12515,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@EssexCinemas10,Essex Cinemas,Join #Sully star @tomhanks and @IMDb for a LIVE Q&A TODAY at 4:05PM PT. Tweet your questions with #AskTomHanks. http://buff.ly/2c0xrh8,,,,1472401614000,9:26 AM - 28 Aug 2016,/EssexCinemas10/status/769934289760817153,
1568659986-12437,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@huntforpics,Huntforpics  🏋🏻 💨,"@DavidHarewood Looking forward for #Sully ? I do! Did you know he's paid tribute in ""A real hero""/College&ElectricYouth",,,,1472453944000,11:59 PM - 28 Aug 2016,/huntforpics/status/770153780834930689,
1568659986-12389,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@GalaxyTheatres,Galaxy Theatres,"#TomHanks stars as Capt. Chesley ""Sully"" Sullenberger in the real life story. #Sully tix: http://bit.ly/GalaxyAdvanceTix …pic.twitter.com/WlWFxMtgSG",,,,1472493697000,11:01 AM - 29 Aug 2016,/GalaxyTheatres/status/770320516100096000,
1568659986-12416,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@CA_Centre_Loire,Crédit Agricole CL,"Votre entrée pour assister à la 19ème Fête de la Sange à #Sully 
► Jouez ici : http://bit.ly/2bLTTKn pic.twitter.com/hKgDx3MLVO",,1.0,,1472476418000,6:13 AM - 29 Aug 2016,/CA_Centre_Loire/status/770248041660055552,
1568659986-12577,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@kfo2200,Katie Foltz,Teared up in he #Sully trailer... Tom Hanks just pulls my heart stings,,,5,1472342607000,5:03 PM - 27 Aug 2016,/kfo2200/status/769686799882919936,
1568659986-12358,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@BobDiddict,Bob Diddict,"The take off, shown from 7 different angles and perspectives, including the birds. #WhatIsFillingTheTimeInSully #Sully",,,,1472508256000,3:04 PM - 29 Aug 2016,/BobDiddict/status/770381580837806080,
1568659986-12567,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@shemjay93,Shemal Jayasundera,List out ur 5 favorite films directed by Clint Eastwood other than #Sully of course :D #AskTomHanks,,,,1472353947000,8:12 PM - 27 Aug 2016,/shemjay93/status/769734362128523264,
1568659986-12468,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@wari0world,bee boofa,"Tom Hanks is playing Captain #Sully, pilot who landed on Hudson, in new film. Praying ""I'm the Captain now"" gets recycled.",,,3,1472428110000,4:48 PM - 28 Aug 2016,/wari0world/status/770045424694661121,
1568659986-12348,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@ChalkAndCarrots,ChalkAndCarrots,"The interrogation begins in our new clip from #Sully, in theaters September 9: http://fandan.co/2bToG9a  #movie #fil…pic.twitter.com/8CDVDLSRlK",,,,1472512029000,4:07 PM - 29 Aug 2016,/ChalkAndCarrots/status/770397405346951169,
1568659986-12400,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@jackitais,Jackie Isola,"Eso sí, hay que esperar a su estreno, en diciembre. #Sully",,,,1472486890000,9:08 AM - 29 Aug 2016,/jackitais/status/770291963211939841,
1568659986-12405,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@DaveSanderson2,Dave Sanderson,"#Sully director Clint Eastwood and Tom Hanks are answering your questions on FACEBOOK LIVE with @katiecouric Tuesday, 9/6.  #MomentsMatter",,,3,1472481477000,7:37 AM - 29 Aug 2016,/DaveSanderson2/status/770269259985334274,
1568659986-12469,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@3340Vivian,viv,#Sully has no chance with #Eastwood. He screwed up #JerseyBoys too. But love #TomHankshttps://twitter.com/renier_miranda/status/770031260181860353 …,,,,1472426806000,4:26 PM - 28 Aug 2016,/3340Vivian/status/770039953128587265,
1568659986-12573,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@4speech,Jim Roberts,".@capnaux @airwayslive
#Sully certain to be better
than Hollywood's butcher
job on Gahn's epic bio,
""Fate is the Hunter""",,,2,1472344257000,5:30 PM - 27 Aug 2016,/4speech/status/769693717825327104,
1568659986-12338,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@CinexLosAndes,Cinex Los Andes,¡El héroe de #Sully es #TomHanks!   http://goo.gl/zEHgMa pic.twitter.com/ZQnty0IeD0,,1.0,,1472514917000,4:55 PM - 29 Aug 2016,/CinexLosAndes/status/770409518866042880,
1568659986-12448,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@ronelsax,Abraham Ronel,Quite an interesting story with one of my favorite actors: #Sully https://youtu.be/5SL1A2d2e7M,,,,1472442323000,8:45 PM - 28 Aug 2016,/ronelsax/status/770105038161215488,
1568659986-12409,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@LTChicagoIL,Century Centre Cinema & Renaissance Place Cinema,See Tom Hanks and Clint Eastwood in this #Sully featurette: http://bddy.me/2c2BedI  and get your tickets here: http://bddy.me/2c2BDwH,,,,1472480102000,7:15 AM - 29 Aug 2016,/LTChicagoIL/status/770263494499377154,
1568659986-12457,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@Riley_Gates,Riley Gates,September 9 can't get here quick enough. #Sully is going to be a terrific movie.,,,2,1472435312000,6:48 PM - 28 Aug 2016,/Riley_Gates/status/770075629861609473,
1568659986-12446,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@threebridgespro,Three Bridges,Kudos to the man who gave birth to Shazza-> http://bit.ly/2bhQkN9  #Sully #TheInspiration behind #AfterTheHudson,,,,1472442914000,8:55 PM - 28 Aug 2016,/threebridgespro/status/770107517892452353,
1568659986-12487,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@AdorkableRach,✨Rachel Herrick ✨,I met Tom Hanks this afternoon. My A-List Hollywood Celebrity Bucket List if officially complete!!  #LAlife #Sully #SullyMovie,,,3,1472418753000,2:12 PM - 28 Aug 2016,/AdorkableRach/status/770006177006686208,
1568659986-12352,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@Mammondy,MartaAH,Didn't we make this #Sully movie like 5 years ago?,,,1,1472511203000,3:53 PM - 29 Aug 2016,/Mammondy/status/770393939669057536,
1568659986-12380,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@SoKingsCinema8,SKingstownCinema8,#TomHanks is #Sully.  See what happens when Sully crash lands a plane on the Hudson River...opening 9/9 http://fb.me/2VXuHQ6XD,,,,1472497579000,12:06 PM - 29 Aug 2016,/SoKingsCinema8/status/770336796710285312,
1568659986-12385,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@SumeetdShrestha,Sumit D. Shrestha,#Sully https://www.youtube.com/watch?v=mjKEXxO2KNE …,,,,1472495704000,11:35 AM - 29 Aug 2016,/SumeetdShrestha/status/770328934156087296,
1568659986-12382,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@dardenicola,Darlene De Nicola,Such a HUGE @tomhanks fan! I cannot wait to see #Sully https://twitter.com/SullyMovie/status/768131526743711744 …https://twitter.com/SullyMovie/status/768131526743711744 …,,,3,1472497147000,11:59 AM - 29 Aug 2016,/dardenicola/status/770334984259317760,
1568659986-12536,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@dromana3drivein,Dromana 3 Drive-In,#FathersDay See #Sully or give a Gift Voucher to #Dromanadrivein see http://dromanadrivein.  com.au,,,1,1472388200000,5:43 AM - 28 Aug 2016,/dromana3drivein/status/769878029690556416,
1568659986-12388,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@zurent,Suresh Babu,"Just wondering: is #Sully the movie needed, when our memories of the event are still recent and well associated with the real Sully?",,,,1472493822000,11:03 AM - 29 Aug 2016,/zurent/status/770321041033879552,
1568659986-12522,https://twitter.com/search?f=tweets&q=%23sully%20since%3A2016-08-28%20until%3A2016-08-30&src=typd,@Cinex_virtudes,Cinex las Virtudes,¡El héroe de #Sully es #TomHanks!   http://goo.gl/zEHgMa pic.twitter.com/HWYZDNgxqj,,,,1472398230000,8:30 AM - 28 Aug 2016,/Cinex_virtudes/status/769920096198328321,
