web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1569525982-9422,https://twitter.com/search?f=tweets&q=%23suspiria%20since%3A2018-10-26%20until%3A2018-10-27&src=typd,@PopateTweets,Popate,Today's alternative #minimalistposter is dedicated to #Suspiria. #fanartfridaypic.twitter.com/iFVMuxUOqf,,,1,1540573793000,10:09 AM - 26 Oct 2018,/PopateTweets/status/1055869136344174592,
1569525982-9727,https://twitter.com/search?f=tweets&q=%23suspiria%20since%3A2018-10-26%20until%3A2018-10-27&src=typd,@TanySaf,татьяна умнова,#LucaGuadagnino #DakotaJohnson   #Suspiria  https://twitter.com/THR/status/1055529936080064512 …,,,1,1540533479000,10:57 PM - 25 Oct 2018,/TanySaf/status/1055700044047941632,
1569525982-9697,https://twitter.com/search?f=tweets&q=%23suspiria%20since%3A2018-10-26%20until%3A2018-10-27&src=typd,@RetroMonitoring,Retro Monitoring  🍒,"از ساندترک‌های خوب ِ منتشر شده امروز

موسیقی متن ِ فیلم ِ #Suspiria اثر «تام یورک» آهنگساز اصلی گروه آلترناتیو راک ِ «رِیدیوهِد»
۲۵ تِرَک، در ۱ ساعت و ۲۰ دقیقه

اسپاتیفای
https://open.spotify.com/album/0nZg85VbGkPcr7zQ6EsJKa …
دیزر
https://www.deezer.com/us/album/75646462 …",1.0,1.0,36,1540540282000,12:51 AM - 26 Oct 2018,/RetroMonitoring/status/1055728581278613504,
1569525982-9305,https://twitter.com/search?f=tweets&q=%23suspiria%20since%3A2018-10-26%20until%3A2018-10-27&src=typd,@8deez8,ⓝⓔⓦⓣⓞⓝ ward☜,#suspiria ..Early screening today!!! @ ArcLight Cinemas Hollywood https://www.instagram.com/p/BpaOW3cgGEc/?utm_source=ig_twitter_share&igshid=pa92xeseanjk …,,,1,1540585753000,1:29 PM - 26 Oct 2018,/8deez8/status/1055919299150446592,
1569525982-9248,https://twitter.com/search?f=tweets&q=%23suspiria%20since%3A2018-10-26%20until%3A2018-10-27&src=typd,@VDan436,vampiroDan436,"Dakota Johnson arrivant a la projection et Q&A de @supiriamovie avec le cast  23-10-2018  

#DakotaJohnson #Suspiria pic.twitter.com/OFOCWvfr9w",,,3,1540591418000,3:03 PM - 26 Oct 2018,/VDan436/status/1055943061107281921,
1569525982-9606,https://twitter.com/search?f=tweets&q=%23suspiria%20since%3A2018-10-26%20until%3A2018-10-27&src=typd,@wmag,W magazine,"See Dakota Johnson's Celine look, here: http://wmag.cm/kwm91vT  #Suspiria",,19.0,51,1540557902000,5:45 AM - 26 Oct 2018,/wmag/status/1055802482432053250,
1569525982-9603,https://twitter.com/search?f=tweets&q=%23suspiria%20since%3A2018-10-26%20until%3A2018-10-27&src=typd,@DestroyThisNerd,Destroy This Nerd,"Bellissimi poster di SUSPIRIA prodotti da Mondo

#mondo #poster #suspiria",,,,1540558209000,5:50 AM - 26 Oct 2018,/DestroyThisNerd/status/1055803768934146048,
1569525982-9594,https://twitter.com/search?f=tweets&q=%23suspiria%20since%3A2018-10-26%20until%3A2018-10-27&src=typd,@jbaker475,Jordan Baker,"Let's see Ally try and perform 'Volk,' and *then* we can talk about whether or not a star has been born. #Suspiria",,,4,1540559391000,6:09 AM - 26 Oct 2018,/jbaker475/status/1055808729692594177,
1569525982-9439,https://twitter.com/search?f=tweets&q=%23suspiria%20since%3A2018-10-26%20until%3A2018-10-27&src=typd,@Ninadjjd,Nina  ☺️ 💙,#Suspiria Review: A Horror Gem—Just Don't Watch the Original First | WIRED https://www.wired.com/story/suspiria-movie-review/ …,,1.0,7,1540572324000,9:45 AM - 26 Oct 2018,/Ninadjjd/status/1055862971442913282,
1569525982-9269,https://twitter.com/search?f=tweets&q=%23suspiria%20since%3A2018-10-26%20until%3A2018-10-27&src=typd,@loveatdusk,Nat,"""In Guadagnino's version, we have much more character development from Susie and even a look into the coven's lives and what their long term plans for the dance company are"" #Suspiria #DakotaJohnson #TildaSwinton #MiaGoth #LucaGuadagninohttps://twitter.com/Daydreamer3322/status/1055930094722695168 …",,2.0,11,1540589169000,2:26 PM - 26 Oct 2018,/loveatdusk/status/1055933627387777024,
