web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1567104010-2959,https://twitter.com/search?f=tweets&q=%23toystory%20since%3A2019-06-19%20until%3A2019-06-20&src=typd,@SuperMarcelNL,SuperMarcelWorld,"Who’s excited for TOY STORY 4?? I know i am! Love Buzz & Woody!
.
.
.
.
#disneypixar #disney #pixar #disneyfan #disneyaddict
#toystory #toystory2 #toystory3 #toystory4 #buzzlightyear #woody #sherrifwoody… https://www.instagram.com/p/By4cxZulAfa/?igshid=5skgijgys3sc …",,,,1560927293000,11:54 PM - 18 Jun 2019,/SuperMarcelNL/status/1141237900626972672,
1567104010-3141,https://twitter.com/search?f=tweets&q=%23toystory%20since%3A2019-06-19%20until%3A2019-06-20&src=typd,@liljason55,Chris Limardi,"@ofctimallen 
#throwback #timallen #toystory #buzzlightyear #homeimprovement #timthetoolmantaylor #thesantaclausepic.twitter.com/V0u7v8onjz",,,,1560903778000,5:22 PM - 18 Jun 2019,/liljason55/status/1141139271593734145,
1567104010-2764,https://twitter.com/search?f=tweets&q=%23toystory%20since%3A2019-06-19%20until%3A2019-06-20&src=typd,@geenie29june,Celeste,ขายตั๋วหนัง toy story4 วันที่20/06/62 3ใบ รอบ11โมง ที่พารากอน ราคา480 ลดได้จ้าาา #ToyStory4 #ToyStory #ToyStory4THpic.twitter.com/0wiHjvV2OC,,,,1560945916000,5:05 AM - 19 Jun 2019,/geenie29june/status/1141316013335519233,
1567104010-2637,https://twitter.com/search?f=tweets&q=%23toystory%20since%3A2019-06-19%20until%3A2019-06-20&src=typd,@filmmelier,Filmmelier,La idea de Toy Story 4 llevaba en la cabeza de uno de sus guionistas antes incluso del estreno de la tercera parte https://bit.ly/2WSAfmK  #ToyStory #ToyStory4 @toystorypic.twitter.com/pzEiXnejo1,,,,1560953760000,7:16 AM - 19 Jun 2019,/filmmelier/status/1141348913452072960,
1567104010-2354,https://twitter.com/search?f=tweets&q=%23toystory%20since%3A2019-06-19%20until%3A2019-06-20&src=typd,@Cami_Vicencio,AvrilЄrA G PaRamØRΞ,#toystory4 #toystory #movie #mañana https://www.instagram.com/p/By5sVfBHIAI/?igshid=1ib5bibj0rung …,,,,1560969034000,11:30 AM - 19 Jun 2019,/Cami_Vicencio/status/1141412976269897731,
1567104010-2408,https://twitter.com/search?f=tweets&q=%23toystory%20since%3A2019-06-19%20until%3A2019-06-20&src=typd,@p_eachstr,รับพรีเกาหลีทุกอย่าง 🍑 🌈,เคสทอยรุ่นนี้ ตอนนี้ลดเหลือ450฿อยู่นะคะ รีบเลยยยย #เคสiphone #เคสมือถือ #เคสโทรศัพท์ #ทอยสตอรี่ #ToyStory4 #เคสไอโฟน #toystory https://twitter.com/p_eachstr/status/1140879863970091012?s=21 …,,,,1560966769000,10:52 AM - 19 Jun 2019,/p_eachstr/status/1141403473549746177,
1567104010-2283,https://twitter.com/search?f=tweets&q=%23toystory%20since%3A2019-06-19%20until%3A2019-06-20&src=typd,@necelebridades,N e Celebridades,Toy Story 4 SURPREENDE e já é um dos filmes MAIS BEM AVALIADOS de todos os tempos! VEJA O QUE OS CRÍTICOS ESTÃO DIZENDO: https://youtu.be/SlTUwZC-6wI  | Imagem: Divulgação Reprodução #ToyStory4 #ToyStory #cinema #notícias #crítica #reviewspic.twitter.com/puwEWbblAx,,1,1,1560972992000,12:36 PM - 19 Jun 2019,/necelebridades/status/1141429575580356610,
1567104010-2733,https://twitter.com/search?f=tweets&q=%23toystory%20since%3A2019-06-19%20until%3A2019-06-20&src=typd,@RioMarRecife,RioMar Recife,Combo exclusivo para assistir à Toy Story 4 no clima da animação https://bit.ly/2Kov0cF  #Cinema #ToyStory pic.twitter.com/xB0J9tO7jr,,,,1560948059000,5:40 AM - 19 Jun 2019,/RioMarRecife/status/1141325002115092480,
1567104010-2449,https://twitter.com/search?f=tweets&q=%23toystory%20since%3A2019-06-19%20until%3A2019-06-20&src=typd,@its_swing444,🦁 ⚡️Jonathan Betamen  🌈 🔥 ♌️,WOW.. 9 years i went to watch #ToyStory 3 and now almost a decade later gonna be watching #ToyStory4 ...Im getting old WTF!pic.twitter.com/PAqX0RFu0e,1.0,,5,1560964766000,10:19 AM - 19 Jun 2019,/its_swing444/status/1141395072510025730,
1567104010-2124,https://twitter.com/search?f=tweets&q=%23toystory%20since%3A2019-06-19%20until%3A2019-06-20&src=typd,@JoshSpenc3r,Josh Spencer,Ya estoy listo ¿quien me invitará a ver #Toystory ?  http://bit.ly/2WTMODj pic.twitter.com/HfQXDcfu2F,,,,1560984441000,3:47 PM - 19 Jun 2019,/JoshSpenc3r/status/1141477596003278850,
