web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1567388290-24243,https://twitter.com/search?f=tweets&q=%23venom%20since%3A2018-09-25%20until%3A2018-09-26&src=typd,@amitkbit,Amit Kumar,"We Will Find Out
#Venom
#VenomTrailer",,,,1537858149000.0,11:49 PM - 24 Sep 2018,/amitkbit/status/1044478897121832960,
1567388290-24064,https://twitter.com/search?f=tweets&q=%23venom%20since%3A2018-09-25%20until%3A2018-09-26&src=typd,@IndVenom,Venom_Ind,"https://hot.detik.com/movie/4224850/alasan-symbiote-dalam-venom-datang-ke-bumi-terungkap …
#VenomMovie #Venom",,,,1537861588000.0,12:46 AM - 25 Sep 2018,/IndVenom/status/1044493322226561026,
1567388290-24216,https://twitter.com/search?f=tweets&q=%23venom%20since%3A2018-09-25%20until%3A2018-09-26&src=typd,@ShashankJaswal7,Shawshank Rajemption,".
""You'll Find Out""

#Venom #VenomTrailer
Guys Join Now To Win Prizes
@BatJokerFan
@IndianDeadpool
@djshivamanuja
@kartikjd
@misty_basu
@fotokiran
@piyushpuri12pic.twitter.com/iyNpPTC4Rz",,,,1537858668000.0,11:57 PM - 24 Sep 2018,/ShashankJaswal7/status/1044481076058574848,
1567388290-24099,https://twitter.com/search?f=tweets&q=%23venom%20since%3A2018-09-25%20until%3A2018-09-26&src=typd,@ImFreakyBharat,☠𝐁𝐡𝐚𝐫𝐚𝐭 𝐑𝐚𝐭𝐡𝐨𝐝 ☠,""" We Are Venom"" 
#Venom #VenomTrailer  @SonyPicsIndia
Join mates
@ImFreakyBharat
@Pirates7Life
@DakshSaysU
@kanojia_kshitij 
@preminsluv
@Its_Bhagyashree
@Mateen1320
@fizzyParineeti",,,,1537861257000.0,12:40 AM - 25 Sep 2018,/ImFreakyBharat/status/1044491934037872640,
1567388290-23913,https://twitter.com/search?f=tweets&q=%23venom%20since%3A2018-09-25%20until%3A2018-09-26&src=typd,@nalinidesai,Nannu,"We are Venom 

#Venom
#VenomTrailer @SonyPicsIndia #WeAreVenom 

Join

@anuanu12 @starvingout @booknworm @joyana45 @zennrocks",,,,1537867826000.0,2:30 AM - 25 Sep 2018,/nalinidesai/status/1044519484860624896,
1567388290-22788,https://twitter.com/search?f=tweets&q=%23venom%20since%3A2018-09-25%20until%3A2018-09-26&src=typd,@ComicHunterCT,The Comic Hunter,Now only $75! Check out Batman Damned #1 Uncensored   https://ebay.us/TRICgo  via @eBay #ebay #ebaydeals #batman #batwang #batmandamned1 #batmandamned #dc #marvel #comics #comicbooks #collect #buy #sell #facebook #superman #robin #venom #carnage,,,,1537911266000.0,2:34 PM - 25 Sep 2018,/ComicHunterCT/status/1044701688093966336,
1567388290-23893,https://twitter.com/search?f=tweets&q=%23venom%20since%3A2018-09-25%20until%3A2018-09-26&src=typd,@adarshsingh_17,Adarsh Singh,"Eddie: We cannot just hurt people.

#Venom: Look in my eyes, Eddie. The way I see it... we can do whatever we want. Do we have a  deal ?
#Venom 
@SonyPicsIndia 
#VenomTrailer 
#WeAreVenom 
#Venom
Join the fun guys
@DesTiny_Create @harsh009_ @harshit_gadoya @Edm_girl07",,,,1537868715000.0,2:45 AM - 25 Sep 2018,/adarshsingh_17/status/1044523216541224960,
1567388290-23703,https://twitter.com/search?f=tweets&q=%23venom%20since%3A2018-09-25%20until%3A2018-09-26&src=typd,@abhishek2526,Abhishek Agarwal,"A. Spiderman 3
#Marvel #Venom #VenomOnCricketLive #NerolacCricketLive #StarSports",,,,1537876456000.0,4:54 AM - 25 Sep 2018,/abhishek2526/status/1044555684040212480,
1567388290-23573,https://twitter.com/search?f=tweets&q=%23venom%20since%3A2018-09-25%20until%3A2018-09-26&src=typd,@RonnayH,Ronnie Henry,Who every made this is awesome and I need to hire him or her Haha. Who’s going to see #Venom next week? #retweet #share #marvel #spiderman #skit #creatvitypic.twitter.com/Y7ns0pcxDA,,,1,1537883117000.0,6:45 AM - 25 Sep 2018,/RonnayH/status/1044583619761565696,
1567388290-23047,https://twitter.com/search?f=tweets&q=%23venom%20since%3A2018-09-25%20until%3A2018-09-26&src=typd,@NerdFlicks007,NerdFlicks,"#Venom & #Carnage #Symbiotes
#LukeCage & #IronFist #HerosForHire 
2 #FanArts by @bosslogic https://www.instagram.com/p/BoKOtOkninG/?utm_source=ig_twitter_share&igshid=2ayzh4x2wuze …",,1,,1537901623000.0,11:53 AM - 25 Sep 2018,/NerdFlicks007/status/1044661241451556866,
1567388290-23491,https://twitter.com/search?f=tweets&q=%23venom%20since%3A2018-09-25%20until%3A2018-09-26&src=typd,@TheMTRNetwork,MTRNetwork,In honor of Venom's solo movie coming out next week...let's remember his first live action appearance... #Venom #SpiderMan https://buff.ly/2QX1J92,1.0,,,1537885859000.0,7:30 AM - 25 Sep 2018,/TheMTRNetwork/status/1044595121059188736,
1567388290-22808,https://twitter.com/search?f=tweets&q=%23venom%20since%3A2018-09-25%20until%3A2018-09-26&src=typd,@comicsarg,Comics en Argentina,Se viene el nuevo #Venom de Mapex inspirado en los comics de los 90 disponible para el mes de Julio. pic.twitter.com/1QDJI6ZFNY,,1,7,1537910313000.0,2:18 PM - 25 Sep 2018,/comicsarg/status/1044697689286483969,
1567388290-24426,https://twitter.com/search?f=tweets&q=%23venom%20since%3A2018-09-25%20until%3A2018-09-26&src=typd,@AyeYoTone,Antonio,#Venom https://www.youtube.com/watch?v=xLCn88bfW1o …,,,,1537848831000.0,9:13 PM - 24 Sep 2018,/AyeYoTone/status/1044439816832733184,
