web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1567378808-14852,https://twitter.com/search?f=tweets&q=%23vice%20since%3A2018-12-21%20until%3A2018-12-22&src=typd,@bfantastic_,Mia Thermopolis,How the hell did they turn Sam Rockwell into the spitting image of GWB? #Vice,,,,1545356755000,5:45 PM - 20 Dec 2018,/bfantastic_/status/1075930329880383488,
1567378808-14844,https://twitter.com/search?f=tweets&q=%23vice%20since%3A2018-12-21%20until%3A2018-12-22&src=typd,@T_Nyce_2Nice,Thad Ogozalek,Miami throwback is fire #Vice,,,3.0,1545361869000,7:11 PM - 20 Dec 2018,/T_Nyce_2Nice/status/1075951782696771584,
1567378808-14741,https://twitter.com/search?f=tweets&q=%23vice%20since%3A2018-12-21%20until%3A2018-12-22&src=typd,@Chloeprotz,Chloe Protz,so interesting #vice A Portrait of Life in Canada's Yellowknife Shack Communityhttp://www.vice.com/rss http://bit.ly/2T2eqj1,,,,1545415105000,9:58 AM - 21 Dec 2018,/Chloeprotz/status/1076175068932259840,
1567378808-14701,https://twitter.com/search?f=tweets&q=%23vice%20since%3A2018-12-21%20until%3A2018-12-22&src=typd,@Edourdoo,Eddie Du,"#Vice #Slate #Vox
https://www.washingtonpost.com/lifestyle/style/unions-get-a-welcome-reception-in-digital-newsrooms/2018/12/19/9fe9b922-0249-11e9-b6a9-0aa5c2fcc9e4_story.html?noredirect=on …pic.twitter.com/vPkE84vesr",,,,1545431438000,2:30 PM - 21 Dec 2018,/Edourdoo/status/1076243575900299264,
1567378808-14714,https://twitter.com/search?f=tweets&q=%23vice%20since%3A2018-12-21%20until%3A2018-12-22&src=typd,@megbasham,Megan Basham,"Forget #MaryPoppins, this #Vice review by ⁦@SonnyBunch⁩ is practically perfect. Such satirical genius is gonna make it hard 2 write my own straight-shooting review. (As I tweeted before, 1 of the worst, pitifully proud-of-itself films I’ve ever seen)https://freebeacon.com/culture/vice-review/ …",1.0,,4.0,1545423021000,12:10 PM - 21 Dec 2018,/megbasham/status/1076208269398544389,
1567378808-14706,https://twitter.com/search?f=tweets&q=%23vice%20since%3A2018-12-21%20until%3A2018-12-22&src=typd,@VogonPoetrySlam,Josh Goldman,"#freecodefridaycontest finally make some time to play some games . . . and watch #Aquaman, #SpiderVerse, and #Vice.",,,,1545429770000,2:02 PM - 21 Dec 2018,/VogonPoetrySlam/status/1076236580526841856,
1567378808-14811,https://twitter.com/search?f=tweets&q=%23vice%20since%3A2018-12-21%20until%3A2018-12-22&src=typd,@APEntertainment,AP Entertainment,MORE SIGNIFICANT THAN SIGNIFICANT OTHER: #AmyAdams appears with #ChristianBale in new political movie #Vice and says her daughter helped her to view #LynneCheney as more than just the wife of #DickCheney.pic.twitter.com/LTuYCDGfOH,3.0,32.0,88.0,1545396600000,4:50 AM - 21 Dec 2018,/APEntertainment/status/1076097453361745920,
1567378808-14804,https://twitter.com/search?f=tweets&q=%23vice%20since%3A2018-12-21%20until%3A2018-12-22&src=typd,@Laura_Jess1,Laura Jess,Découvrez l’affiche de #Vice http://www.infocinemusic.com/fiche-article.php?id=11811 … @Steph_Tavilla @AgenceOkarina @OkarinaCine @MarsFilmspic.twitter.com/d4TSZoIIo0,,,,1545398374000,5:19 AM - 21 Dec 2018,/Laura_Jess1/status/1076104892689858560,
1567378808-14752,https://twitter.com/search?f=tweets&q=%23vice%20since%3A2018-12-21%20until%3A2018-12-22&src=typd,@Chloeprotz,Chloe Protz,"so interesting #vice 'Crust Lord,' Today's Comic by Anya Davidson http://www.vice.com/rss  http://bit.ly/2AdzA6P",,,,1545414208000,9:43 AM - 21 Dec 2018,/Chloeprotz/status/1076171306440245248,
1567378808-14749,https://twitter.com/search?f=tweets&q=%23vice%20since%3A2018-12-21%20until%3A2018-12-22&src=typd,@ChristopheLloyd,Christopher Lloyd,"#FilmReview on @IndyStyle! Busy week: #Aquaman #MaryPoppinsReturns #WelcometoMarwen #Vice #HolmesAndWatson #SecondAct #BenIsBack #Bumblebee #Birdbox #Vice

@WISH_TV @hankins_amber @tracy_forner @ProducerJanine @TheFilmYaphttp://www.thefilmyap.com/movies/indy-style-december-21/ …",,,1.0,1545414576000,9:49 AM - 21 Dec 2018,/ChristopheLloyd/status/1076172850787246080,
