web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1569782764-1783,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@979WNCI,WNCI 97.9,TICKET GIVEAWAY- We have your chance to catch an advance screening of #LongShot on 5/1 at AMC Lennox! Click the link for complimentary passes. http://ow.ly/marf50snUS6 pic.twitter.com/OLyyTiAC6X,,,2.0,1556391627000,12:00 PM - 27 Apr 2019,/979WNCI/status/1122213937645277185,
1569782764-2414,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@RissaMarie,RissaMarie,Early screening of #LongShot #shootyourlongshot #datenightpic.twitter.com/rlUIOVC9e4,1.0,,,1556152161000,5:29 PM - 24 Apr 2019,/RissaMarie/status/1121209548025495558,
1569782764-1808,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@MirekRozanski,Mirosław Różański,Bez wątpienia #Longshot to miejsce przyjazne weteranom pic.twitter.com/OtxUwD9N06,,2.0,24.0,1556373157000,6:52 AM - 27 Apr 2019,/MirekRozanski/status/1122136470016360451,
1569782764-2223,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@denise_head,Denise Head,Awesome movie! Laughed & Laughed! Great escape movie #LongShot #NashvilleScreening,,,1.0,1556166453000,9:27 PM - 24 Apr 2019,/denise_head/status/1121269489230852096,
1569782764-2175,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@MWDeBenedetti,Matt DeBenedetti,Screened #Longshot movie tonight. It’s #LOL funny like #AmericanPie and #SomethingAboutMary & current themes. @Sethrogen @CharlizeAfrica @RegalMovies,1.0,,2.0,1556170572000,10:36 PM - 24 Apr 2019,/MWDeBenedetti/status/1121286766936281088,
1569782764-1778,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@Bobafett2k6,Aiden,"@paddypower what odds can I get on Leeds winning the Championship playoffs, Sunderland winning League 1 playoffs and South Shields winning the Playoffs to get into the National League North? #WhatOddsPaddy #LongShot #worthapunt",,,1.0,1556402042000,2:54 PM - 27 Apr 2019,/Bobafett2k6/status/1122257624228143110,
1569782764-2041,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@MsSassypants13,Georgie D.,Had the pleasure of seeing this little jewel last night. Charlize Theron & Seth Rogan were a delightful hoot!! I hadn't laughed that much in a movie in a very long time! Go see it!! @LongShotMovie #LongShot https://twitter.com/LongShotMovie/status/1119362435347910658 …,1.0,,1.0,1556221101000,12:38 PM - 25 Apr 2019,/MsSassypants13/status/1121498701447385088,
1569782764-2300,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@PointOfBru,BruTheLightingGuy,Saw #LongShot tonight at an early screening. Laughed my ass off. It was like a modern day pretty woman rolled up with the jokes of there’s something about Mary (semen included). @mrbobodenkirk and @andyserkis stole the show,,,1.0,1556160599000,7:49 PM - 24 Apr 2019,/PointOfBru/status/1121244938069512192,
1569782764-1916,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@jefffothergill,Jeff Fothergill,"We were at a screening of a new movie #longshot this week.  Great romcom!  Funny, warm and a great ending...just what a movie should be!",,,,1556290993000,8:03 AM - 26 Apr 2019,/jefffothergill/status/1121791849331482624,
1569782764-1863,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@paima27,Fátima Saldívar A,"29 Most Anticipated #SummerMovies, From #LongShot to ‘Hobbs and Shaw’  https://buff.ly/2KYjENC  #Booksmartpic.twitter.com/xSagsX5Ylv",,,,1556316902000,3:15 PM - 26 Apr 2019,/paima27/status/1121900518098579456,
1569782764-1948,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@ODE,ODEntertainment,"What happens when you teach @CharlizeAfrica and @SethRogen what the word ""snog"" ACTUALLY means...? 

#CharlizeTheron #SethRogen #LongShot @LongShotMovie @thisislucypic.twitter.com/XjXbqpqi3X",,,5.0,1556268247000,1:44 AM - 26 Apr 2019,/ODE/status/1121696444203917313,
1569782764-1867,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@fcuatto,Florian Cuatto,Rogen and Theron will be spectacular together.  It should be a FUN-tabulous movie.  #LongShot #SLCScreening,,,,1556315971000,2:59 PM - 26 Apr 2019,/fcuatto/status/1121896616816889856,
1569782764-2037,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@OnTheRedCarpet,On The Red Carpet,"STUNNING!  #CharlizeTheron at the @LongShotMovie special screening at Curzon Cinema Mayfair in #London, England. (Photo: Mike Marsland/WireImage) @CharlizeAfrica #LongShot #movie #fashion #celebrity #OTRCpic.twitter.com/tiV4dy5Vcb",,1.0,2.0,1556221859000,12:50 PM - 25 Apr 2019,/OnTheRedCarpet/status/1121501882671751168,
1569782764-2284,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@memedeee,meg,Thanks #cinemark for the advance screening of #longshot.  It was a fantastic story and fantastically hilarious and you guys are fantastic  for offering the screening to your #cinemarkmovieclub members :),,,,1556161815000,8:10 PM - 24 Apr 2019,/memedeee/status/1121250039479902210,
1569782764-1891,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@Capponair,Cappuchino Power 99,So this happened today. @osheajacksonjr back in philly to talk about his upcoming movie #LongShot. Tune in for the full interview around 2:25p https://www.instagram.com/p/Bwuk3fdBd8z/?igshid=jnh2g6d1gqcc …,,,1.0,1556301026000,10:50 AM - 26 Apr 2019,/Capponair/status/1121833931785916416,
1569782764-1951,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@JabeenWaheed,Spilling The Beans,"Following the typical rom-com formula, what sets #LongShot apart is perfectly timed dirty humour & great casting. Plus, Charlize Theron is even more gorgeous in real life. Like wowww  3/5 @Sethrogen @CharlizeAfrica @LongShotMovie @LionsgateUKpic.twitter.com/nnbhiqo1bY",,,,1556264566000,12:42 AM - 26 Apr 2019,/JabeenWaheed/status/1121681008686817281,
1569782764-1848,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@MovieCPlanet,Movie Crazy Planet  🎬 🍿 🥤,"Charlize Theron
#NiEnSueños
#LongShot pic.twitter.com/n68C1ExB3b",,,,1556326969000,6:02 PM - 26 Apr 2019,/MovieCPlanet/status/1121942745625423873,
1569782764-2260,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@masif14,MOHAMMED ASIF,"Long Shot Premier screening  2hrs fun and enjoyment. 
It is going to be one of the best movie in recent times. A must watch Laughter riot with a beautiful Love story... 

#longshot #tampa #mustwatch",,,,1556163776000,8:42 PM - 24 Apr 2019,/masif14/status/1121258262328958977,
1569782764-1918,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@MileHighCheap,Mile High On The Cheap,The odds of winning passes may not be such a long shot! Enter to win pass for up to 4 people to see preview of @LongShotMovie (starring @sethrogen & @CharlizeAfrica) on April 30 at @alamodrafthouse #LongShot #DenverScreeninghttp://bit.ly/2ZDpvvg,,,1.0,1556290813000,8:00 AM - 26 Apr 2019,/MileHighCheap/status/1121791094738411521,
1569782764-1847,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@lifemarch28,Yohanna Jimenez,#LongShot https://www.youtube.com/watch?v=5lwOwxMgWxo …,,,,1556328430000,6:27 PM - 26 Apr 2019,/lifemarch28/status/1121948873843462144,
1569782764-1873,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@Mountainflowr,Claudia,Still cracking up at @LongShotMovie I saw on Wednesday OMG sooo funny!  Reminded me of Something About Mary for some reason  @CharlizeAfrica was beautiful  and magnificent as Secretary... of State (which state? all of them) and @Sethrogen was hilarious as Fred!  #LongShot,,,,1556312581000,2:03 PM - 26 Apr 2019,/Mountainflowr/status/1121882397153353729,
1569782764-2208,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@Jay_B3D,Jay Barr III,"@LongShotMovie Creative, empowering and very fun! #longshot @Sethrogen @CharlizeAfrica",,,1.0,1556167458000,9:44 PM - 24 Apr 2019,/Jay_B3D/status/1121273704741101568,
1569782764-1905,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@MoviesCinemas,Movies @ Cinemas,She’s high society. He’s just a simple man. #LongShot opening here May 3rd. pic.twitter.com/KujlrFlEs0,,,,1556294414000,9:00 AM - 26 Apr 2019,/MoviesCinemas/status/1121806197911375874,
1569782764-2408,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@NightCrawler4,Thomas Gomez,Just finished #LongShot and it was AMAZING! So refreshingly funny and creative. Definitely a must see! @CharlizeAfrica is flawless and @Sethrogen is just too damn funny! Thanks @Lionsgate for the early showing! #Tampa @LongShotMovie,,,1.0,1556154038000,6:00 PM - 24 Apr 2019,/NightCrawler4/status/1121217417089355776,
1569782764-1780,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@goaheadNlaugh,Anthony Hernandez,It’s a Long Shot but will @Sethrogen retweet this? #longshot #kellyspubchicagopic.twitter.com/JJLdQvqhzb,1.0,4.0,10.0,1556393916000,12:38 PM - 27 Apr 2019,/goaheadNlaugh/status/1122223538025504768,
1569782764-2008,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@Yungbatman,Allen Shaw,#LongShot https://www.youtube.com/watch?v=5lwOwxMgWxo …,,,,1556228669000,2:44 PM - 25 Apr 2019,/Yungbatman/status/1121530445336907776,
1569782764-2214,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@NandoPrudhomme,CyanSkies,Saw #longshot with Seth Rogan and Charlize Theron in an advanced screening tonight and it was a pretty funny movie. O’Shea Jackson Jr was great and he should do more comedy. Ice Cube should be proud!,,,1.0,1556167193000,9:39 PM - 24 Apr 2019,/NandoPrudhomme/status/1121272593745682432,
1569782764-2023,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@finlaycoulter,Fin,"Man, @Sethrogen has always inspired me, even when I was a lot younger. Constantly showing how important it is to be yourself and not to change for anyone. Was an honour to hear him speak before seeing #LongShot tonight! Sick film.

Thanks for taking me @JoeTasker love u mate x",1.0,3.0,28.0,1556224169000,1:29 PM - 25 Apr 2019,/finlaycoulter/status/1121511569114923008,
1569782764-2258,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@sassysparklez_,– t ø r i a —,i just saw #LongShot and it was pretty hilarious,,,,1556164116000,8:48 PM - 24 Apr 2019,/sassysparklez_/status/1121259686928572416,
1569782764-2017,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@CinemApp_CineUK,CinemApp News,LionsgateUK - RT LionsgateUK:  #LongShot pic.twitter.com/xdbWKdhOY7,,,,1556225865000,1:57 PM - 25 Apr 2019,/CinemApp_CineUK/status/1121518681983455232,
1569782764-1984,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@fitzyandwippa,Fitzy & Wippa,"Are you punching above your weight like Fitzy and Wippa with their beautiful wives?!

Well.... We wanna give you a crack at $10K!! 

Register your deets here: http://bit.ly/FWPUNCHING 
#LongShot pic.twitter.com/F5M6cCNjvy",,,1.0,1556236940000,5:02 PM - 25 Apr 2019,/fitzyandwippa/status/1121565134843858944,
1569782764-2076,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@GeekVibesNews,Geek Vibes News  📰,"Hey #Knoxville! We have partnered with @Lionsgate to offer you a chance to see Seth Rogen and Charlize Theron's #LongShot at an advanced screening. Drop us a FOLLOW and head to the link provided to grab your passes

http://www.lionsgatescreenings.com/GeekVibesLSKnoxville … …
Theater: Regal Pinnaclepic.twitter.com/lu2vor5Um7",,,,1556215813000,11:10 AM - 25 Apr 2019,/GeekVibesNews/status/1121476520650977280,
1569782764-2207,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@typicalsagg,Erisie  🇿🇼,#LongShot was HILARIOUS. Y’all have to go see it when it comes out lmaoooo.,,,1.0,1556167470000,9:44 PM - 24 Apr 2019,/typicalsagg/status/1121273754997248000,
1569782764-1791,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@CNMV24_7,CelebNMovies247,#CelebNMovies247 #AdvanceScreening #Longshot https://twitter.com/ScreeningsDC/status/1120805049163186176 …,,,,1556386893000,10:41 AM - 27 Apr 2019,/CNMV24_7/status/1122194082883702789,
1569782764-2393,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@RealBrettGarten,Brett Garten,"#LongShot was amazing! Great chemistry, great heart, great movie! You’re going to have a great time. Laugh, cry (yes, watching a Seth rogen film), and cheer. Shout out to @CelebrationCnma for the advance screening! If you’re not a fan of superheroes, I have your movie!",,,1.0,1556154779000,6:12 PM - 24 Apr 2019,/RealBrettGarten/status/1121220526075252737,
1569782764-2360,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@AlfieRoach,Alfie J Reyes Jr,#longshot let’s hope Seth roger didn’t Adam Sandler himself pic.twitter.com/Ear4I4yUld,,,1.0,1556157147000,6:52 PM - 24 Apr 2019,/AlfieRoach/status/1121230456924409856,
1569782764-2219,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@Jbug33,The Farmer,"Seth Rogan is guaranteed to fit in a few Jewish jokes

Some landed, a lot fell flat

#LongShot",1.0,,,1556166703000,9:31 PM - 24 Apr 2019,/Jbug33/status/1121270539497005057,
1569782764-2064,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@campoz,Omar Tv,"3 tiros de sniper, 3 conectados! 
.
#Fortnite #Season8 #Temporada8 #FortniteBattleRoyal #Multiplayer #Mixer #MixerLatAm #XboxOne #XboxShare #FortniteXbox #Gaming #Headshot #Longshot… https://www.instagram.com/p/BwsFLDSgfBw/?utm_source=ig_twitter_share&igshid=q2fd7jajjx2o …",,,,1556217410000,11:36 AM - 25 Apr 2019,/campoz/status/1121483219185164288,
1569782764-2367,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@Daymon_Warren,Daymon_Warren,"#Longshot not what you think funny movie (@ Regal Cinemas Brandywine Town Center 16 - @regalmovies in Wilmington, DE)https://www.swarmapp.com/c/aWHqObea8Ai",,,,1556156924000,6:48 PM - 24 Apr 2019,/Daymon_Warren/status/1121229522156818432,
1569782764-2269,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@FilmScreeningDC,Film Screening DC,"#LongShot is an gut-busting, uproariously hilarious rom-com that delivers on so many levels. @CharlizeAfrica & @SethRogen have delightfully unexpected chemistry. It is sprinkled with beautifully quiet moments as well. Absolute perfection.",,1.0,1.0,1556162940000,8:29 PM - 24 Apr 2019,/FilmScreeningDC/status/1121254756226408448,
1569782764-2272,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@ElReyGuardiante,Pablo Quiroz Jr.,Missed my special screening!! apparently too many people showed up!! #free #screening #longshot  https://twitter.com/ElReyGuardiante/status/1121076016749797378 …,1.0,,,1556162311000,8:18 PM - 24 Apr 2019,/ElReyGuardiante/status/1121252116629078016,
1569782764-1795,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@SteveO_in_AZ,Steve,#LongShot https://www.youtube.com/watch?v=5lwOwxMgWxo …,,,,1556383989000,9:53 AM - 27 Apr 2019,/SteveO_in_AZ/status/1122181904747249664,
1569782764-2386,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@brianajflynn,briana flynn,#longshot is a good movie and o’shea jackson jr is very underrated happy wednesday,,,5.0,1556155424000,6:23 PM - 24 Apr 2019,/brianajflynn/status/1121223230868676608,
1569782764-2157,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@MNMillerFilmRev,M.N.MillerFilmRev,"I saw #LongShot last night, a very good movie.",,,2.0,1556185502000,2:45 AM - 25 Apr 2019,/MNMillerFilmRev/status/1121349389295898627,
1569782764-2329,https://twitter.com/search?f=tweets&q=%23longshot%20since%3A2019-04-25%20until%3A2019-04-28&src=typd,@BShowalter86,Benjamin Showalter,#LongShot was great movie that made me laugh from start to end. I love those two together.,,,,1556158701000,7:18 PM - 24 Apr 2019,/BShowalter86/status/1121236978236829696,
