MovieName,PositiveTweets,NeutralTweets,NegativeTweets,PositiveFavorites,NeutralFavorites,NegativeFavorites,PositiveRetweets,NeutralRetweets,NegativeRetweets,PositiveReplies,NeutralReplies,NegativeReplies,Budget,BoxOfficeSales,ProfitPercentage
Hustlers,2667,2692,471,108763.0,54889.0,9072.0,19292.0,9706.0,2140.0,3080.0,1332.0,338.0,20700000.0,33181361.0,1.6029642995169082
PhantomThread,322,200,44,2972.0,1149.0,783.0,1049.0,304.0,159.0,184.0,42.0,53.0,35000000.0,947190.0,0.02706257142857143
BumbleBee,1237,2695,225,11063.0,19535.0,1133.0,2400.0,11600.0,269.0,902.0,1722.0,101.0,102000000.0,21654047.0,0.21229457843137256
Captain Marvel,6638,10440,1269,234021.0,326217.0,33719.0,50662.0,135869.0,7977.0,9145.0,16311.0,2552.0,175000000.0,153433423.0,0.8767624171428572
Smallfoot,812,1492,138,10480.0,10036.0,5386.0,3664.0,2488.0,784.0,1282.0,379.0,53.0,80000000.0,23045635.0,0.2880704375
Vice,397,348,106,1134.0,858.0,292.0,321.0,227.0,94.0,85.0,49.0,63.0,60000000.0,7768371.0,0.12947285
AStarIsBorn,1920,2551,860,44901.0,48824.0,13944.0,18421.0,18667.0,12327.0,2307.0,1859.0,1288.0,36000000.0,42908051.0,1.1918903055555556
Blackkklansman,1167,896,218,19019.0,15549.0,4303.0,9520.0,4086.0,1370.0,1051.0,409.0,175.0,15000000.0,10845330.0,0.723022
Longshot,1057,658,162,6567.0,2506.0,486.0,847.0,475.0,133.0,570.0,200.0,27.0,40000000.0,9740064.0,0.2435016
Alita,341,1144,50,3663.0,9609.0,5270.0,1554.0,2117.0,1248.0,767.0,725.0,152.0,170000000.0,28525613.0,0.16779772352941177
Sully,748,1190,139,5052.0,6343.0,428.0,2318.0,3889.0,150.0,297.0,341.0,57.0,60000000.0,35028301.0,0.5838050166666666
WonderWoman,5994,9247,915,92260.0,95080.0,8405.0,44642.0,40481.0,2485.0,3583.0,4305.0,477.0,150000000.0,103251471.0,0.68834314
Deadpool,5783,10527,1104,34152.0,52878.0,11797.0,20159.0,39789.0,4554.0,1464.0,2438.0,424.0,58000000.0,132434639.0,2.2833558448275864
Moonlight,926,1454,144,6157.0,3244.0,1492.0,2845.0,1271.0,992.0,173.0,243.0,45.0,1500000.0,1420907.0,0.9472713333333334
Shazam,3361,4891,495,90418.0,84442.0,6252.0,17519.0,17019.0,1144.0,3978.0,3032.0,433.0,85000000.0,53505326.0,0.6294744235294117
GoodTime,855,904,100,10471.0,9859.0,1561.0,5470.0,5346.0,802.0,293.0,209.0,57.0,4500000.0,999867.0,0.22219266666666668
Moana,5994,5283,637,106123.0,47409.0,16198.0,26724.0,22726.0,3547.0,2347.0,1134.0,327.0,150000000.0,56631401.0,0.37754267333333336
