MovieName,PositiveTweets,NeutralTweets,NegativeTweets,PositiveFavorites,NeutralFavorites,NegativeFavorites,PositiveRetweets,NeutralRetweets,NegativeRetweets,PositiveReplies,NeutralReplies,NegativeReplies,Budget,BoxOfficeSales,ProfitPercentage
Hustlers,1905,1923,337,77688.0,39207.0,6480.0,13780.0,6933.0,1529.0,2200.0,952.0,242.0,20700000.0,33181361.0,1.6029642995169082
PhantomThread,322,200,44,2972.0,1149.0,783.0,1049.0,304.0,159.0,184.0,42.0,53.0,35000000.0,947190.0,0.02706257142857143
BumbleBee,1547,3369,282,13829.0,24419.0,1417.0,3001.0,14500.0,337.0,1128.0,2153.0,127.0,102000000.0,21654047.0,0.21229457843137256
Captain Marvel,3688,5800,705,130012.0,181232.0,18733.0,28146.0,75483.0,4432.0,5081.0,9062.0,1418.0,175000000.0,153433423.0,0.8767624171428572
Smallfoot,812,1492,138,10480.0,10036.0,5386.0,3664.0,2488.0,784.0,1282.0,379.0,53.0,80000000.0,23045635.0,0.2880704375
Vice,442,387,118,1261.0,954.0,325.0,357.0,253.0,105.0,95.0,55.0,71.0,60000000.0,7768371.0,0.12947285
AStarIsBorn,2743,3645,1229,64145.0,69749.0,19921.0,26316.0,26668.0,17610.0,3296.0,2656.0,1841.0,36000000.0,42908051.0,1.1918903055555556
Blackkklansman,1167,896,218,19019.0,15549.0,4303.0,9520.0,4086.0,1370.0,1051.0,409.0,175.0,15000000.0,10845330.0,0.723022
Longshot,1057,658,162,6567.0,2506.0,486.0,847.0,475.0,133.0,570.0,200.0,27.0,40000000.0,9740064.0,0.2435016
Alita,263,880,39,2818.0,7392.0,4054.0,1196.0,1629.0,960.0,590.0,558.0,117.0,170000000.0,28525613.0,0.16779772352941177
Sully,748,1190,139,5052.0,6343.0,428.0,2318.0,3889.0,150.0,297.0,341.0,57.0,60000000.0,35028301.0,0.5838050166666666
WonderWoman,5994,9247,915,92260.0,95080.0,8405.0,44642.0,40481.0,2485.0,3583.0,4305.0,477.0,150000000.0,103251471.0,0.68834314
Deadpool,5783,10527,1104,34152.0,52878.0,11797.0,20159.0,39789.0,4554.0,1464.0,2438.0,424.0,58000000.0,132434639.0,2.2833558448275864
Moonlight,926,1454,144,6157.0,3244.0,1492.0,2845.0,1271.0,992.0,173.0,243.0,45.0,1500000.0,1420907.0,0.9472713333333334
Shazam,3735,5435,550,100465.0,93825.0,6947.0,19466.0,18910.0,1272.0,4421.0,3369.0,482.0,85000000.0,53505326.0,0.6294744235294117
GoodTime,951,1005,112,11635.0,10955.0,1735.0,6078.0,5941.0,892.0,326.0,233.0,64.0,4500000.0,341404.0,0.07586755555555555
Moana,3996,3522,425,70749.0,31606.0,10799.0,17816.0,15151.0,2365.0,1565.0,756.0,218.0,150000000.0,56631401.0,0.37754267333333336
It-Part1,3683,7483,1008,41245.0,27602.0,16675.0,17357.0,10718.0,9951.0,3269.0,2118.0,886.0,35000000.0,123403419.0,3.5258119714285714
Aquaman,2630,5022,660,48898.0,64345.0,10103.0,12767.0,14247.0,2264.0,2673.0,2339.0,585.0,160000000.0,67873522.0,0.4242095125
Endgame,6761,12228,2158,47731.0,86772.0,10800.0,11226.0,27126.0,2837.0,2609.0,4772.0,627.0,400000000.0,357115007.0,0.8927875175
Venom,2856,5781,539,46505.0,91278.0,6919.0,12029.0,23905.0,1611.0,2503.0,4084.0,304.0,116000000.0,80255756.0,0.6918599655172414
Annihilation,967,952,228,10556.0,6801.0,2762.0,2477.0,1833.0,747.0,579.0,481.0,174.0,55000000.0,11071584.0,0.20130152727272727
AdAstra,1177,2487,246,38727.0,31951.0,4493.0,7691.0,8618.0,772.0,1716.0,2096.0,228.0,80000000.0,19001398.0,0.237517475
Toystory4,1848,3499,333,18746.0,27415.0,2645.0,10037.0,11140.0,307.0,3061.0,1738.0,124.0,200000000.0,120908065.0,0.604540325
SorryToBotherYou,363,319,111,5106.0,3051.0,715.0,1529.0,793.0,185.0,172.0,118.0,33.0,3200000.0,727266.0,0.227270625
Downsizing,841,616,117,777.0,1045.0,508.0,199.0,294.0,106.0,104.0,199.0,64.0,68000000.0,4954287.0,0.07285716176470589
GetOut,1603,1544,444,7066.0,7906.0,5702.0,2456.0,3190.0,1712.0,383.0,391.0,188.0,5000000.0,33377060.0,6.675412
Widows,805,515,149,4219.0,1386.0,479.0,1039.0,319.0,281.0,331.0,137.0,41.0,40000000.0,12361307.0,0.309032675
Suspiria,1411,2105,308,43206.0,37757.0,6566.0,11974.0,13906.0,2028.0,915.0,883.0,158.0,20000000.0,1230739.0,0.06153695
Logan,3040,6902,605,27166.0,46510.0,2826.0,9063.0,23320.0,1054.0,1210.0,2189.0,160.0,127000000.0,88411916.0,0.6961568188976378
