web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1573692134-18262,https://twitter.com/search?f=tweets&q=%23geminiman%20since%3A2019-10-03%20until%3A2019-10-04&src=typd,@sinematvcomtr,SinemaTV,"Gemini Man’den kamera arkası videosu!

https://blog.sinematv.com.tr/2019/10/gemini-manden-kamera-arkasi-videosu/ …

#SinemaTV #GeminiMan #WillSmithpic.twitter.com/14Xy9Tkme2",,,,1570110147000,6:42 AM - 3 Oct 2019,/sinematvcomtr/status/1179753582872207360,
1573692134-18322,https://twitter.com/search?f=tweets&q=%23geminiman%20since%3A2019-10-03%20until%3A2019-10-04&src=typd,@karina_efendi,Karina,"I was shocked that director of “Crouching Tiger, Hidden Dragon” and “Life of Pi” Ang Lee made this piece of shit #GeminiMan @GeminiManMovie. This movie seems like a poor effort of him to make something new and to use High Frame Rate, that looks very strange.",1.0,,,1570095671000,2:41 AM - 3 Oct 2019,/karina_efendi/status/1179692866479755264,
1573692134-18170,https://twitter.com/search?f=tweets&q=%23geminiman%20since%3A2019-10-03%20until%3A2019-10-04&src=typd,@jonjspiroff,Jonathan J. Spiroff,"If #GeminiMan was a late 90s Michael Bay film, we'd probably remember it as a guilty pleasure.

Makes a stunning case for high frame rate presentation, but misfires on almost everything else.

Just wait for James Cameron to raise the bar in a few years.

https://youtu.be/OVQchWx3HLg",,,1.0,1570124356000,10:39 AM - 3 Oct 2019,/jonjspiroff/status/1179813180735811585,
1573692134-18159,https://twitter.com/search?f=tweets&q=%23geminiman%20since%3A2019-10-03%20until%3A2019-10-04&src=typd,@Andi_H3ld,Der Tele-Stammtisch | Andi,"Weils gerade gut läuft nun neu im Feed: Filmkritiken zu #GeminiMan, #WeHaveAlwaysLivedInTheCastle, #LeavingTheFrame, #EineGanzHeisseNummer20, #Datsche und #BarstowCalifornia

Am Mikro: #Max, #Stu, #Christopher, @Dom_Karnage, @dunderklumpen80, @Manfred_Riepe und @Bleachtrooper7pic.twitter.com/ShDEOqUbPH",,1.0,4.0,1570126481000,11:14 AM - 3 Oct 2019,/Andi_H3ld/status/1179822091710926849,
1573692134-18195,https://twitter.com/search?f=tweets&q=%23geminiman%20since%3A2019-10-03%20until%3A2019-10-04&src=typd,@SHIELD221287,Son of Coul,#GeminiMan (2019) - Cartagena Duel - @ParamountPicshttps://www.youtube.com/watch?v=k1C-pToEkyk …,,,1.0,1570122355000,10:05 AM - 3 Oct 2019,/SHIELD221287/status/1179804784884424705,
1573692134-18228,https://twitter.com/search?f=tweets&q=%23geminiman%20since%3A2019-10-03%20until%3A2019-10-04&src=typd,@t4_research,T4,"Here’s our Co-Founder Yev Spektor @yevyevyev with Will Smith at TechCrunch Disrupt SF 2019. 

Catch us today http://techcrunch.com  at 1-2pm PST to watch us present. 

#techcrunch #TCDisrupt2019 #TCDisrupt #GeminiMan #ThursdayThoughtpic.twitter.com/sjhvKcyl6X",,2.0,4.0,1570117981000,8:53 AM - 3 Oct 2019,/t4_research/status/1179786439422349313,
1573692134-18249,https://twitter.com/search?f=tweets&q=%23geminiman%20since%3A2019-10-03%20until%3A2019-10-04&src=typd,@ODEONcinemasIRE,ODEON Ireland,"Some say it's a battle of Wills. #GeminiMan

Book your tickets now: http://bit.ly/2oPppT5 pic.twitter.com/fnM1840U9t",,,,1570114801000,8:00 AM - 3 Oct 2019,/ODEONcinemasIRE/status/1179773102508494848,
1573692134-18081,https://twitter.com/search?f=tweets&q=%23geminiman%20since%3A2019-10-03%20until%3A2019-10-04&src=typd,@FranckCattelain,Franck Cattelain,"À son meilleur, #GeminiMan de #AngLee prend la forme d’une synthèse du cinéma d’action contemporain.
@Critikat @Corent_Le
@Dictaroid @GrignonThomashttps://www.critikat.com/actualite-cine/critique/gemini-man/ …",,1.0,2.0,1570136257000,1:57 PM - 3 Oct 2019,/FranckCattelain/status/1179863097588293638,
1573692134-18095,https://twitter.com/search?f=tweets&q=%23geminiman%20since%3A2019-10-03%20until%3A2019-10-04&src=typd,@SteveMay_UK,Steve May,So #GeminiMan in 3D+ HFR is like watching a two hour reality TV show ...with lots of gunplay.,2.0,1.0,1.0,1570134931000,1:35 PM - 3 Oct 2019,/SteveMay_UK/status/1179857533508489222,
1573692134-18058,https://twitter.com/search?f=tweets&q=%23geminiman%20since%3A2019-10-03%20until%3A2019-10-04&src=typd,@willphoto,will lipman,"Will Smith, not very animated yesterday at @techcrunch Disrupt. #tcdisrupt #DisruptSF #tech #moviestar #actor #WillSmith #GeminiMan #freshprince #CGI @ Moscone Center, San Francisco, CA https://www.instagram.com/p/B3K_FQ0pDhw/?igshid=igsuje0ho8oc …",,,,1570139199000,2:46 PM - 3 Oct 2019,/willphoto/status/1179875435695489024,
