web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1573693171-19543,https://twitter.com/search?f=tweets&q=%23thelighthouse%20since%3A2019-10-14%20until%3A2019-10-18&src=typd,@PosterSpy,PosterSpy.com,"The Lighthouse (2019) alternative movie poster uploaded by user DComp
https://soo.nr/cqNW 
#TheLighthouse #MoviePosters #PosterSpypic.twitter.com/rExKhhKq31",,3,14,1571310064000,4:01 AM - 17 Oct 2019,/PosterSpy/status/1184786398928424966,
1573693171-19743,https://twitter.com/search?f=tweets&q=%23thelighthouse%20since%3A2019-10-14%20until%3A2019-10-18&src=typd,@LukeHearfield,Luke Hearfield,"Robert Eggers #TheLighthouse was an exhausting, mentally-draining and mesmersing experience.
My review: http://youtu.be/OslpzCYUi7c 
Robert Pattinson and Willem Dafoe deliver staggeringly good performances. 
You’d be MAD MAD MAD to miss this one. #LFF  #FilmTwitter 
#RobertPattinsonpic.twitter.com/FgGxw56zBf",,17,43,1571244279000,9:44 AM - 16 Oct 2019,/LukeHearfield/status/1184510478636277762,
1573693171-19781,https://twitter.com/search?f=tweets&q=%23thelighthouse%20since%3A2019-10-14%20until%3A2019-10-18&src=typd,@BuraStar23,BuraStar,"""يفضل أن تدعه وشأنه"" بوستر آخر لفيلم #TheLighthouse عن طائر النورس. حيث سبق أن تحدث المخرج انه وجد بصعوبة 3 طيور نورس في لندن، يمكنهم القيام بالحركات التي يتطلبها فيلمه. مما يعني تحركاتهم بالفيلم ستكون حقيقية وبدون أي نوع من الخدع البصرية.  pic.twitter.com/97utbre8Iv",1.0,5,13,1571240181000,8:36 AM - 16 Oct 2019,/BuraStar23/status/1184493290110050304,
1573693171-19443,https://twitter.com/search?f=tweets&q=%23thelighthouse%20since%3A2019-10-14%20until%3A2019-10-18&src=typd,@PINNLAND_EMPIRE,PINNLAND EMPIRE,"Opens this weekend....

PINNLAND EMPIRE: THE LIGHTHOUSE: TIFF 2019 HIGHLIGHT #1
http://www.pinnlandempire.com/2019/09/the-lighthouse-tiff-2019-highlight-1.html …

#sidebyside #TheLighthouse #WillemDafoe #RobertPattinson #A24 @LighthouseMovie @A24 #TIFF #TIFF19 #RobertEggers @ArcLightCinemas @AngelikaNewYork @LandmarkLTC @TIFF_NETpic.twitter.com/EJnj8PB2eD",2.0,14,40,1571341024000,12:37 PM - 17 Oct 2019,/PINNLAND_EMPIRE/status/1184916253896531968,
1573693171-19403,https://twitter.com/search?f=tweets&q=%23thelighthouse%20since%3A2019-10-14%20until%3A2019-10-18&src=typd,@LifeofSteve3,life of Steve Gaming,"Now this is a film I'd check out! @robpattinsonww #TheLighthouse
https://youtu.be/Hyag7lR8CPA",,,,1571352843000,3:54 PM - 17 Oct 2019,/LifeofSteve3/status/1184965828036444160,
1573693171-19725,https://twitter.com/search?f=tweets&q=%23thelighthouse%20since%3A2019-10-14%20until%3A2019-10-18&src=typd,@Entre_10,Entre-TÉN,"#PELÍCULAS  • Ratings por @RottenTomatoes a los filmes estrenando este fin de semana

 #ZombielandDoubleTap con un 80%  

 #MaleficentMistressOfEvil  con un 51% 

#JoJoRabbit  con un 81% 

#TheLighthouse con un 93%  Certificada FRESH

Zombieland pic.twitter.com/g0JTHCo6Wn",1.0,,,1571247755000,10:42 AM - 16 Oct 2019,/Entre_10/status/1184525057961447425,
1573693171-19840,https://twitter.com/search?f=tweets&q=%23thelighthouse%20since%3A2019-10-14%20until%3A2019-10-18&src=typd,@THR,Hollywood Reporter,"Willem Dafoe, who is about to unleash the arthouse horror film #TheLighthouse, is ready to dream up another nightmare http://thr.cm/Q1Rfau",,31,111,1571221321000,3:22 AM - 16 Oct 2019,/THR/status/1184414182604713986,
1573693171-19452,https://twitter.com/search?f=tweets&q=%23thelighthouse%20since%3A2019-10-14%20until%3A2019-10-18&src=typd,@horrormovietalk,Horror Movie Talk,"Robert Eggers Directing Viking Revenge Film ‘The Northman’ With Skarsgards, Talyor-Joy, Dafoe, and Kidman! -  https://bloody-disgusting.com/movie/3589371/robert-eggers-directing-viking-revenge-film-northman-incredible-cast-talks/ …

#horror #horrormovies #TheLighthouse @TheWitchMovie #Spooktober",,2,4,1571338954000,12:02 PM - 17 Oct 2019,/horrormovietalk/status/1184907574207926272,
1573693171-19676,https://twitter.com/search?f=tweets&q=%23thelighthouse%20since%3A2019-10-14%20until%3A2019-10-18&src=typd,@TheManorTheatre,Manor Theatre,"#TheLighthouse the new film from A24 and directed by Robert Eggers (The Witch) will be opening up at the Manor on 10/25. Critics are already calling it a masterpiece. Get your tickets now at http://manorpgh.com , our app, or at the box office.pic.twitter.com/1GX75pCMQE",,17,36,1571254699000,12:38 PM - 16 Oct 2019,/TheManorTheatre/status/1184554181119619077,
1573693171-19699,https://twitter.com/search?f=tweets&q=%23thelighthouse%20since%3A2019-10-14%20until%3A2019-10-18&src=typd,@Gregoriancant,Greg Brian,This film would have been over quickly had those two built their own private cubicles. #TheLighthouse https://twitter.com/RottenTomatoes/status/1184539753351467020 …,,,,1571251471000,11:44 AM - 16 Oct 2019,/Gregoriancant/status/1184540643001024512,
